Action Date,Action Id,Brand,Event Type,Status,Sale Amount,Action Earnings,Promo Code,SharedId
2025-07-13 22:55:02,M.15608.6403.454694,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,71.03,7.1000,D26,
2025-07-13 22:22:05,M.15608.6403.425711,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-07-13 22:14:07,M.15608.6403.420050,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,119.96,12.0000,SAHS,
2025-07-13 21:53:54,M.15608.6403.402407,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,74.54,7.4500,SAHS15,
2025-07-13 20:30:39,M.15608.6403.246914,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,110.49,11.0500,SAHS,
2025-07-13 19:03:21,M.15608.6403.181402,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,48.93,4.8900,D26,
2025-07-13 18:30:02,M.15608.6403.154495,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,108.05,10.8100,SAHS15,
2025-07-13 18:26:17,M.15608.6403.151474,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,108.05,10.8100,SAHS15,
2025-07-13 17:41:37,M.15608.6403.124642,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,50.51,5.0500,D26,
2025-07-13 15:39:19,M.15608.6403.62374,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,D26,
2025-07-13 14:23:34,M.15608.6403.38588,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,119.96,12.0000,SAHS,
2025-07-13 14:21:01,M.15608.6403.37501,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.91,1.4900,SAHS15,
2025-07-13 14:02:20,M.15608.6403.32423,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,93.13,9.3100,D26,
2025-07-13 13:04:50,M.15608.6403.18637,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,110.49,11.0500,SAHS,
2025-07-13 12:34:53,M.15608.6403.12268,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,75.77,7.5800,D26,
2025-07-13 12:34:36,M.15608.6403.12246,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,50.51,5.0500,SAHS,
2025-07-13 10:15:39,M.15608.6402.1180296,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,77.25,7.7200,D27,
2025-07-13 09:53:22,M.15608.6402.1169838,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-07-13 05:40:47,M.15608.6402.926242,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,101.02,10.1000,D26,
2025-07-13 03:28:04,M.15608.6402.831485,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,93.13,9.3100,D26,
2025-07-13 02:04:24,M.15608.6402.653779,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.91,1.4900,SAHS15,
2025-07-12 22:26:34,M.15608.6402.465027,Airalo - The World's First eSIM Store,Sale (Android App),Pending,42.59,4.2600,D26,
2025-07-12 21:35:00,M.15608.6402.421674,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,116.81,11.6800,D12,
2025-07-12 21:10:45,M.15608.6402.399319,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,56.82,5.6800,SAHS,
2025-07-12 19:56:41,M.15608.6402.282715,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,69.45,6.9500,D35,
2025-07-12 17:56:53,M.15608.6402.149536,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,39.46,3.9500,SAHS,
2025-07-12 17:23:55,M.15608.6402.127177,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,116.81,11.6800,SAHS,
2025-07-12 17:12:39,M.15608.6402.119355,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,37.88,3.7900,SAHS,
2025-07-12 14:59:32,M.15608.6402.59321,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-07-12 14:59:24,M.15608.6402.59184,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-07-12 14:10:22,M.15608.6402.37707,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,63.14,6.3100,SAHS,
2025-07-12 14:08:30,M.15608.6402.37675,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,49.18,4.9200,SAHS15,
2025-07-12 13:23:45,M.15608.6402.25544,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,48.93,4.8900,SAHS,
2025-07-12 13:01:55,M.15608.6402.18866,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,48.93,4.8900,SAHS,
2025-07-12 10:09:22,M.15608.6401.1261247,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-07-12 10:07:46,M.15608.6401.1261059,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,31.57,3.1600,SAHS,
2025-07-12 09:56:51,M.15608.6401.1170806,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.99,1.5000,D27,
2025-07-12 09:14:33,M.15608.6401.1148631,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,113.65,11.3600,SAHS,
2025-07-12 03:27:31,M.15608.6401.777415,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,48.93,4.8900,SAHS,
2025-07-12 03:09:36,M.15608.6401.762970,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,47.35,4.7400,SAHS,
2025-07-12 03:01:56,M.15608.6401.757932,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,48.93,4.8900,SAHS,
2025-07-12 02:03:31,M.15608.6401.709104,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,87.94,8.7900,SAHS15,
2025-07-12 00:55:05,M.15608.6401.648655,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,29.99,3.0000,D26,
2025-07-11 23:16:19,M.15608.6401.473508,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,154.69,15.4700,D26,
2025-07-11 23:15:53,M.15608.6401.471686,Airalo - The World's First eSIM Store,Sale (Android App),Pending,113.30,11.3300,SAHS15,
2025-07-11 22:55:32,M.15608.6401.453250,Airalo - The World's First eSIM Store,Sale (Android App),Pending,71.03,7.1000,D26,
2025-07-11 22:37:09,M.15608.6401.433310,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,113.30,11.3300,SAHS15,
2025-07-11 22:19:29,M.15608.6401.417225,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,26.83,2.6800,D26,
2025-07-11 21:30:37,M.15608.6401.370800,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,66.30,6.6300,SAHS,
2025-07-11 20:53:14,M.15608.6401.334951,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,D26,
2025-07-11 20:27:02,M.15608.6401.311143,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
