,date,order id,amount,coupon,country,currency,customer type
0,2025-08-21,DZ1155260315,0,GY39,SAU,SAR,returning
1,2025-08-21,DZ1155211970,0,gy25,SAU,SAR,returning
2,2025-08-21,DZ1155001903,0,GY39,SAU,SAR,returning
3,2025-08-21,DZ1155122265,0,SD11,SAU,SAR,returning
4,2025-08-21,DZ1155008030,0,GY45,SAU,SAR,returning
5,2025-08-21,DZ1154674444,0,SD22,SAU,SAR,new
6,2025-08-21,DZ1155030800,0,SD76,SAU,SAR,returning
7,2025-08-21,DZ1154894818,0,TDD13,SAU,SAR,returning
8,2025-08-21,DZ1154919304,0,Gy37,SAU,SAR,returning
9,2025-08-21,DZ1155298870,0,SD22,SAU,SAR,returning
10,2025-08-21,DZ1154925552,0,SD90,SAU,SAR,returning
11,2025-08-21,DZ1155237380,0,sd88,SAU,SAR,returning
12,2025-08-21,DZ1154715177,0,SD2,SAU,SAR,returning
13,2025-08-21,DZ1155073810,0,GY37,SAU,SAR,returning
14,2025-08-21,DZ1155132671,0,GY45,SAU,SAR,new
15,2025-08-21,DZ1155144474,0,GY45,SAU,SAR,returning
16,2025-08-21,DZ1155016544,0,GY45,SAU,SAR,returning
17,2025-08-21,DZ1154852831,0,GY45,SAU,SAR,returning
18,2025-08-21,DZ1154665974,0,GY45,SAU,SAR,returning
19,2025-08-21,DZ1155177463,0,GY39,SAU,SAR,returning
20,2025-08-21,DZ1155023254,0,SD2,SAU,SAR,new
21,2025-08-21,DZ1154900967,0,gy45,SAU,SAR,returning
22,2025-08-21,DZ1154723229,0,SD90,SAU,SAR,new
23,2025-08-21,DZ1154582880,0,SD33,SAU,SAR,returning
24,2025-08-21,DZ1154726254,0,SD2,SAU,SAR,returning
25,2025-08-21,DZ1154928137,0,SD2,SAU,SAR,returning
26,2025-08-21,DZ1154919678,0,GY19,SAU,SAR,returning
27,2025-08-21,DZ1154667976,0,GY45,SAU,SAR,returning
28,2025-08-21,DZ1155235928,0,SD11,SAU,SAR,returning
29,2025-08-21,DZ1155310596,0,SD22,SAU,SAR,returning
30,2025-08-21,DZ1154955472,0,GY37,SAU,SAR,returning
31,2025-08-21,DZ1155187847,0,GY45,SAU,SAR,returning
32,2025-08-21,DZ1154790428,0,sd23,SAU,SAR,returning
33,2025-08-21,DZ1155233299,0,SD90,SAU,SAR,returning
34,2025-08-21,DZ1155027676,0,TDD39,SAU,SAR,returning
35,2025-08-21,DZ1155215633,0,SD2,SAU,SAR,returning
36,2025-08-21,DZ1155107943,0,GY37,SAU,SAR,new
37,2025-08-21,DZ1155211200,0,SD90,SAU,SAR,returning
38,2025-08-21,DZ1155015158,0,SD43,SAU,SAR,returning
39,2025-08-21,DZ1155083578,0,TDD38,SAU,SAR,returning
40,2025-08-21,DZ1154797699,0,gy45,SAU,SAR,new
41,2025-08-21,DZ1154764754,0,GY45,SAU,SAR,new
