Order Id,Order Status,Item ID,Item ID,Order Date,Geo,Customer Type,Coupon Code,Quanity,Unit Price,Sale Amount,category_id,category_name,commission_rate,Payout,Currency
3577198,Processing,10796004,Dell Latitude 3190 2-in-1 Laptop | 8GB RAM - 128GB,2025-08-26T07:38:19,UAE,NEW,H35,1,270,270,16012,Laptops,3.0,8.1,AED
3577028,Processing,10700588,Mi Power Bank 3 – 40000mAh Supercharged Powerhouse,2025-08-25T20:40:46,UAE,NEW,ZZ57,1,68.35,68.35,12012,Power Bank,2.5,1.71,AED
3577027,Packed,10735158,Loreal age perfect zell renaissance midnight serum,2025-08-25T20:40:46,UAE,NEW,ZZ57,2,59,118,22012,Skin Care,4.5,5.31,AED
3577020,Pending,10694408,Glorious GMMK 2 Prebuilt Full Size Keyboard - Blac,2025-08-25T20:17:19,UAE,NEW,H42,1,225,225,16010,Keyboards & Mouse,3.0,6.75,AED
3577020,Pending,10743867,Glorious Gaming Mouse - Model O Minus 58 g Superli,2025-08-25T20:17:19,UAE,NEW,H42,1,87,87,16010,Keyboards & Mouse,3.0,2.61,AED
3576985,Processing,10750248,Dell Latitude 7420 | Intel Core i7 11th Gen | 16GB,2025-08-25T18:57:07,KSA,OLD,ZZ49,1,1380,1380,16012,Laptops,3.0,41.4,SAR
3576974,Shipped,10622844,Apple iPhone 15 Pro 256 GB - White Titanium,2025-08-25T18:45:15,UAE,NEW,H12,1,2679,2679,17004,Mobiles,2.0,53.58,AED
3576952,Processing,10784926,Dell Latitude 7000 7420 Laptop 2021 14 inch FHD Co,2025-08-25T18:03:46,UAE,NEW,ZZ57,1,1239,1239,16012,Laptops,3.0,37.17,AED
3576883,Processing,9909685,Emporio Armani AR1721 Men's Quartz Watch Chronogra,2025-08-25T16:42:06,UAE,OLD,H4,1,399,399,55006,Men Wrist Watch,3.0,11.97,AED
3576879,Processing,10555459,Apple iPhone 12 Pro Max 256GB - Pacific Blue,2025-08-25T16:26:42,UAE,NEW,ZZ57,1,1389,1389,17004,Mobiles,2.0,27.78,AED
3576729,Processing,5533334,Apple iPhone 12 Pro 128GB - Gold,2025-08-25T12:25:11,UAE,OLD,H45,1,1079,1079,17004,Mobiles,2.0,21.58,AED
3576719,Processing,10750380,مايكروسوفت سيرفس برو 7 | لابتوب 2 في 1 بشاشة لمس 1,2025-08-25T12:09:18,KSA,OLD,H50,1,1679,1679,16012,Laptops,3.0,50.37,SAR
3576358,Processing,10801657,SKMEI Men Electronic Watch Duplex Watch 50 meter W,2025-08-24T20:59:56,UAE,OLD,H35,1,49,49,55006,Men Wrist Watch,3.0,1.47,AED
3576357,Packed,10552070,SKMEI Men Sports Quartz Waterproof Wristwatch Outd,2025-08-24T20:59:56,UAE,OLD,H35,1,59,59,55006,Men Wrist Watch,3.0,1.77,AED
3576356,Shipped,10699222,Tommy Hilfiger COMMUNION Men's Watch Analog - Blue,2025-08-24T20:59:56,UAE,OLD,H35,1,150,150,55006,Men Wrist Watch,3.0,4.5,AED
3576324,Processing,9585829,ابل ايفون 14 برو ماكس 512 جيجابايت - اراجواني,2025-08-24T19:59:40,KSA,NEW,H92,1,2676.47,2676.47,17004,Mobiles,2.0,53.53,SAR
3576056,Shipped,10792977,تيلو جيمز - جوال لينوفو ليجن ثنائي شرائح الاتصال 2,2025-08-24T13:51:44,KSA,OLD,ZZ4,1,599,599,17004,Mobiles,2.0,11.98,SAR
