Date,coupon,country,Usage
24-Aug-2025,K10,KSA,1
24-Aug-2025,K135,KSA,5
24-Aug-2025,K137,KSA,14
24-Aug-2025,K156,KSA,1
24-Aug-2025,K166,KSA,1
24-Aug-2025,K180,KSA,1
24-Aug-2025,K182,KSA,17
24-Aug-2025,k190,KSA,1
24-Aug-2025,K194,KSA,1
24-Aug-2025,K196,KSA,2
24-Aug-2025,K198,KSA,6
24-Aug-2025,KA1,KSA,1
24-Aug-2025,Ka119,KSA,3
24-Aug-2025,Ka12,KSA,47
24-Aug-2025,ka15,KSA,4
24-Aug-2025,Ka23,KSA,1
24-Aug-2025,KA37,KSA,3
24-Aug-2025,Ka50,KSA,3
24-Aug-2025,KA59,KSA,1
24-Aug-2025,Ka63,KSA,1
24-Aug-2025,KA7,KSA,3
24-Aug-2025,KA80,KSA,1
24-Aug-2025,Ka88,KSA,2
24-Aug-2025,Ss11,KSA,1
