Date_ordered,Country,type,name,follower_code,# Orders,# Orders New Customers,# Orders Repeat Customers,Revenue,New Cust Revenue,Repeat Cust Revenue
"Aug 1, 2025",UAE,Affiliates,DigiZag,zm66,1,0,1,212.275204359673,null,212.275204359673
"Aug 1, 2025",UAE,Affiliates,DigiZag,mzzr7,1,1,0,200.07629427792915,200.07629427792915,null
"Aug 1, 2025",KSA,Affiliates,DigiZag,dd5,1,0,1,36.36239782016349,null,36.36239782016349
"Aug 1, 2025",KSA,Affiliates,DigiZag,dww7,1,1,0,144.27520435967304,144.27520435967304,null
"Aug 1, 2025",KSA,Affiliates,DigiZag,mzzr7,1,0,1,25.773841961852863,null,25.773841961852863
"Aug 1, 2025",KSA,Affiliates,DigiZag,zmpd,2,0,2,265.3923705722071,null,265.3923705722071
"Aug 1, 2025",KSA,Affiliates,DigiZag,zz50,1,1,0,241.25613079019072,241.25613079019072,null
"Aug 1, 2025",RoGCC,Affiliates,DigiZag,zm66,1,0,1,292.56675749318805,null,292.56675749318805
"Aug 1, 2025",UAE,Affiliates,DigiZag,mzzgf,5,0,5,560.6212534059946,null,560.6212534059946
"Aug 1, 2025",UAE,Affiliates,DigiZag,dww7,1,0,1,157.52043596730246,null,157.52043596730246
"Aug 1, 2025",KSA,Affiliates,DigiZag,mzz6a,1,1,0,53.49863760217984,53.49863760217984,null
"Aug 1, 2025",KSA,Affiliates,DigiZag,zmm86,6,3,3,937.9591280653952,553.7465940054497,384.2125340599455
"Aug 1, 2025",KSA,Affiliates,DigiZag,zm66,4,4,0,125.94277929155314,125.94277929155314,null
"Aug 1, 2025",KSA,Affiliates,DigiZag,zz17,2,0,2,465.3760217983652,null,465.3760217983652
"Aug 1, 2025",UAE,Affiliates,DigiZag,zz50,1,0,1,38.536784741144416,null,38.536784741144416
"Aug 2, 2025",UAE,Affiliates,DigiZag,iwd,1,0,1,21.95367847411444,null,21.95367847411444
"Aug 2, 2025",KSA,Affiliates,DigiZag,zz39,1,0,1,150.23433242506812,null,150.23433242506812
