,date,order id,amount,coupon,country,currency,customer type
0,2025-08-27,DZ1159483666,0,gy6,SAU,SAR,returning
1,2025-08-27,DZ1159270937,0,SD11,SAU,SAR,returning
2,2025-08-27,DZ1159178526,0,GY39,SAU,SAR,returning
3,2025-08-27,DZ1159340798,0,SD59,SAU,SAR,returning
4,2025-08-27,DZ1159110689,0,sd40,SAU,SAR,returning
5,2025-08-27,DZ1159477132,0,gy7,SAU,SAR,returning
6,2025-08-27,DZ1159084267,0,GY96,SAU,SAR,returning
7,2025-08-27,DZ1158788235,0,SD87,SAU,SAR,returning
8,2025-08-27,DZ1158833082,0,TDD8,SAU,SAR,returning
9,2025-08-27,DZ1159018575,0,TDD40,SAU,SAR,new
10,2025-08-27,DZ1159139685,0,GY33,SAU,SAR,returning
11,2025-08-27,DZ1159119269,0,sd11,SAU,SAR,returning
12,2025-08-27,DZ1158791359,0,TDD14,SAU,SAR,returning
13,2025-08-27,DZ1159241127,0,GY36,SAU,SAR,returning
14,2025-08-27,DZ1159114770,0,SD88,SAU,SAR,returning
15,2025-08-27,DZ1159386074,0,SD90,SAU,SAR,returning
16,2025-08-27,DZ1159433022,0,SD11,SAU,SAR,returning
17,2025-08-27,DZ1159303838,0,GY39,SAU,SAR,returning
18,2025-08-27,DZ1159040586,0,TDD5,SAU,SAR,returning
19,2025-08-27,DZ1158960352,0,GY36,SAU,SAR,new
20,2025-08-27,DZ1159400154,0,sd184,SAU,SAR,returning
21,2025-08-27,DZ1159505941,0,SD90,SAU,SAR,returning
22,2025-08-27,DZ1159423243,0,GY36,SAU,SAR,new
23,2025-08-27,DZ1159388439,0,SD11,SAU,SAR,returning
24,2025-08-27,DZ1158956491,0,GY36,SAU,SAR,returning
25,2025-08-27,DZ1159516721,0,SD11,SAU,SAR,returning
26,2025-08-27,DZ1159156020,0,SD35,SAU,SAR,returning
27,2025-08-27,DZ1159244460,0,SD90,SAU,SAR,returning
28,2025-08-27,DZ1159448268,0,SD22,SAU,SAR,returning
