Purchase Date (Date),ID,Coupon Code," Grand Total (Base) "
"Aug 1, 2025",1012000027254,AB70,153.9
"Aug 1, 2025",1012000027259,AB60,402.3
"Aug 1, 2025",1012000027277,AB12,199.8
"Aug 1, 2025",1012000027288,AB12,241.2
"Aug 2, 2025",1012000027296,AB12,170.1
"Aug 2, 2025",1012000027311,AB61,179.1
"Aug 2, 2025",1012000027328,AB12,147.6
"Aug 2, 2025",1012000027329,AB44,312.3
"Aug 2, 2025",1012000027330,AB70,251.1
"Aug 3, 2025",1012000027343,AB100,95.6
"Aug 3, 2025",1012000027354,AB166,145.1
"Aug 4, 2025",1012000027363,AB12,251.1
"Aug 4, 2025",1012000027366,AB80,284.4
"Aug 4, 2025",1012000027367,AB12,170.1
"Aug 4, 2025",1012000027375,AB12,179.1
"Aug 5, 2025",1012000027424,AB70,179.1
"Aug 11, 2025",1012000027549,AB70,258.3
"Aug 12, 2025",1012000027560,AB12,151.2
"Aug 12, 2025",1012000027563,AB12,142.2
"Aug 12, 2025",1012000027576,AB30,109.1
"Aug 12, 2025",1012000027579,AB12,109.1
"Aug 13, 2025",1012000027592,AB30,109.1
"Aug 15, 2025",1012000027621,AB70,375.3
"Aug 15, 2025",1012000027622,AB70,517.5
"Aug 15, 2025",1012000027640,AB59,109.1
"Aug 15, 2025",1012000027655,AB30,375.3
"Aug 15, 2025",1012000027661,AB30,226.8
"Aug 16, 2025",1012000027677,AB70,109.1
"Aug 17, 2025",1012000027700,AB12,267.3
"Aug 17, 2025",1012000027705,AB104,109.1
"Aug 17, 2025",1011000005754,AB70,232.2
"Aug 19, 2025",1012000027758,AB30,178.2
"Aug 20, 2025",1012000027777,AB196,170.1
"Aug 21, 2025",1011000005777,AB60,162.9
"Aug 21, 2025",1012000027825,AB70,268.2
"Aug 21, 2025",1012000027826,AB30,164.7
"Aug 21, 2025",1012000027831,AB60,165.6
