0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1 Mac and Cheese,1 French Fries,2 Chicken Strips [1 Sweet BBQ],,,,,,,,,,,,,,,,
1 Jumbo Hot Dog. [1 Honey Mustard,1 Cream Cheese,1 Ketchup,1 American Mustrad,1 Pickled Jalapeños,1 Crushed potato Chips],,,,,,,,,,,,,
3 Classic Cheese Steak [1 Large],,,,,,,,,,,,,,,,,,
1 Jumbo Hot Dog. [1 Chipotle Mayo,1 Cream Cheese,1 Ketchup,1 American Mustrad,1 Dill Pickles,1 Crushed potato Chips],2 Matrix Cola  250 Ml,,,,,,,,,,,,
1 Onion Rings,1 Mac and Cheese,,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],,,,,,,,,,,,,,,,,,
1 The Single Smashed Cheese Burger (75 G) [1 Sweet BBQ,1 Drink with Fries ],1 Hoagies Burger  (150g) [1 Drink with Curly Fries],,,,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Honey Mustard,1 Drink with Fries ],2 Mac and Cheese,1 Curly Fries,,,,,,,,,,,,,,,
1 Miami Chicken [1 Regular ],,,,,,,,,,,,,,,,,,
4 Chicken Philly  [1 Regular ],,,,,,,,,,,,,,,,,,
1 Combo 1  [1 Crispy Lava Chicken,1 Mushroom Steak,1 Matrix Cola,1 Matrix Sprite],,,,,,,,,,,,,,,
1 Chicken Philly  [1 Regular ],1 Philly Cheesesteak [1 Regular],1 Crispy Cream [1 Regular ],,,,,,,,,,,,,,,,
1 Crispy Lava  [1 Large],2 Classic Cheese Steak [1 Large],,,,,,,,,,,,,,,,,
1 Chicken Salad,1 Curly Fries,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Magic Mushrooms (150g) [1 Honey Mustard],,,,,,,,,,,,,,,,,
1 BBQ Cheesesteak [1 Regular ],1 Mac and Cheese,1 Hoagies Fried Platter,1 Chicken Philly  [1 Regular ],,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Regular ],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,,
3 Cheesy Fest (150g) [1 Chipotle Mayo,1 Drink with Curly Fries],1 Mozzarella Sticks,,,,,,,,,,,,,,,,
1 Cheesy Fest (150g) [1 Honey Mustard,1 Drink with Fries ],1 Mac and Cheese,1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Mushrooms Cheesesteak [1 Regular ],1 Mushroom Chicken Alfredo [1 Regular ],1 Philly Cheesesteak [1 Regular],1 Magic Mushrooms (150g) [1 Buffalo Sauce],,,,,,,,,,,,,,
2 Mac and Cheese,1 Philly Cheesesteak [1 Regular],1 Cheesy Fest (150g) [1 Cheese Whiz,1 Drink with Fries ],1 Chicken Philly  [1 Regular ],1 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz,1 Drink with Fries ],,,,,,,,,,,,
1 Mac and Cheese,1 Onion Rings,,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Large],1 Miami Chicken [1 Large],,,,,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Cheese Whiz,1 Drink with Fries ],,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Hotdog fries platter,,,,,,,,,,,,,,,,,
1 French Fries,1 BBQ Cheesesteak [1 Large],1 Classic Cheese Steak [1 Large],,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Loaded Fries,2 Chicken Salad,,,,,,,,,,,,,,,,
2 French Fries,2 Magic Mushrooms (150g) [1 Buffalo Sauce],,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Mac and Cheese,,,,,,,,,,,,,,,,,
1 Combo 1  [1 Mushroom Steak,1 Mushroom Steak,1 Matrix Cola,1 Matrix Sprite],2 Curly Fries,1 Hot Dog [1 Cheese Whiz,1 Chipotle Mayo (Spicy),1 Honey Mustard,1 Pickled Jalapeños,1 White onions],,,,,,,,,
1 Combo 3 [1 Philly Steak,1 Cheesy Fajita Chicken,1 Mushroom Chicken,1 Crispy Cream Chicken,1 Matrix Cola,1 Matrix Cola,1 Matrix Fanta,1 Matrix Fanta],2 Mac and Cheese,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Chipotle Mayo,1 Drink with Potato Wedges ],1 Chicken Salad,,,,,,,,,,,,,,,,
2 Chicken Philly  [1 Regular ],3 Hot Dog [1 Shredded Cheedar,1 Ketchup,1 Mayonnaise,1 Diced Tomatoes,1 Crushed potato Chips],1 Cheesy Fest (150g) [1 Honey Mustard],,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],1 BBQ Cheesesteak [1 Large],,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Large],,,,,,,,,,,,,,,,,,
1 Mac and Cheese,2 Mushrooms Cheesesteak [1 Large],1 Mushrooms Cheesesteak [1 Large],,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Large],1 Mushroom Chicken Alfredo [1 Regular ],,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Large],1 Homemade Nuggets  [1 Sweet BBQ],1 Chicken Strips [1 Sweet BBQ],1 French Fries,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Regular ],1 Magic Mushrooms (150g) [1 Cheese Whiz],1 Hotdog fries platter,,,,,,,,,,,,,,,,
1 Combo 1  [1 Mushroom Steak,1 Philly Steak,1 Matrix Cola,1 Matrix Cola],1 Chicken Salad,,,,,,,,,,,,,,
1 Crispy Cream [1 Regular],,,,,,,,,,,,,,,,,,
2 Philly Cheesesteak [1 Large],1 Mushrooms Cheesesteak [1 Large],1 Hotdog fries platter,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Crispy Cream [1 Large],1 Mac and Cheese,1 Hoagies Burger  (150g) [1 Drink with Curly Fries],1 Hot Dog [1 Cheese Whiz,1 Ketchup,1 Mayonnaise,1 Shredded Lettuce,1 Crushed potato Chips,1 Drink with Curly Fries],1 Mozzarella Sticks,,,,,,,,
1 Hoagies Fried Platter,2 Crispy Cream [1 Large],1 Cheesy Fest (150g) [1 Honey Mustard,1 Drink with Fries ],1 Mushrooms Cheesesteak [1 Regular ],,,,,,,,,,,,,,
2 Hoagies Fried Platter,1 Miami Chicken [1 Large],2 Cheesy Fest (150g) [1 Cheese Whiz],1 Hot Dog [1 Shredded Cheedar,1 Ketchup,1 American Mustrad,1 White onions,1 Crushed potato Chips],1 Matrix Sprite,,,,,,,,,,
1 Mac and Cheese,1 Hoagies Fried Platter,,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Regular ],1 BBQ Cheesesteak [1 Regular ],,,,,,,,,,,,,,,,,
2 Mushrooms Cheesesteak [1 Large],2 Philly Cheesesteak [1 Large],1 Shawerma Steak [1 Large],,,,,,,,,,,,,,,,
1 Chipotle Mayo,1 Mushrooms Cheesesteak [1 Large],,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Regular ],1 Chicken Philly  [1 Regular],1 Chicken Philly  [1 Regular],,,,,,,,,,,,,,,,
1 Chicken Philly  [1 Regular],1 Hoagies Fried Platter,1 Mac and Cheese,,,,,,,,,,,,,,,,
1 Mushroom Chicken Alfredo [1 Regular],1 Philly Cheesesteak [1 Regular],,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Philly Cheesesteak [1 Large],1 Chicken Philly  [1 Large],,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],1 Mushrooms Cheesesteak [1 Large],2 Potato Wedges,,,,,,,,,,,,,,,,
1 BBQ Cheesesteak [1 Large],1 Curly Fries,1 Cheesy Fries,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Curly Fries,1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],,,,,,,,,,,,,,,,,,
1 Combo 1  [1 Mushroom Steak,1 BBQ Steak,1 Matrix Cola,1 Matrix Cola],1 Drinking water,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Hotdog fries platter,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Mac and Cheese,2 Philly Cheesesteak [1 Large],,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Crispy Cream [1 Regular ],,,,,,,,,,,,,,,,,
2 Philly Cheese Steak [1 Regular ],1 Philly Cheese Steak [1 Regular ],1 The Single Smashed Cheese Burger (75 G) [1 Honey Mustard,1 Drink with Fries ],,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Classic Cheese Steak [1 Large],,,,,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Chipotle Mayo],,,,,,,,,,,,,,,,,,
2 Philly Cheese Steak [1 Regular ],1 Mushroom Chicken Alfredo [1 Regular],,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Miami Chicken [1 Large],,,,,,,,,,,,,,,,,
