Action Date,Action Id,Brand,Event Type,Status,Sale Amount,Action Earnings,Promo Code,SharedId
2025-08-28 23:37:04,M.15608.6449.681113,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,25.33,2.5300,SAHS15,
2025-08-28 23:28:37,M.15608.6449.650455,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.21,2.5600,SAHS,
2025-08-28 23:18:17,M.15608.6449.643518,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,37.25,6.7100,SAHS15,
2025-08-28 22:43:23,M.15608.6449.610906,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,104.00,18.7200,SAHS,
2025-08-28 22:33:51,M.15608.6449.599086,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,104.00,18.7200,SAHS,
2025-08-28 22:22:10,M.15608.6449.566096,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,104.00,18.7200,SAHS,
2025-08-28 22:17:17,M.15608.6449.561314,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,55.00,9.9000,SAHS15,
2025-08-28 21:36:50,M.15608.6449.501480,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,28.41,5.1100,SAHS,
2025-08-28 20:29:06,M.15608.6449.407733,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,101.02,18.1800,SAHS,
2025-08-28 19:55:16,M.15608.6449.376652,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,31.57,5.0500,D14,
2025-08-28 19:40:59,M.15608.6449.343653,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,31.57,3.1600,SAHS,
2025-08-28 18:54:14,M.15608.6449.301760,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,126.27,22.7300,SAHS,
2025-08-28 18:17:45,M.15608.6449.244715,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,28.41,4.5500,D26,
2025-08-28 14:04:25,M.15608.6449.35870,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,28.41,5.1100,SAHS,
2025-08-28 12:18:59,M.15608.6449.6852,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,25.25,2.5300,SAHS,
2025-08-28 11:30:01,M.15608.6448.1327279,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,53.67,5.3700,SAHS,
