created_date,country,order_id,Coupon,AED_gross_amount,AED_net_amount
"Oct 4, 2025",KW,BKW19433461,DD5,551.65,551.65
"Oct 3, 2025",KW,BKW19432833,TT28,561.68,561.68
"Oct 2, 2025",KW,BKW19432414,KK26,1755.25,1755.25
"Oct 1, 2025",AE,BAE18222750,DD1,576,576
"Oct 1, 2025",AE,BAE18222651,DD10,722.7,722.7
"Sep 27, 2025",AE,BAE18220536,TT95,1971,0
"Sep 26, 2025",KW,BKW19428421,DD5,546.93,546.93
"Sep 25, 2025",AE,BAE18219446,TT54,1845,1845
"Sep 24, 2025",KW,BKW19426375,TT97,531,531
"Sep 23, 2025",KW,BKW19425480,TT28,310.93,0
"Sep 23, 2025",KW,BKW19425683,TT28,286.74,0
"Sep 20, 2025",AE,BAE18217445,DD10,355.5,355.5
"Sep 18, 2025",AE,BAE18216576,DD15,2997,2997
"Sep 17, 2025",AE,BAE18216354,DZ9,2340,2340
"Sep 16, 2025",AE,BAE18216034,TT43,571.5,571.5
"Sep 15, 2025",AE,BAE18215597,DD20,832.5,832.5
"Sep 14, 2025",AE,BAE18215089,DD15,229.5,0
"Sep 14, 2025",AE,BAE18215088,DD15,819,819
"Sep 14, 2025",AE,BAE18215100,DD15,229.5,229.5
"Sep 14, 2025",KW,BKW19421652,KK26,371.11,371.11
"Sep 13, 2025",KW,BKW19421418,TT15,1582.38,1582.38
"Sep 12, 2025",AE,BAE18214361,DD10,504,504
"Sep 11, 2025",KW,BKW19420419,TT99,244.26,244.26
"Sep 11, 2025",AE,BAE18213496,TT4,337.5,337.5
"Sep 11, 2025",KW,BKW19420323,DD5,682.04,682.04
"Sep 11, 2025",AE,BAE18213582,GDT50,1269,1269
"Sep 10, 2025",KW,BKW19419842,DD5,682.04,0
"Sep 10, 2025",KW,BKW19419498,TT54,1285.02,1285.02
"Sep 7, 2025",AE,BAE18212158,DD10,135,135
