Date,Order No.,Coupon Code,Amount ,SO Number,Total
16/09/2025,109467,RR11,715.00,SO-000390347,46671.9
21/09/2025,110342,RR22,598.00,SO-000392239,
24/09/2025,110875,RR14,1885.00,SO-000392868,
23/09/2025,110865,RR11,3159.00,SO-000392871,
23/09/2025,110799,RR65,914.00,SO-000392881,
23/09/2025,110793,RR22,845.00,SO-000392884,
23/09/2025,110751,NNN,1586.00,SO-000392857,
24/09/2025,110987,RR14,676.00,SO-000393409,
25/09/2025,110843,RR22,845.50,SO-000393793,
25/09/2025,111148,NNN,780.00,SO-000393789,
27/09/2025,111435,RR22,728.00,SO-000394280,
27/09/2025,111408,RR20,1794.00,SO-000394285,
27/09/2025,111485,Rr24,439.50,SO-000394312,
28/09/2025,111840,RR37,702.00,SO-000394997,
28/09/2025,111706,RR37,1560.00,SO-000394976,
29/09/2025,112030,RR22,682.50,SO-000395398,
29/09/2025,112238,RR37,507.00,SO-000395698,
29/09/2025,112027,NNN,1365.00,SO-000395396,
30/09/2025,112448,RR37,1235.00,SO-000395942,
30/09/2025,112383,RR37,507.00,SO-000395925,
1/10/2025,112591,RR20,1139.85,SO-000396559,
30/09/2025,112547,RR37,1130.50,SO-000395978,
1/10/2025,112669,RR37,418.00,SO-000396577,
4/10/2025,112964,RR11,1178.00,SO-000397147,
2/10/2025,112844,RR20,836.00,SO-000396790,
4/10/2025,113028,RR20,798.00,SO-000397156,
6/10/2025,113193,RR37,1497.20,SO-000397607,
15/09/2025,109428,RR11,650.00,SO-000390204,
7/10/2025,113233,Rr37,1307.20,SO-000397784,
6/10/2025,113283,RR20,4180.00,SO-000397748,
7/10/2025,113379,RR20,1786.00,SO-000397911,
7/10/2025,113369,RR37,1596.00,SO-000397912,
7/10/2025,113324,NNN,836.00,SO-000397800,
10/10/2025,113627,NNN,456.00,"SO-000398352	",
10/10/2025,113608,RR20,684.00,"SO-000398347	",
8/10/2025,113455,NNN,4864.00,"SO-000398137	",
8/10/2025,113442,RR37,727.60,"SO-000398139	",
3/10/2025,112936,RR20,1064.00,SO-000396952,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
