,date,order id,amount,coupon,country,currency,customer type
0,2025-08-15,DZ1150922443,0,GY45,SAU,SAR,returning
1,2025-08-15,DZ1150445208,0,SD22,SAU,SAR,returning
2,2025-08-15,DZ1150476239,0,SD33,SAU,SAR,returning
3,2025-08-15,DZ1151069106,0,SD44,SAU,SAR,returning
4,2025-08-15,DZ1150664416,0,GY38,SAU,SAR,returning
5,2025-08-15,DZ1150403331,0,SD11,SAU,SAR,returning
6,2025-08-15,DZ1150518061,0,TDD44,SAU,SAR,returning
7,2025-08-15,DZ1150840834,0,GY45,SAU,SAR,returning
8,2025-08-15,DZ1150662403,0,GY45,SAU,SAR,returning
9,2025-08-15,DZ1150776605,0,TDD14,SAU,SAR,returning
10,2025-08-15,DZ1151014007,0,sd90,SAU,SAR,returning
11,2025-08-15,DZ1151033752,0,TDD14,SAU,SAR,returning
12,2025-08-15,DZ1150622011,0,TDD14,SAU,SAR,returning
13,2025-08-15,DZ1150680355,0,GY33,SAU,SAR,returning
14,2025-08-15,DZ1150628974,0,GY39,SAU,SAR,returning
15,2025-08-15,DZ1150847500,0,TDD40,SAU,SAR,returning
16,2025-08-15,DZ1150418709,0,TDD39,SAU,SAR,returning
17,2025-08-15,DZ1150937700,0,gy11,SAU,SAR,returning
18,2025-08-15,DZ1150364930,0,GY45,SAU,SAR,returning
19,2025-08-15,DZ1150340697,0,TDD39,SAU,SAR,returning
20,2025-08-15,DZ1150636982,0,sd90,SAU,SAR,returning
21,2025-08-15,DZ1150392045,0,GY96,SAU,SAR,new
22,2025-08-15,DZ1150598878,0,GY39,SAU,SAR,returning
23,2025-08-15,DZ1150379857,0,gy9,SAU,SAR,returning
24,2025-08-15,DZ1150693577,0,SD22,SAU,SAR,returning
25,2025-08-15,DZ1150973175,0,SD76,SAU,SAR,new
26,2025-08-15,DZ1151039384,0,TDD14,SAU,SAR,new
27,2025-08-15,DZ1150651271,0,GY39,SAU,SAR,new
28,2025-08-15,DZ1150615367,0,SD90,SAU,SAR,returning
29,2025-08-15,DZ1150675680,0,TDD39,SAU,SAR,returning
30,2025-08-15,DZ1150827040,0,TDD38,SAU,SAR,returning
31,2025-08-15,DZ1150966168,0,SD33,SAU,SAR,returning
32,2025-08-15,DZ1150841032,0,GY39,SAU,SAR,returning
33,2025-08-15,DZ1150993932,0,TDD14,SAU,SAR,returning
34,2025-08-15,DZ1150557826,0,GY39,SAU,SAR,returning
35,2025-08-15,DZ1150358418,0,SD62,SAU,SAR,returning
36,2025-08-15,DZ1150734156,0,TDD14,SAU,SAR,returning
37,2025-08-15,DZ1151100445,0,gy45,SAU,SAR,returning
38,2025-08-15,DZ1150920408,0,GY45,SAU,SAR,returning
39,2025-08-15,DZ1151079842,0,sd30,SAU,SAR,returning
40,2025-08-15,DZ1150698736,0,TDD7,SAU,SAR,returning
41,2025-08-15,DZ1151095528,0,SD11,SAU,SAR,returning
42,2025-08-15,DZ1150695623,0,TDD11,SAU,SAR,returning
43,2025-08-15,DZ1150842704,0,GY38,SAU,SAR,returning
44,2025-08-15,DZ1150688044,0,gy5,SAU,SAR,returning
45,2025-08-15,DZ1150910838,0,TDD14,SAU,SAR,returning
46,2025-08-15,DZ1150426343,0,SD22,SAU,SAR,returning
47,2025-08-15,DZ1150376172,0,GY37,SAU,SAR,returning
48,2025-08-15,DZ1150746718,0,GY37,SAU,SAR,returning
49,2025-08-15,DZ1151047590,0,SD61,SAU,SAR,returning
50,2025-08-15,DZ1151016724,0,GY38,SAU,SAR,returning
51,2025-08-15,DZ1150940021,0,gy10,SAU,SAR,returning
52,2025-08-15,DZ1150380275,0,sd97,SAU,SAR,returning
53,2025-08-15,DZ1150542162,0,SD22,SAU,SAR,returning
54,2025-08-15,DZ1150995461,0,GY45,SAU,SAR,new
55,2025-08-15,DZ1150756387,0,GY39,SAU,SAR,returning
56,2025-08-15,DZ1150710594,0,sd22,SAU,SAR,returning
57,2025-08-15,DZ1150886759,0,GY50,SAU,SAR,new
58,2025-08-15,DZ1151073770,0,TDD14,SAU,SAR,returning
59,2025-08-15,DZ1150801036,0,sd7,SAU,SAR,returning
60,2025-08-15,DZ1150621274,0,SD4,SAU,SAR,returning
61,2025-08-15,DZ1150910398,0,GY45,SAU,SAR,returning
62,2025-08-15,DZ1150370584,0,SD22,SAU,SAR,returning
63,2025-08-15,DZ1150921101,0,TDD14,SAU,SAR,returning
64,2025-08-15,DZ1150827876,0,TDD39,SAU,SAR,returning
65,2025-08-15,DZ1151063727,0,TDD39,SAU,SAR,returning
66,2025-08-15,DZ1150408259,0,gy37,SAU,SAR,returning
67,2025-08-15,DZ1150360222,0,GY45,SAU,SAR,new
68,2025-08-15,DZ1150591508,0,GY39,SAU,SAR,returning
69,2025-08-15,DZ1150982591,0,SD76,SAU,SAR,returning
70,2025-08-15,DZ1150615576,0,TDD39,SAU,SAR,returning
71,2025-08-15,DZ1150941385,0,SD22,SAU,SAR,returning
72,2025-08-15,DZ1150468770,0,GY39,SAU,SAR,new
73,2025-08-15,DZ1150346912,0,GY45,SAU,SAR,returning
74,2025-08-15,DZ1150709912,0,GY39,SAU,SAR,returning
75,2025-08-15,DZ1150531855,0,sd47,SAU,SAR,returning
76,2025-08-15,DZ1151029682,0,gy39,SAU,SAR,returning
77,2025-08-15,DZ1150739634,0,SD90,SAU,SAR,returning
78,2025-08-15,DZ1150678265,0,gy48,SAU,SAR,returning
79,2025-08-15,DZ1150354051,0,GY38,SAU,SAR,returning
80,2025-08-15,DZ1150513023,0,SD22,SAU,SAR,returning
81,2025-08-15,DZ1150671115,0,GY45,SAU,SAR,new
82,2025-08-15,DZ1150446143,0,SD22,SAU,SAR,returning
83,2025-08-15,DZ1151043916,0,GY37,SAU,SAR,returning
84,2025-08-15,DZ1150417279,0,GY45,SAU,SAR,returning
85,2025-08-15,DZ1150556044,0,GY50,SAU,SAR,new
86,2025-08-15,DZ1150773723,0,GY33,SAU,SAR,returning
87,2025-08-15,DZ1150456153,0,SD99,SAU,SAR,returning
88,2025-08-15,DZ1150417224,0,Gy38,SAU,SAR,returning
89,2025-08-15,DZ1150793336,0,TDD39,SAU,SAR,returning
90,2025-08-15,DZ1150399635,0,Sd184,SAU,SAR,returning
91,2025-08-15,DZ1150900234,0,GY45,SAU,SAR,returning
92,2025-08-15,DZ1150622616,0,TDD5,SAU,SAR,returning
93,2025-08-15,DZ1150987926,0,SD90,SAU,SAR,returning
94,2025-08-15,DZ1150731483,0,SD49,SAU,SAR,returning
95,2025-08-15,DZ1150430171,0,GY96,SAU,SAR,new
96,2025-08-15,DZ1151038471,0,SD22,SAU,SAR,new
97,2025-08-15,DZ1150364468,0,SD90,SAU,SAR,returning
98,2025-08-15,DZ1150793743,0,gy37,SAU,SAR,returning
99,2025-08-15,DZ1150378482,0,TDD40,SAU,SAR,returning
100,2025-08-15,DZ1150763394,0,TDD39,SAU,SAR,returning
101,2025-08-15,DZ1150465943,0,SD46,SAU,SAR,returning
102,2025-08-15,DZ1150835895,0,TDD40,SAU,SAR,new
103,2025-08-15,DZ1150884394,0,SD22,SAU,SAR,new
104,2025-08-15,DZ1150384213,0,GY37,SAU,SAR,new
105,2025-08-15,DZ1150945400,0,GY39,SAU,SAR,returning
106,2025-08-15,DZ1150696206,0,sd6,SAU,SAR,returning
107,2025-08-15,DZ1150590617,0,GY13,SAU,SAR,returning
108,2025-08-15,DZ1150941781,0,GY96,SAU,SAR,returning
