,date,order id,amount,coupon,country,currency,customer type
0,2025-08-23,DZ1156306701,0,SD44,SAU,SAR,returning
1,2025-08-23,DZ1156304116,0,GY38,SAU,SAR,returning
2,2025-08-23,DZ1156703438,0,SD23,SAU,SAR,returning
3,2025-08-23,DZ1156314797,0,GY39,SAU,SAR,returning
4,2025-08-23,DZ1156365221,0,SD39,SAU,SAR,returning
5,2025-08-23,DZ1156178463,0,SD7,SAU,SAR,returning
6,2025-08-23,DZ1156300024,0,sd90,SAU,SAR,returning
7,2025-08-23,DZ1156702855,0,GY38,SAU,SAR,new
8,2025-08-23,DZ1156446137,0,SD90,SAU,SAR,returning
9,2025-08-23,DZ1156618232,0,TDD40,SAU,SAR,returning
10,2025-08-23,DZ1156193830,0,SD19,SAU,SAR,returning
11,2025-08-23,DZ1156506241,0,GY45,SAU,SAR,returning
12,2025-08-23,DZ1156682208,0,TDD40,SAU,SAR,returning
13,2025-08-23,DZ1156289398,0,TDD40,SAU,SAR,returning
14,2025-08-23,DZ1156234189,0,TDD40,SAU,SAR,returning
15,2025-08-23,DZ1156052249,0,SD38,SAU,SAR,returning
16,2025-08-23,DZ1156477157,0,GY96,SAU,SAR,new
17,2025-08-23,DZ1156330208,0,SD2,SAU,SAR,returning
18,2025-08-23,DZ1156156485,0,GY33,SAU,SAR,returning
19,2025-08-23,DZ1156278772,0,GY37,SAU,SAR,returning
20,2025-08-23,DZ1156436270,0,SD90,SAU,SAR,returning
21,2025-08-23,DZ1156400718,0,GY45,SAU,SAR,returning
22,2025-08-23,DZ1156125652,0,GY45,SAU,SAR,returning
23,2025-08-23,DZ1156506747,0,TDD40,SAU,SAR,returning
24,2025-08-23,DZ1156455036,0,GY38,SAU,SAR,returning
25,2025-08-23,DZ1156158124,0,TDD42,SAU,SAR,returning
26,2025-08-23,DZ1156077692,0,GY38,SAU,SAR,returning
27,2025-08-23,DZ1156194655,0,sd57,SAU,SAR,returning
28,2025-08-23,DZ1156398661,0,TDD38,SAU,SAR,returning
29,2025-08-23,DZ1156343430,0,GY38,SAU,SAR,returning
30,2025-08-23,DZ1156053954,0,SD9,SAU,SAR,returning
31,2025-08-23,DZ1156419330,0,GY38,SAU,SAR,returning
32,2025-08-23,DZ1156379884,0,sd22,SAU,SAR,returning
33,2025-08-23,DZ1156506384,0,GY38,SAU,SAR,returning
34,2025-08-23,DZ1156172622,0,GY33,SAU,SAR,returning
35,2025-08-23,DZ1156699610,0,GY38,SAU,SAR,returning
36,2025-08-23,DZ1156544455,0,gy5,SAU,SAR,returning
37,2025-08-23,DZ1156097800,0,SD60,SAU,SAR,returning
38,2025-08-23,DZ1156095292,0,GY45,SAU,SAR,new
39,2025-08-23,DZ1156417394,0,SD22,SAU,SAR,returning
40,2025-08-23,DZ1156194963,0,TDD39,SAU,SAR,returning
41,2025-08-23,DZ1156256838,0,SD11,SAU,SAR,returning
42,2025-08-23,DZ1156485033,0,SD12,SAU,SAR,returning
43,2025-08-23,DZ1156089935,0,GY88,SAU,SAR,returning
44,2025-08-23,DZ1156311508,0,SD11,SAU,SAR,returning
45,2025-08-23,DZ1156380291,0,SD50,SAU,SAR,returning
46,2025-08-23,DZ1156716517,0,GY38,SAU,SAR,returning
47,2025-08-23,DZ1156597849,0,GY45,SAU,SAR,returning
48,2025-08-23,DZ1156058970,0,sD90,SAU,SAR,returning
49,2025-08-23,DZ1156508936,0,gy8,SAU,SAR,returning
50,2025-08-23,DZ1156215456,0,TDD50,SAU,SAR,returning
51,2025-08-23,DZ1156042580,0,TDD38,SAU,SAR,returning
52,2025-08-23,DZ1156133561,0,gy46,SAU,SAR,returning
53,2025-08-23,DZ1156685002,0,GY33,SAU,SAR,returning
54,2025-08-23,DZ1156500136,0,SD20,SAU,SAR,returning
55,2025-08-23,DZ1156395394,0,GY38,SAU,SAR,returning
56,2025-08-23,DZ1156175075,0,GY45,SAU,SAR,returning
57,2025-08-23,DZ1156285625,0,GY96,SAU,SAR,new
58,2025-08-23,DZ1156581349,0,gy32,SAU,SAR,returning
59,2025-08-23,DZ1156678369,0,GY96,SAU,SAR,new
60,2025-08-23,DZ1156633456,0,SD7,SAU,SAR,returning
61,2025-08-23,DZ1156224971,0,GY45,SAU,SAR,new
62,2025-08-23,DZ1156561186,0,GY5,SAU,SAR,new
63,2025-08-23,DZ1156037564,0,tdd5,SAU,SAR,returning
64,2025-08-23,DZ1156618496,0,SD22,SAU,SAR,returning
65,2025-08-23,DZ1156499916,0,TDD39,SAU,SAR,returning
66,2025-08-23,DZ1156487673,0,SD90,SAU,SAR,returning
67,2025-08-23,DZ1156194996,0,GY38,SAU,SAR,returning
