Order Date,Order ID,Coupon Code,Customer Type,Order Country,Channels,Gender,Brand,Category,Gross Revenue
"Aug 16, 2025, 11:26:51 AM",APPENKSA80033007594935,KYF,NEW,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",ASICS,SNEAKERS,743.27
"Aug 16, 2025, 11:07:26 AM",ANDENKSA80033007618201,KYF,NEW,Saudi Arabia,App,WOMEN,NEW BALANCE,SNEAKERS,559.36
"Aug 16, 2025, 8:28:24 AM",APPENKSA80033007632717,KYF,NEW,Saudi Arabia,App,WOMEN,MONFARADI MARE,FLAT SHOES,252.86
"Aug 16, 2025, 12:54:18 AM",APPORKSA80034007241744,KYF,Returning,Saudi Arabia,App,GIRL,ASICS,SNEAKERS,383.12
"Aug 15, 2025, 11:38:04 PM",APPORKSA80034007604501,DH40,NEW,Saudi Arabia,App,"MEN"", ""WOMEN"", ""ADULT-UNISEX",ADIDAS,SNEAKERS,421.44
"Aug 15, 2025, 9:50:11 PM",APPORKWT80036007630797,DH40,NEW,Kuwait,App,WOMEN,CASTANER,ESPADRILLES,666.76
"Aug 15, 2025, 9:50:11 PM",APPORKWT80036007630797,DH40,NEW,Kuwait,App,WOMEN,JW PEI,TOP-HANDLE BAGS,516.68
"Aug 15, 2025, 5:43:02 PM",ORUAE80031007629296,KYF,NEW,United Arab Emirates,Web,WOMEN,NEW BALANCE,SNEAKERS,471.43
"Aug 15, 2025, 4:49:34 PM",APPENKSA80033007475708,KYF,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",ASICS,SNEAKERS,536.38
"Aug 15, 2025, 4:49:34 PM",APPENKSA80033007475708,KYF,Returning,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",ADIDAS,SNEAKERS,459.76
"Aug 15, 2025, 4:30:43 PM",APPENKSA80033007560765,KYF,Returning,Saudi Arabia,App,UNISEX,NEW BALANCE,SNEAKERS,429.1
