EVENT DATE,SOURCE,CAMPAIGN,UNIQUE ID,PUBLISHER ID,ORDER NUMBER,ORDER VALUE
"Oct 27, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0092366905,273.26815425
"Oct 27, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0085038093,103.773336713
"Oct 27, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0079512947,null
"Oct 27, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0074255261,280.8061074
"Oct 27, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 27, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0012070780,213.5213535
"Oct 27, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0057543489,283.06271175
"Oct 26, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0065486652,79.629752476
"Oct 26, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0094372927,103.33258162599999
"Oct 26, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0008681411,79.951738913
"Oct 26, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 26, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0079842984,62.636195213
"Oct 26, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0035882689,180.07293963900003
"Oct 26, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0042716615,469.910220327
"Oct 26, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0009764237,227.454947038
"Oct 25, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 25, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0094795884,68.5619025
"Oct 25, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0025816014,29.3836725
"Oct 25, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0087078823,37.170345713
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0031529055,12.540272745
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0031529055,14.470314723
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0031529055,27.2005916
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0031529055,null
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0050933842,84.918813525
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0031529055,40.08087174
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0031529055,92.612014269
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0031529055,43.410944168
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0031529055,52.04113187
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0031529055,23.870519173
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0031529055,10.230222503
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0031529055,96.462098006
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0031529055,75.24163647
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0026065148,174.14723235099999
"Oct 24, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0031529055,28.84062727
"Oct 23, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 23, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0043639772,86.9756706
"Oct 23, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0010116542,null
"Oct 23, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0078364729,129.952826413
"Oct 23, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0048536301,106.76067675
"Oct 23, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0071595293,1809.03934575
"Oct 23, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0037008004,114.106594875
"Oct 22, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0043466537,96.427418588
"Oct 22, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0058165826,null
"Oct 22, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0003180117,622.640020276
"Oct 22, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 22, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0041940366,122.43196875
"Oct 22, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0018864790,null
"Oct 22, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0026168097,null
"Oct 22, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0000042684,18.4137681
"Oct 22, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0096296529,165.453598538
"Oct 21, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0026737045,393.9085673249999
"Oct 21, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0052823113,50.050188825
"Oct 21, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 20, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0064032674,13.663407713
"Oct 20, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 20, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0070961534,122.529914325
"Oct 20, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0064893510,178.750674375
"Oct 20, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0000010667,47.99333175
"Oct 20, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0075385192,180.41574915
"Oct 19, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 19, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0062982499,93.04829625
"Oct 18, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0085761935,1272.31301925
"Oct 18, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0004495277,552.364070213
"Oct 18, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 18, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0048675624,357.00776475
"Oct 17, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0094033963,117.436744425
"Oct 17, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0017633506,30.069291525
"Oct 17, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 16, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0048211481,59.00128325
"Oct 16, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 16, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0014215203,489.81065315099994
"Oct 16, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0063274885,77.279058675
"Oct 16, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0006968913,305.492248425
"Oct 15, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0093822348,36.000783
"Oct 15, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0087001565,161.00350175
"Oct 15, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,null,null
"Oct 15, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0093822348,494.0107445
"Oct 15, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0022850776,142.90259392599998
"Oct 14, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0013515415,132.22652625
"Oct 14, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NSAHA0015137512,1503.366630675
"Oct 14, 2025",C1000266L,CHEESECAKE,14590,AFFCC10739285JRPMKTG,NAEHA0096750084,109.00237075
