"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"09 Jul 2025","cnl","1","82.24","0","0.00","0","0.00","0","0.00"
"08 Jul 2025","fxn","2","72.49","0","0.00","0","0.00","0","0.00"
"08 Jul 2025","fuj","1","176.84","0","0.00","0","0.00","0","0.00"
"08 Jul 2025","dd44","1","50.48","0","0.00","0","0.00","0","0.00"
"08 Jul 2025","df2","1","23.22","0","0.00","0","0.00","0","0.00"
"08 Jul 2025","qqq","1","108.53","0","0.00","0","0.00","0","0.00"
"08 Jul 2025","cnl","1","85.19","0","0.00","0","0.00","0","0.00"
"07 Jul 2025","fxn","4","407.55","0","0.00","0","0.00","0","0.00"
"07 Jul 2025","dzd","1","106.82","0","0.00","0","0.00","0","0.00"
"07 Jul 2025","ff7k","1","23.46","0","0.00","0","0.00","0","0.00"
"07 Jul 2025","fuj","1","105.17","0","0.00","0","0.00","0","0.00"
"07 Jul 2025","qqq","1","105.17","0","0.00","0","0.00","0","0.00"
"07 Jul 2025","zg32","1","69.40","0","0.00","0","0.00","0","0.00"
"07 Jul 2025","cnl","1","367.47","0","0.00","0","0.00","0","0.00"
"06 Jul 2025","fxn","4","610.63","0","0.00","0","0.00","0","0.00"
"06 Jul 2025","cnl","2","277.24","0","0.00","0","0.00","0","0.00"
"06 Jul 2025","ifw","1","33.69","0","0.00","0","0.00","0","0.00"
"06 Jul 2025","piv","1","47.66","0","0.00","0","0.00","0","0.00"
"05 Jul 2025","qqq","2","112.56","0","0.00","0","0.00","0","0.00"
"05 Jul 2025","df2","1","125.62","0","0.00","0","0.00","0","0.00"
"05 Jul 2025","cnl","1","123.59","0","0.00","0","0.00","0","0.00"
"05 Jul 2025","df1","1","113.17","0","0.00","0","0.00","0","0.00"
"05 Jul 2025","fuj","1","24.53","0","0.00","0","0.00","0","0.00"
"05 Jul 2025","ifw","1","138.86","0","0.00","0","0.00","0","0.00"
"05 Jul 2025","tnmw","1","92.48","0","0.00","0","0.00","0","0.00"
"04 Jul 2025","fxn","7","657.28","2","240.15","2","240.15","0","0.00"
"04 Jul 2025","cnl","3","288.34","1","78.80","1","78.80","0","0.00"
"03 Jul 2025","fxn","7","359.66","3","231.43","3","231.43","0","0.00"
"03 Jul 2025","97c","1","20.25","1","20.25","1","20.25","0","0.00"
"03 Jul 2025","cnl","1","71.83","1","71.83","1","71.83","0","0.00"
"03 Jul 2025","ifw","1","179.40","1","179.40","1","179.40","0","0.00"
"02 Jul 2025","qqq","4","520.96","4","520.96","4","520.96","0","0.00"
"02 Jul 2025","fxn","3","609.23","1","121.83","1","121.83","0","0.00"
"02 Jul 2025","df2","2","211.25","1","133.86","1","133.86","0","0.00"
"02 Jul 2025","df5","2","214.07","2","214.07","2","214.07","0","0.00"
"02 Jul 2025","fuj","1","26.93","1","26.93","1","26.93","0","0.00"
"02 Jul 2025","ost","1","34.32","1","34.32","1","34.32","0","0.00"
"02 Jul 2025","bna","1","61.62","0","0.00","0","0.00","0","0.00"
"02 Jul 2025","97c","1","40.31","1","40.31","1","40.31","0","0.00"
"02 Jul 2025","cnl","1","19.41","0","0.00","0","0.00","0","0.00"
"02 Jul 2025","dzd","1","58.60","0","0.00","0","0.00","0","0.00"
"01 Jul 2025","fxn","4","208.65","4","208.65","4","208.65","0","0.00"
"01 Jul 2025","dd44","1","115.23","1","115.23","1","115.23","0","0.00"
"01 Jul 2025","df5","1","40.55","1","40.55","1","40.55","0","0.00"
