Actual,POS,other name,If meal
Classic Cheesesteak 23cm,CLASSIC CHEESESTEAK- 23CM,,1
Classic Cheesesteak 23cm,CLASSIC CHEESESTEAK- 23CM,,0
Philly Cheesesteak 23cm,PHILLY CHEESESTEAK 23CM,,1
Philly Cheesesteak 23cm,PHILLY CHEESESTEAK 23CM,,0
MUSHROOMS CHEESESTEAK 23cm,MUSHROOMS CHEESESTEAK 23CM,,1
MUSHROOMS CHEESESTEAK 23cm,MUSHROOMS CHEESESTEAK 23CM,,0
BBQ Cheesesteak 23cm,BARBECU CHEESESTEAK 23CM,,1
BBQ Cheesesteak 23cm,BARBECU CHEESESTEAK 23CM,,0
Shawerma Steak 23cm,SHAWERMA STEAK 23CM,,1
Shawerma Steak 23cm,SHAWERMA STEAK 23CM,,0
Crispy Lava 18cm,CRISPY LAVA 18CM,,1
Crispy Lava 18cm,CRISPY LAVA 18CM,,0
Classic Cheesesteak 18cm,CLASSIC CHEESESTEAK- 18CM,,1
Classic Cheesesteak 18cm,CLASSIC CHEESESTEAK- 18CM,,0
Philly Cheesesteak 18cm,PHILLY CHEESESTEAK 18CM,,1
Philly Cheesesteak 18cm,PHILLY CHEESESTEAK 18CM,,0
Mushrooms Cheesesteak 18cm,MUSHROOMS CHEESESTEAK 18CM,,1
Mushrooms Cheesesteak 18cm,MUSHROOMS CHEESESTEAK 18CM,,0
BBQ Cheesesteak 18cm,BARBECU CHEESESTEAK 18CM,,1
BBQ Cheesesteak 18cm,BARBECU CHEESESTEAK 18CM,,0
Shawerma Steak 18cm,SHAWERMA STEAK 18CM,,1
Shawerma Steak 18cm,SHAWERMA STEAK 18CM,,0
Chicken Philly 18cm,CHICKEN PHILLY 18CM,,1
Chicken Philly 18cm,CHICKEN PHILLY 18CM,,0
Mushrooms Chicken alfredo 18cm,MUSHROOMS CHICKEN ALFREDO 18CM,,1
Mushrooms Chicken alfredo 18cm,MUSHROOMS CHICKEN ALFREDO 18CM,,0
Miami Chicken 18cm,MIAMI CHICKEN 18CM,,1
Miami Chicken 18cm,MIAMI CHICKEN 18CM,,0
Crispy Cream 18cm,CRISPY CREAM 18CM,,1
Crispy Cream 18cm,CRISPY CREAM 18CM,,0
Chicken Philly 23cm,CHICKEN PHILLY 23CM,,1
Chicken Philly 23cm,CHICKEN PHILLY 23CM,,0
Mushrooms Chicken alfredo 23cm,MUSHROOMS CHICKEN ALFREDO 23CM,,1
Mushrooms Chicken alfredo 23cm,MUSHROOMS CHICKEN ALFREDO 23CM,,0
Miami Chicken 23cm,MIAMI CHICKEN 23CM,,1
Miami Chicken 23cm,MIAMI CHICKEN 23CM,,0
Crispy Cream 23cm,CRISPY CREAM 23CM,,1
Crispy Cream 23cm,CRISPY CREAM 23CM,,0
Crispy Lava 23cm,CRISPY LAVA 23CM,,1
Crispy Lava 23cm,CRISPY LAVA 23CM,,0
Hoagies Burger 150g,Hoagies Burger (150g),,1
Hoagies Burger 150g,Hoagies Burger (150g),,0
Cheesy Fest 150g,Cheesy Fest (150g),,1
Cheesy Fest 150g,Cheesy Fest (150g),,0
Magic Mushroom 150g,Magic Mushroom (150g),,1
Magic Mushroom 150g,Magic Mushroom (150g),,0
Fire in the Hole 150g,Fire in the Hole (150g),,1
Fire in the Hole 150g,Fire in the Hole (150g),,0
Fairouzeh Burger 150g,Fairouzeh Burger (150g),,1
Fairouzeh Burger 150g,Fairouzeh Burger (150g),,0
Hotdog Hoagies 23cm,HOTDOG HOAGIES,,1
Hotdog Hoagies 23cm,HOTDOG HOAGIES,,0
French Fries,French Fries CHIPS,,1
French Fries,French Fries CHIPS,,0
Curly Fries,Curly Fries,,1
Curly Fries,Curly Fries,,0
Potato Wedges,Potato Wedges,,1
Potato Wedges,Potato Wedges,WEDGES,0
Loaded Fries,Loaded Fries,,1
Loaded Fries,Loaded Fries,,0
Mixed Fries,Mixed Fries,,1
Mixed Fries,Mixed Fries,,0
Hotdog Fried Platter,Hotdog Fried Platter,,1
Hotdog Fried Platter,Hotdog Fried Platter,,0
Cheeseburger,Cheeseburger,,1
Cheeseburger,Cheeseburger,,0
Hotdog,Hotdog,,1
Hotdog,Hotdog,,0
Chicken Nuggets,Chicken Nuggets,,1
Chicken Nuggets,Chicken Nuggets,,0
Chicken Strips,Chicken Strips kids,,1
Chicken Strips,Chicken Strips kids,,0
Steak Salad,Steak Salad,,1
Steak Salad,Steak Salad,,0
Chicken Salad,Chicken Salad,,1
Chicken Salad,Chicken Salad,,0
Mozzarella Sticks,Mozzarella Sticks,,1
Mozzarella Sticks,Mozzarella Sticks,,0
Onion Rings,Onion Rings,,1
Onion Rings,Onion Rings,,0
Mixed Fries Platter,Mixed Fries Platter,,1
Mixed Fries Platter,Mixed Fries Platter,,0
Matrix Cola,Matrix Cola,,1
Matrix Cola,Matrix Cola,,0
Matrix Sprite,Matrix Sprite,,1
Matrix Sprite,Matrix Sprite,,0
Matrix Fant,Matrix Fanta,,1
Matrix Fant,Matrix Fanta,,0
Water,Water,,1
Water,Water,,0
Cole Slaw,COLESLAW,,1
Cole Slaw,COLESLAW,,0
French fries Meal,French fries Meal,,1
French fries Meal,French fries Meal,,0
Wedges Meal,Wedges Meal,,1
Wedges Meal,Wedges Meal,,0
Curly Fries Meal,Curly Fries Meal,,1
Curly Fries Meal,Curly Fries Meal,,0
Mac & Cheese,Mac & Cheese,,1
Mac & Cheese,Mac & Cheese,,0
Homemade Nuggets,Homemade Nuggets,,1
Homemade Nuggets,Homemade Nuggets,,0
MUSHROOMS CHEESESTEAK 26CM,MUSHROOMS CHEESESTEAK 23CM,,1
MUSHROOMS CHEESESTEAK 26CM,MUSHROOMS CHEESESTEAK 23CM,,0
CLASSIC CHEESESTEAK- 26CM,CLASSIC CHEESESTEAK- 23CM,,1
CLASSIC CHEESESTEAK- 26CM,CLASSIC CHEESESTEAK- 23CM,,0
CRISPY CREAM 26CM,CRISPY CREAM 23CM,,1
CRISPY CREAM 26CM,CRISPY CREAM 23CM,,0
CRISPY LAVA 26CM,CRISPY LAVA 23CM,,1
CRISPY LAVA 26CM,CRISPY LAVA 23CM,,0
CHICKEN PHILLY 26CM,PHILLY CHEESESTEAK 23CM,,1
CHICKEN PHILLY 26CM,PHILLY CHEESESTEAK 23CM,,0
MUSHROOMS CHICKEN ALFREDO 26CM,MUSHROOMS CHICKEN ALFREDO 23CM,,1
MUSHROOMS CHICKEN ALFREDO 26CM,MUSHROOMS CHICKEN ALFREDO 23CM,,0
SHAWERMA STEAK 26CM,SHAWERMA STEAK 23CM,,1
SHAWERMA STEAK 26CM,SHAWERMA STEAK 23CM,,0
,,,
,,,
