Item,Quantity,Total,Open By,Invoice #,Order #,Date Time,W.S #,Menu Type
Water,1,0.55,Cashier,1,1,05-06-2025 12:25,1,Take Away
Water,1,0.55,Cashier,1,1,05-06-2025 12:25,1,Take Away
French fries Meal,1,1.25,Cashier,1,1,23-06-2025 11:46,1,Take Away
CHICKEN PHILLY 23CM,1,4.75,Cashier,1,1,23-06-2025 11:46,1,Take Away
French fries Meal,1,1.25,Cashier,1,1,09-04-2025 13:57,1,Take Away
HOTDOG HOAGIES,1,3.5,Cashier,1,1,09-04-2025 13:57,1,Take Away
Water,1,0.55,Cashier,1,1,28-05-2025 13:55,1,Take Away
Water,1,0.55,Cashier,1,1,28-05-2025 13:55,1,Take Away
CRISPY CREAM 23CM,1,4.75,Cashier,1,1,23-04-2025 17:21,1,Take Away
Onion Rings,1,1.75,Manager,2,2,30-07-2025 14:16,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,3,3,22-04-2025 18:51,1,Take Away
Onion Rings,1,1.75,Cashier,3,3,22-04-2025 18:51,1,Take Away
Curly Fries Meal,1,1.5,Cashier,3,3,22-04-2025 18:51,1,Take Away
Chicken Nuggets,1,3.5,Cashier,3,3,05-06-2025 14:44,1,Take Away
Matrix Cola,1,0.55,Cashier,4,4,02-07-2025 15:32,1,Take Away
Chicken Nuggets,1,3.5,Cashier,4,4,30-05-2025 15:24,1,Take Away
Chicken Nuggets,1,3.5,Cashier,4,4,30-05-2025 15:24,1,Take Away
MUSHROOMS CHEESESTEAK 26CM,1,5.5,Cashier,4,4,05-04-2025 15:40,1,Take Away
French fries Meal,1,1.25,Cashier,4,4,16-04-2025 15:17,1,Take Away
CRISPY LAVA 18CM,1,4,Cashier,4,4,16-04-2025 15:17,1,Take Away
Hotdog,1,3.5,Cashier,5,5,21-07-2025 15:45,1,Take Away
Hotdog,1,3.5,Cashier,5,5,21-07-2025 15:45,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,5,5,07-07-2025 16:42,1,Take Away
Fire in the Hole (150g),1,4.5,Cashier,5,5,07-07-2025 16:42,1,Take Away
Chicken Salad,1,4.5,Cashier,5,5,07-07-2025 16:42,1,Take Away
Curly Fries Meal,1,1.5,Cashier,5,5,07-07-2025 16:42,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,5,5,12-06-2025 16:27,1,Take Away
Wedges Meal,1,1.5,Cashier,5,5,12-06-2025 16:27,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,5,5,12-06-2025 16:27,1,Take Away
Wedges Meal,1,1.5,Cashier,5,5,12-06-2025 16:27,1,Take Away
Wedges Meal,1,1.5,Cashier,5,5,12-06-2025 16:27,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,5,5,12-06-2025 16:27,1,Take Away
Magic Mushroom (150g),1,4.5,Cashier,6,6,05-06-2025 15:31,1,Take Away
French fries Meal,1,1.25,Cashier,6,6,28-06-2025 17:23,1,Take Away
Magic Mushroom (150g),1,4.5,Cashier,6,6,28-06-2025 17:23,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,8,8,05-04-2025 15:55,1,Take Away
French fries Meal,1,1.25,Cashier,8,8,05-04-2025 15:55,1,Take Away
Chicken Strips kids,1,3.5,Cashier,11,11,31-05-2025 18:52,1,Take Away
Chicken Nuggets,1,3.5,Cashier,11,11,10-08-2025 18:18,1,Take Away
French Fries CHIPS,1,1,Cashier,11,11,10-08-2025 18:18,1,Take Away
Chicken Nuggets,1,3.5,Cashier,11,11,10-08-2025 18:18,1,Take Away
MIAMI CHICKEN 23CM,2,9.5,Cashier,11,11,10-08-2025 18:18,1,Take Away
Chicken Nuggets,1,3.5,Cashier,11,11,10-08-2025 18:18,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,3,15.75,Cashier,11,11,10-08-2025 18:18,1,Take Away
French Fries CHIPS,1,1,Cashier,11,11,10-08-2025 18:18,1,Take Away
CHICKEN PHILLY 18CM,1,4,Cashier,11,11,29-05-2025 16:05,1,Take Away
Matrix Cola,1,0.55,Cashier,12,12,08-08-2025 21:06,1,Take Away
Mixed Fries,1,1.75,Cashier,14,14,05-06-2025 20:09,1,Take Away
Cheesy Fest (150g),1,4.5,Cashier,14,14,05-06-2025 20:09,1,Take Away
French fries Meal,1,1.25,Cashier,14,14,02-07-2025 18:27,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,14,14,02-07-2025 18:27,1,Take Away
Filet mignon Steak platter,1,12,Cashier,14,14,06-04-2025 17:23,1,Take Away
Mozzarella Sticks,1,2.25,Cashier,15,15,09-07-2025 17:23,1,Take Away
CLASSIC CHEESESTEAK- 23CM,1,5.25,Cashier,15,15,09-07-2025 17:23,1,Take Away
Matrix Cola,1,0.55,Cashier,15,15,09-07-2025 17:23,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,15,15,10-06-2025 16:47,1,Take Away
Curly Fries Meal,1,1.5,Cashier,15,15,10-06-2025 16:47,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,15,15,10-06-2025 16:47,1,Take Away
Water,1,0.55,Cashier,15,15,10-06-2025 16:47,1,Take Away
Water,1,0.55,Cashier,15,15,10-06-2025 16:47,1,Take Away
Wedges Meal,1,1.5,Cashier,15,15,10-06-2025 16:47,1,Take Away
Hoagies Burger (150g),1,4.5,Cashier,15,15,08-05-2025 18:09,1,Take Away
MIAMI CHICKEN 18CM,1,4,Cashier,16,16,08-05-2025 18:10,1,Take Away
Curly Fries Meal,1,1.5,Cashier,16,16,02-07-2025 18:31,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,16,16,02-07-2025 18:31,1,Take Away
Chicken Salad,1,4.5,Cashier,16,16,05-04-2025 17:47,1,Take Away
