Report Name,Individual Item Report
Date Run,8/24/25
Filters,Transaction Date >= 8/1/25,Transaction Date <= 8/24/25,Network ID IN 9,Time Zone = GMT

Order ID,Transaction Date,Transaction Time,MID,Advertiser Name,SKU,Product Name,Sales,# of Items,Total Commission,Order Coupon Code(s)
"ASA03953667",8/1/25,"15:09:54",52993,"Adidas KSA","IT2758_210","SAUDI ARABIA 24 AWAY JERSEY",42.7,1,2.989,"RAN232"
"ASA03953783",8/1/25,"16:18:52",52993,"Adidas KSA","JE5657_165","BBALL CAP TONAL",10.23,1,0.716,"RAN222"
"ASA03952122",8/1/25,"07:17:23",52993,"Adidas KSA","IC1336_140","THIN AND LIGHT SPORTSWEAR LOW-CUT SOCKS 3 PAIRS",9.57,1,0.67,"RAN221"
"ASA03953783",8/1/25,"16:18:52",52993,"Adidas KSA","IF6747_640","ADIZERO SL2 RUNNING SHOES",51.44,1,3.601,"RAN222"
"ASA03953667",8/1/25,"15:09:54",52993,"Adidas KSA","IU5013_210","REAL MADRID 24/25 AWAY JERSEY",45.26,1,3.168,"RAN232"
"ASA03954748",8/1/25,"19:52:59",52993,"Adidas KSA","IF6745_660","ADIZERO SL2 RUNNING SHOES",70.47,1,4.933,"RAN221"
"ASA03952122",8/1/25,"07:17:23",52993,"Adidas KSA","IC1300_140","THIN LINEAR LOW-CUT SOCKS 3 PAIRS",7.3,1,0.511,"RAN221"
"ASA03952122",8/1/25,"07:17:23",52993,"Adidas KSA","JR5089_640","RUNFALCON 5 RUNNING SHOES",46.76,1,3.273,"RAN221"
"ASA03951404",8/1/25,"00:28:49",52993,"Adidas KSA","IH0081_580","ADIDAS BY STELLA MCCARTNEY DROPSET STRENGTH TRAINING SHOES",79.5,1,5.565,"RAN222"
"ASA03953783",8/1/25,"16:18:52",52993,"Adidas KSA","IR7843_210","SERENO AEROREADY CUT 3-STRIPES TRACK SUIT",31.99,1,2.239,"RAN222"
"ASA03951540",8/1/25,"01:42:11",52993,"Adidas KSA","JI8081_500","BACKPACK WITH PENCIL CASE",20.24,1,1.417,"RAN222"
"ASA03959847",8/2/25,"21:19:29",52993,"Adidas KSA","IW9884_280","ADIDAS BY STELLA MCCARTNEY LOGO TEE",42.49,1,2.974,"RAN222"
"ASA03956612",8/2/25,"06:48:44",52993,"Adidas KSA","IF2046_560","Y-3 KAIWA",82.62,1,5.783,"RAN221"
"ASA03957715",8/2/25,"12:51:12",52993,"Adidas KSA","JH8871_410","PREDATOR CLUB HOOK-AND-LOOP TURF BOOTS KIDS",38.66,1,2.706,"RAN221"
"ASA03959251",8/2/25,"18:42:02",52993,"Adidas KSA","JX9075_500","ADIDAS CLASSIC YAY SPORT GRAPHIC BACKPACK",33.94,2,2.376,"RAN222"
"ASA03959847",8/2/25,"21:19:29",52993,"Adidas KSA","JC8060_280","ESSENTIALS WIDE RIB TEE",18.49,1,1.294,"RAN222"
"ASA03959251",8/2/25,"18:42:02",52993,"Adidas KSA","IC9314_220","ESSENTIALS PIQUÉ SMALL LOGO POLO SHIRT",24.09,1,1.686,"RAN222"
"ASA03959251",8/2/25,"18:42:02",52993,"Adidas KSA","JM7155_500","ESSENTIALS WAIST BAG",8.54,1,0.598,"RAN222"
"ASA03959847",8/2/25,"21:19:29",52993,"Adidas KSA","JD1491_280","ESSENTIALS WIDE RIB TEE",18.27,1,1.279,"RAN222"
