Purchase Date (Date),ID,Coupon Code," Grand Total (Base) "
"Sep 1, 2025",1012000028156,AB70,178.2
"Sep 2, 2025",1012000028177,AB30,141.3
"Sep 2, 2025",1012000028178,AB30,313.2
"Sep 3, 2025",1012000028238,AB30,150.3
"Sep 4, 2025",1012000028261,AB198,159.3
"Sep 6, 2025",1012000028320,AB60,1871.1
"Sep 6, 2025",1012000028321,AB60,680.4
"Sep 6, 2025",1012000028324,AB60,375.3
"Sep 6, 2025",1012000028335,AB30,109.1
"Sep 8, 2025",1012000028402,AB30,152.1
"Sep 11, 2025",1012000028497,AB12,304.2
"Sep 12, 2025",1012000028526,AB198,139.5
"Sep 12, 2025",1011000005889,AB60,536.4
"Sep 12, 2025",1012000028551,AB60,250.2
"Sep 14, 2025",1012000028588,AB198,250.2
"Sep 15, 2025",1012000028628,AB30,72.92
"Sep 15, 2025",1012000028651,AB12,106.31
"Sep 15, 2025",1012000028653,AB60,379.26
"Sep 15, 2025",1012000028661,AB12,262.71
"Sep 16, 2025",1011000005913,AB61,136.08
"Sep 16, 2025",1012000028685,AB12,95.76
"Sep 17, 2025",1012000028695,AB12,203.49
"Sep 17, 2025",1012000028730,AB126,118.44
"Sep 17, 2025",1012000028740,AB12,264.6
"Sep 17, 2025",1012000028749,AB126,180.81
"Sep 18, 2025",1012000028763,AB104,99.54
"Sep 18, 2025",1012000028795,AB60,161.91
