Purchase Date (Date),ID,Coupon Code," Grand Total (Base) "
"Aug 22, 2025",1012000027850,AB30,145.8
"Aug 22, 2025",1012000027852,AB60,186.3
"Aug 22, 2025",1012000027854,AB52,51.5
"Aug 23, 2025",1012000027880,AB30,95.6
"Aug 24, 2025",1012000027895,AB70,293.4
"Aug 25, 2025",1012000027911,AB12,298.8
"Aug 25, 2025",1012000027921,AB12,295.2
"Aug 27, 2025",1012000027968,AB44,154.1
"Aug 27, 2025",1012000027977,AB30,156.6
"Aug 27, 2025",1012000027984,AB30,181.8
"Aug 27, 2025",1012000027988,AB12,294.3
"Aug 28, 2025",1012000028010,AB12,154.1
"Aug 29, 2025",1012000028039,AB30,154.1
"Aug 30, 2025",1012000028066,AB30,109.1
"Aug 30, 2025",1012000028079,AB30,151.2
"Aug 30, 2025",1011000005822,AB44,151.2
"Aug 31, 2025",1012000028106,AB104,178.2
"Aug 31, 2025",1012000028111,AB30,223.2
"Aug 31, 2025",1012000028138,AB198,148.7
"Sep 1, 2025",1012000028156,AB70,178.2
"Sep 2, 2025",1012000028177,AB30,141.3
"Sep 2, 2025",1012000028178,AB30,313.2
"Sep 3, 2025",1012000028238,AB30,150.3
"Sep 4, 2025",1012000028261,AB198,159.3
"Sep 6, 2025",1012000028320,AB60,1871.1
"Sep 6, 2025",1012000028321,AB60,680.4
"Sep 6, 2025",1012000028324,AB60,375.3
"Sep 6, 2025",1012000028335,AB30,109.1
