created_date,country,order_id,aff_coupon,AED_gross_amount,AED_net_amount
"Jul 7, 2025",SA,MSA60355311,DZ48,278.418,278.418
"Jul 7, 2025",AE,MAE10249138,HH15,631.75,631.75
"Jul 7, 2025",SA,MSA60355278,DZ48,333.396,333.396
"Jun 30, 2025",AE,MAE10248620,HH24,407.5,407.5
"Jun 30, 2025",SA,MSA60354269,DMP6,2141.496,2141.496
"Jun 29, 2025",SA,MSA60354198,HH30,2614.787,2614.787
"Jun 29, 2025",SA,MSA60354354,DMP6,1190.357,1190.357
"Jun 29, 2025",AE,MAE10248525,HH15,328.95000000000005,67.15
"Jun 29, 2025",SA,MSA60354356,DMP6,1807.218,1807.218
"Jun 29, 2025",SA,MSA60354336,HH24,210.798,210.798
"Jun 29, 2025",SA,MSA60354347,HH30,2643.354,2643.354
"Jun 29, 2025",AE,MAE10248432,DZ5,364.15,364.15
"Jun 28, 2025",AE,MAE10248290,DMP6,605.75,605.75
"Jun 28, 2025",SA,MSA60354046,HH15,209.034,209.034
"Jun 28, 2025",SA,MSA60354277,HH15,422.478,422.478
"Jun 28, 2025",SA,MSA60354148,DMP6,881.118,881.118
"Jun 28, 2025",SA,MSA60354170,DMP6,756.756,756.756
"Jun 27, 2025",SA,MSA60353979,DMP6,1807.218,1807.218
"Jun 26, 2025",SA,MSA60353698,DMP6,200.214,200.214
"Jun 25, 2025",SA,MSA60353679,DMP6,1189.818,1189.818
"Jun 25, 2025",SA,MSA60353662,DMP6,2027.718,2027.718
"Jun 21, 2025",SA,MSA60353382,HH15,201.978,201.978
"Jun 21, 2025",SA,MSA60353272,DMP6,124.117,124.117
"Jun 21, 2025",SA,MSA60353266,HH16,210.798,210.798
"Jun 19, 2025",SA,MSA60352955,DMP6,1190.357,1190.357
"Jun 18, 2025",SA,MSA60353033,DMP6,1719.018,1719.018
"Jun 18, 2025",SA,MSA60353031,DZ24,1665.167,1665.167
"Jun 17, 2025",AE,MAE10247761,DMP6,296.65,296.65
"Jun 16, 2025",SA,MSA60352753,DMP6,166.698,166.698
"Jun 15, 2025",KW,MKW30241317,DMP6,130.39,130.39
"Jun 15, 2025",SA,MSA60352808,HH15,397.04699999999997,397.04699999999997
"Jun 15, 2025",SA,MSA60352823,DMP8,69.678,69.678
"Jun 13, 2025",SA,MSA60352533,HH24,201.978,201.978
"Jun 13, 2025",SA,MSA60352593,HH108,227.115,227.115
"Jun 12, 2025",KW,MKW30241252,DZ24,153.99,153.99
"Jun 12, 2025",KW,MKW30241183,HH30,250.75,250.75
"Jun 11, 2025",AE,MAE10247444,HH30,479.5,292.5
"Jun 9, 2025",SA,MSA60352188,DMP6,203.252,203.252
