Order Date (Full date),Order Date (Month),Coupon,Coupon Description,Order id,Country,Currency,Subtotal,Order Discount,Order Return,Status Of Order,Order Return Value,Payment Method
"15 Aug, 2025 22:08:34",August,CC22,Imported from file Digizag.xlsx,GJH511350,Kingdom of Saudi Arabia,,317,30,0,Processing,0,"Credit, Debit, Apple Pay"
"15 Aug, 2025 18:13:14",August,ZM22,Imported from file Digizag.xlsx,XEN942040,UAE,,158,15.8,0,Processing,0,"Credit, Debit , Apple Pay"
"15 Aug, 2025 15:09:56",August,JM,Digizag,MAM190010,Kuwait,KD,25.2,2.52,0,Delivered,0,"Credit, Debit, Knet"
"15 Aug, 2025 13:50:03",August,MNN27,Imported from file DigiZag Codes 25Feb25.xlsx,VCQ557263,UAE,,102,10.2,0,Delivered,0,"Credit, Debit , Apple Pay"
"15 Aug, 2025 13:03:16",August,CC22,Imported from file Digizag.xlsx,UTJ604620,Kingdom of Saudi Arabia,,238.5,30,0,Processing,0,"Credit, Debit, Apple Pay"
"15 Aug, 2025 00:45:10",August,MNN27,Imported from file DigiZag Codes 25Feb25.xlsx,TKL445638,Kuwait,KD,15.9,1.59,0,Delivered,0,"Credit, Debit, Knet"
"14 Aug, 2025 21:23:32",August,MNN27,Imported from file DigiZag Codes 25Feb25.xlsx,MLW226941,Bahrain,BHD,25.08,2.5,0,Delivered,0,"Credit, Debit"
"14 Aug, 2025 13:14:28",August,MNN27,Imported from file DigiZag Codes 25Feb25.xlsx,MVX980123,UAE,,237,23.7,0,Delivered,0,"Credit, Debit , Apple Pay"
"14 Aug, 2025 12:36:52",August,MNN27,Imported from file DigiZag Bidding Codes.xlsx,BTD722613,Kingdom of Saudi Arabia,,191.68,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"14 Aug, 2025 10:16:07",August,MNN27,Imported from file DigiZag Codes 25Feb25.xlsx,AUB734945,Kuwait,KD,5,0.5,0,Delivered,0,"Credit, Debit, Knet"
"14 Aug, 2025 07:51:33",August,JM,DigiZag,LNR303386,Kingdom of Saudi Arabia,,93,23.25,0,Delivered,0,"Credit, Debit, Apple Pay"
"14 Aug, 2025 07:20:38",August,JM,DigiZag,KJL138785,Kingdom of Saudi Arabia,,259.59,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"14 Aug, 2025 07:14:59",August,CC22,Imported from file Digizag.xlsx,ABK686263,UAE,,179.76,17.97,0,Delivered,0,"Credit, Debit , Apple Pay"
"14 Aug, 2025 00:35:42",August,MNN27,Imported from file DigiZag Bidding Codes.xlsx,QLW434210,Kingdom of Saudi Arabia,,209.12,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"13 Aug, 2025 23:09:10",August,MNN27,Imported from file DigiZag Bidding Codes.xlsx,SLP432178,Kingdom of Saudi Arabia,,129,30,0,Delivered,0,"Credit, Debit, Apple Pay"
"13 Aug, 2025 22:49:04",August,MNN27,Imported from file DigiZag Bidding Codes.xlsx,PPV804055,Kingdom of Saudi Arabia,,94.78,23.69,0,Delivered,0,"Tamara: Split in 3, interest-free"
"13 Aug, 2025 12:34:50",August,RR22,Imported from file Digizag.xlsx,XYE245113,UAE,,285,28.5,0,Delivered,0,"Credit, Debit , Apple Pay"
"13 Aug, 2025 12:02:46",August,CC22,Imported from file Digizag.xlsx,ETK676419,UAE,,300,30,0,Delivered,0,"Credit, Debit , Apple Pay"
"13 Aug, 2025 11:24:26",August,MNN27,Imported from file DigiZag Bidding Codes.xlsx,LML403098,Kingdom of Saudi Arabia,,132.67,30,0,Delivered,0,"Tamara: Split in 3, interest-free"
