"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"09 Sep 2025","fxn","1","41.96","0","0.00","0","0.00","0","0.00"
"09 Sep 2025","zb","1","56.76","0","0.00","0","0.00","0","0.00"
"09 Sep 2025","zg32","1","57.34","0","0.00","0","0.00","0","0.00"
"09 Sep 2025","df5","1","203.80","0","0.00","0","0.00","0","0.00"
"08 Sep 2025","fxn","12","1518.51","0","0.00","0","0.00","0","0.00"
"08 Sep 2025","ost","5","964.49","0","0.00","0","0.00","0","0.00"
"08 Sep 2025","tnmw","4","524.70","0","0.00","0","0.00","0","0.00"
"08 Sep 2025","fuj","4","440.84","0","0.00","0","0.00","0","0.00"
"08 Sep 2025","dd44","2","456.58","0","0.00","0","0.00","0","0.00"
"08 Sep 2025","df5","2","173.08","0","0.00","0","0.00","0","0.00"
"08 Sep 2025","ck","1","68.74","0","0.00","0","0.00","0","0.00"
"08 Sep 2025","cnl","1","58.65","0","0.00","0","0.00","0","0.00"
