"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"13 Sep 2025","fxn","4","1546.07","0","0.00","0","0.00","0","0.00"
"13 Sep 2025","fuj","3","409.36","0","0.00","0","0.00","0","0.00"
"13 Sep 2025","df5","1","198.04","0","0.00","0","0.00","0","0.00"
"13 Sep 2025","ost","1","194.86","0","0.00","0","0.00","0","0.00"
"13 Sep 2025","urpay1","1","745.43","0","0.00","0","0.00","0","0.00"
"12 Sep 2025","fxn","16","1518.00","0","0.00","0","0.00","0","0.00"
"12 Sep 2025","df5","4","359.53","0","0.00","0","0.00","0","0.00"
"12 Sep 2025","tnmw","3","336.86","0","0.00","0","0.00","0","0.00"
"12 Sep 2025","ost","3","211.91","0","0.00","0","0.00","0","0.00"
"12 Sep 2025","fuj","2","107.39","0","0.00","0","0.00","0","0.00"
"12 Sep 2025","zg32","1","97.82","0","0.00","0","0.00","0","0.00"
"12 Sep 2025","cnl","1","52.07","0","0.00","0","0.00","0","0.00"
"12 Sep 2025","dd44","1","280.02","0","0.00","0","0.00","0","0.00"
