Report Name,Individual Item Report
Date Run,9/1/25
Filters,Transaction Date >= 8/25/25,Transaction Date <= 8/31/25,Network ID IN 9,Time Zone = GMT

Order ID,Transaction Date,Transaction Time,MID,Advertiser Name,SKU,Product Name,Sales,# of Items,Total Commission,Order Coupon Code(s)
"ASA04048780",8/25/25,"00:00:00",52993,"Adidas KSA","IF6747","",56.3,1,3.941,"RAN160"
"ASA04048780",8/25/25,"00:00:00",52993,"Adidas KSA","IF6749","",56.3,1,3.941,"RAN160"
"ASA04050230",8/25/25,"23:14:39",52993,"Adidas KSA","JQ1334_450","ADIDAS DISNEY ZOOTOPIA SUPERSTAR II COMFORT CLOSURE SHOES KIDS",60.1,1,4.207,"RAN221"
"ASA04050230",8/25/25,"23:14:39",52993,"Adidas KSA","IG7002_450","SUPERSTAR LED LIGHTS COMFORT CLOSURE SHOES KIDS",62.35,1,4.365,"RAN221"
"ASA04048346",8/25/25,"00:00:00",52993,"Adidas KSA","JY1143","",61.68,1,4.318,"RAN221"
"ASA04049439",8/25/25,"00:00:00",52993,"Adidas KSA","GW6484","",29.44,1,2.061,"RAN221"
"ASA04048346",8/25/25,"00:00:00",52993,"Adidas KSA","ID5283","",21.05,1,1.474,"RAN221"
"ASA04049439",8/25/25,"00:00:00",52993,"Adidas KSA","JR2723","",27.07,1,1.895,"RAN221"
"ASA04051549",8/26/25,"11:53:24",52993,"Adidas KSA","JR3452_580","CRAZYCHAOS 2000 SHOES",65.25,1,4.568,"RAN221"
"ASA04051549",8/26/25,"11:53:24",52993,"Adidas KSA","GW1988_280","TENSAUR HOOK AND LOOP SHOES",26.66,1,1.866,"RAN221"
"ASA04050616",8/26/25,"02:39:42",52993,"Adidas KSA","EG0691_670","ULTRABOOST 20 SHOES",109.21,1,7.645,"RAN222"
"ASA04058866",8/28/25,"12:15:13",52993,"Adidas KSA","HP5817_560","DURAMO 10 SHOES",29.48,1,2.064,"RAN221"
"ASA04059265",8/28/25,"15:13:29",52993,"Adidas KSA","EG0691_660","ULTRABOOST 20 SHOES",125.66,1,8.796,"RAN221"
"ASA04058866",8/28/25,"12:15:13",52993,"Adidas KSA","GW3848_630","GALAXY 6 SHOES",31.43,1,2.2,"RAN221"
"ASA04061064",8/29/25,"06:08:37",52993,"Adidas KSA","IT2758_205","SAUDI ARABIA 24 AWAY JERSEY",33.42,1,2.339,"RAN221"
"ASA04061224",8/29/25,"07:51:34",52993,"Adidas KSA","IQ3376_220","ALL ME MEDIUM-SUPPORT BRA",24.64,1,1.725,"RAN221"
"ASA04061224",8/29/25,"07:51:34",52993,"Adidas KSA","IC1300_140","THIN LINEAR LOW-CUT SOCKS 3 PAIRS",3.91,1,0.274,"RAN221"
"ASA04061224",8/29/25,"07:51:34",52993,"Adidas KSA","JD2276_270","OWN THE RUN 3-STRIPES TEE",21.89,1,1.532,"RAN221"
"ASA04061064",8/29/25,"06:08:37",52993,"Adidas KSA","IR3020_400","SAUDI ARABIA HOME JERSEY",34.2,1,2.394,"RAN221"
"ASA04061224",8/29/25,"07:51:34",52993,"Adidas KSA","IW1024_250","ALL SZN FLEECE LOOSE PANTS",25.98,1,1.819,"RAN221"
"ASA04061224",8/29/25,"07:51:34",52993,"Adidas KSA","JJ1430_270","LES MILLS GRAPHIC TEE",22.16,1,1.551,"RAN221"
"ASA04066156",8/30/25,"17:31:02",52993,"Adidas KSA","JH9023_550","ULTRABOOST 5X SHOES",96.08,1,6.726,"RAN221"
"ASA04065421",8/30/25,"13:10:45",52993,"Adidas KSA","IH3111_610","ULTRABOOST 5X SHOES",94.06,1,6.584,"RAN221"
