"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"01 Sep 2025","fxn","5","356.12","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","fuj","1","216.37","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","ost","1","68.22","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","qkk","1","47.56","0","0.00","0","0.00","0","0.00"
"31 Aug 2025","fxn","14","1925.92","0","0.00","0","0.00","0","0.00"
"31 Aug 2025","fuj","9","765.04","0","0.00","0","0.00","0","0.00"
"31 Aug 2025","ost","3","238.97","0","0.00","0","0.00","0","0.00"
"31 Aug 2025","df5","2","112.96","0","0.00","0","0.00","0","0.00"
"31 Aug 2025","ifw","1","77.53","0","0.00","0","0.00","0","0.00"
"31 Aug 2025","tnmw","1","72.45","0","0.00","0","0.00","0","0.00"
