Order Date,customer_flag,Order Id,Coupon,country,Order Value (AED),Payout (AED)
"Aug 11, 2025",Existing Orders,3011123973,NZ,KSA,88.2392,8.82392
"Aug 3, 2025",Existing Orders,3011081915,R199,KSA,833.049,83.3049
"Aug 3, 2025",New Orders,3011079857,R199,KSA,248.2046,24.82046
"Aug 3, 2025",Existing Orders,000904635,DG21,KSA,90.699,9.0699
"Aug 8, 2025",Existing Orders,3011104791,R199,KSA,150.8906,15.089060000000002
"Aug 8, 2025",Existing Orders,3011105441,R199,KSA,627.249,62.724900000000005
"Aug 8, 2025",Existing Orders,3011105093,Z45,KSA,138.8856,13.888560000000002
"Aug 10, 2025",New Orders,13000054575,ZF,KWT,199.49076,19.949076
"Aug 10, 2025",New Orders,3011119239,R199,KSA,89.18,8.918000000000001
"Aug 15, 2025",Existing Orders,3011140957,D8,KSA,195.6864,19.568640000000002
"Aug 15, 2025",Existing Orders,3011141209,R188,KSA,395.3614,39.53614
"Aug 30, 2025",Existing Orders,3011215587,R188,KSA,209.328,20.9328
"Aug 30, 2025",Existing Orders,3011217065,R199,KSA,216.3154,21.63154
"Aug 30, 2025",New Orders,3011218705,R199,KSA,396.557,39.6557
"Aug 30, 2025",Existing Orders,3011217269,ZF,KSA,128.2036,12.82036
"Aug 30, 2025",Existing Orders,3011219227,R199,KSA,45.276,4.5276000000000005
"Aug 17, 2025",Existing Orders,3011150737,Z47,KSA,186.7684,18.676840000000002
"Aug 17, 2025",Existing Orders,3011154197,R199,KSA,83.0844,8.308440000000001
"Aug 4, 2025",Existing Orders,000904661,R199,KSA,398.0172,39.80172
"Aug 4, 2025",Existing Orders,3011084861,ZF,KSA,256.3484,25.634840000000004
"Aug 4, 2025",Existing Orders,3011083259,R199,KSA,115.7282,11.57282
"Aug 6, 2025",Existing Orders,3011097909,R199,KSA,158.025,15.802500000000002
"Aug 6, 2025",Existing Orders,3011096559,Z45,KSA,228.389,22.838900000000002
"Aug 6, 2025",Existing Orders,3011094661,R199,KSA,72.1966,7.219660000000001
"Aug 6, 2025",Existing Orders,000905943,Z45,KSA,93.1686,9.31686
"Aug 9, 2025",Existing Orders,3011109605,R199,KSA,85.407,8.5407
"Aug 9, 2025",Existing Orders,3011113201,Z45,KSA,140.3752,14.03752
"Aug 20, 2025",Existing Orders,3011166957,NZ,KSA,109.1328,10.91328
"Aug 20, 2025",Existing Orders,3011165493,R199,KSA,109.2112,10.921120000000002
"Aug 16, 2025",Existing Orders,3011145873,NZ,KSA,93.639,9.3639
"Aug 16, 2025",Existing Orders,3011146535,ZF,KSA,108.6134,10.86134
"Aug 2, 2025",Existing Orders,3011076533,R199,KSA,225.2432,22.524320000000003
"Aug 2, 2025",Existing Orders,3011072623,R199,KSA,89.1212,8.91212
"Aug 14, 2025",Existing Orders,3011136765,Z45,KSA,65.072,6.507200000000001
"Aug 14, 2025",Existing Orders,3011137931,R136,KSA,131.124,13.112400000000001
"Aug 14, 2025",Existing Orders,3011137621,R199,KSA,58.9176,5.8917600000000006
"Aug 14, 2025",New Orders,3011136791,Z41,KSA,232.8284,23.28284
"Aug 14, 2025",Existing Orders,3011139757,Z45,KSA,69.3252,6.93252
"Aug 11, 2025",New Orders,3011124487,NZ,KSA,468.9692,46.89692
"Aug 11, 2025",Existing Orders,3011121103,R199,KSA,148.813,14.8813
"Aug 11, 2025",Existing Orders,3011122925,R199,KSA,257.9948,25.799480000000003
"Aug 11, 2025",Existing Orders,3011121809,TO,KSA,335.699,33.569900000000004
"Aug 7, 2025",Existing Orders,3011103311,NZ,KSA,165.424,16.5424
"Aug 7, 2025",New Orders,3011104189,R18,KSA,208.887,20.8887
"Aug 7, 2025",Existing Orders,3011101975,ZF,KSA,102.8608,10.28608
"Aug 7, 2025",Existing Orders,3011101951,ZF,KSA,91.973,9.1973
"Aug 12, 2025",Existing Orders,3011126403,R199,KSA,133.6916,13.36916
"Aug 12, 2025",Existing Orders,3011125419,R199,KSA,137.3862,13.738620000000001
"Aug 12, 2025",Existing Orders,3011127093,Z50,KSA,17.9928,1.79928
"Aug 21, 2025",Existing Orders,3011173731,NZ,KSA,212.905,21.2905
"Aug 28, 2025",Existing Orders,3011207231,R188,KSA,297.0968,29.70968
"Aug 28, 2025",Existing Orders,000913923,R199,KSA,146.8628,14.68628
