"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"02 Sep 2025","7a03","2","104.15","0","0.00","0","0.00","0","0.00"
"02 Sep 2025","df5","2","168.32","0","0.00","0","0.00","0","0.00"
"02 Sep 2025","fxn","1","87.99","0","0.00","0","0.00","0","0.00"
"02 Sep 2025","ost","1","144.18","0","0.00","0","0.00","0","0.00"
"02 Sep 2025","df2","1","129.35","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","fxn","5","327.91","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","fuj","5","635.38","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","df5","2","121.60","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","ost","1","67.36","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","97c","1","51.13","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","bna","1","55.49","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","df2","1","154.18","0","0.00","0","0.00","0","0.00"
