Purchase Date (Date),ID,Coupon Code," Grand Total (Base) "
"Aug 11, 2025",1012000027549,AB70,258.3
"Aug 12, 2025",1012000027560,AB12,151.2
"Aug 12, 2025",1012000027563,AB12,142.2
"Aug 12, 2025",1012000027576,AB30,109.1
"Aug 12, 2025",1012000027579,AB12,109.1
"Aug 13, 2025",1012000027592,AB30,109.1
"Aug 15, 2025",1012000027621,AB70,375.3
"Aug 15, 2025",1012000027622,AB70,517.5
"Aug 15, 2025",1012000027640,AB59,109.1
"Aug 15, 2025",1012000027655,AB30,375.3
"Aug 15, 2025",1012000027661,AB30,226.8
"Aug 16, 2025",1012000027677,AB70,109.1
"Aug 17, 2025",1012000027700,AB12,267.3
"Aug 17, 2025",1012000027705,AB104,109.1
"Aug 17, 2025",1011000005754,AB70,232.2
"Aug 19, 2025",1012000027758,AB30,178.2
"Aug 20, 2025",1012000027777,AB196,170.1
"Aug 21, 2025",1011000005777,AB60,162.9
"Aug 21, 2025",1012000027825,AB70,268.2
"Aug 21, 2025",1012000027826,AB30,164.7
"Aug 21, 2025",1012000027831,AB60,165.6
"Aug 22, 2025",1012000027850,AB30,145.8
"Aug 22, 2025",1012000027852,AB60,186.3
"Aug 22, 2025",1012000027854,AB52,51.5
"Aug 23, 2025",1012000027880,AB30,95.6
"Aug 24, 2025",1012000027895,AB70,293.4
"Aug 25, 2025",1012000027911,AB12,298.8
"Aug 25, 2025",1012000027921,AB12,295.2
"Aug 27, 2025",1012000027968,AB44,154.1
"Aug 27, 2025",1012000027977,AB30,156.6
"Aug 27, 2025",1012000027984,AB30,181.8
"Aug 27, 2025",1012000027988,AB12,294.3
"Aug 28, 2025",1012000028010,AB12,154.1
"Aug 29, 2025",1012000028039,AB30,154.1
"Aug 30, 2025",1012000028066,AB30,109.1
"Aug 30, 2025",1012000028079,AB30,151.2
"Aug 30, 2025",1011000005822,AB44,151.2
"Aug 31, 2025",1012000028106,AB104,178.2
"Aug 31, 2025",1012000028111,AB30,223.2
"Aug 31, 2025",1012000028138,AB198,148.7
