"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"02 Sep 2025","fuj","2","146.90","0","0.00","0","0.00","0","0.00"
"02 Sep 2025","dd44","1","64.09","0","0.00","0","0.00","0","0.00"
"02 Sep 2025","fxn","1","70.45","0","0.00","0","0.00","0","0.00"
"02 Sep 2025","7a03","1","52.07","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","fxn","29","2699.73","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","tnmw","3","321.89","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","va6","2","131.25","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","fuj","2","319.43","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","dd88","1","8.17","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","df10","1","90.81","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","2rz","1","217.66","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","bb","1","39.00","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","ost","1","68.22","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","qkk","1","47.56","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","t5b","1","75.43","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","and3","1","62.89","0","0.00","0","0.00","0","0.00"
"01 Sep 2025","cnl","1","224.47","0","0.00","0","0.00","0","0.00"
