Date,coupon,country,Usage
31-Aug-2025,K130,KSA,1
31-Aug-2025,K131,KSA,1
31-Aug-2025,K135,KSA,10
31-Aug-2025,k137,KSA,6
31-Aug-2025,K179,KSA,1
31-Aug-2025,K180,KSA,1
31-Aug-2025,K189,KSA,2
31-Aug-2025,K196,KSA,1
31-Aug-2025,K197,KSA,16
31-Aug-2025,k198,KSA,2
31-Aug-2025,KA1,KSA,3
31-Aug-2025,Ka119,KSA,3
31-Aug-2025,Ka12,KSA,45
31-Aug-2025,Ka15,KSA,6
31-Aug-2025,Ka2,KSA,11
31-Aug-2025,Ka37,KSA,1
31-Aug-2025,KA4,KSA,2
31-Aug-2025,kA50,KSA,4
31-Aug-2025,Ka55,KSA,1
31-Aug-2025,KA59,KSA,2
31-Aug-2025,KA60,KSA,2
31-Aug-2025,KA61,KSA,1
31-Aug-2025,KA64,KSA,1
31-Aug-2025,KA66,KSA,2
31-Aug-2025,Ka7,KSA,3
31-Aug-2025,Ka88,KSA,2
