"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"30 Aug 2025","fxn","4","318.56","0","0.00","0","0.00","0","0.00"
"30 Aug 2025","df5","1","52.07","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","fxn","5","532.63","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","df5","4","407.96","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","dd44","2","112.44","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","ost","1","102.24","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","fxn","12","1058.51","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","cnl","3","193.51","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","qqq","1","156.55","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","ant","1","302.34","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","df2","1","22.13","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","ost","1","81.96","0","0.00","0","0.00","0","0.00"
