"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"30 Aug 2025","fxn","4","803.96","0","0.00","0","0.00","0","0.00"
"30 Aug 2025","ost","2","79.65","0","0.00","0","0.00","0","0.00"
"30 Aug 2025","df5","1","382.19","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","fxn","19","2090.58","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","df5","4","328.27","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","fuj","3","354.27","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","cnl","2","98.95","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","df2","2","264.24","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","ost","2","275.30","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","tnmw","1","11.51","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","dd44","1","147.59","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","fxn","14","2081.82","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","cnl","4","749.14","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","tnmw","3","183.95","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","ost","2","111.94","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","df5","2","150.60","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","df2","1","716.82","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","tg1","1","93.23","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","ifw","1","94.86","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","fuj","1","52.07","0","0.00","0","0.00","0","0.00"
"28 Aug 2025","cr5","1","60.83","0","0.00","0","0.00","0","0.00"
