Date,coupon,country,Usage
28-Aug-2025,K131,KSA,2
28-Aug-2025,k133,KSA,1
28-Aug-2025,K135,KSA,10
28-Aug-2025,k137,KSA,19
28-Aug-2025,k144,KSA,2
28-Aug-2025,K148,KSA,1
28-Aug-2025,K166,KSA,2
28-Aug-2025,K173,KSA,1
28-Aug-2025,K180,KSA,4
28-Aug-2025,K182,KSA,9
28-Aug-2025,k189,KSA,1
28-Aug-2025,k193,KSA,1
28-Aug-2025,K196,KSA,5
28-Aug-2025,K197,KSA,9
28-Aug-2025,K198,KSA,26
28-Aug-2025,KA1,KSA,2
28-Aug-2025,ka11,KSA,1
28-Aug-2025,Ka119,KSA,1
28-Aug-2025,Ka12,KSA,88
28-Aug-2025,KA15,KSA,4
28-Aug-2025,KA2,KSA,1
28-Aug-2025,Ka23,KSA,1
28-Aug-2025,KA4,KSA,19
28-Aug-2025,Ka50,KSA,3
28-Aug-2025,KA57,KSA,1
28-Aug-2025,KA59,KSA,1
28-Aug-2025,KA60,KSA,2
28-Aug-2025,KA61,KSA,1
28-Aug-2025,KA66,KSA,1
28-Aug-2025,ka8,KSA,1
28-Aug-2025,KA81,KSA,2
28-Aug-2025,KA91,KSA,1
28-Aug-2025,KA99,KSA,1
28-Aug-2025,SS21,KSA,1
