"Puchase Date","Order Number",Status,"Coupon Code",Country,"Grand Total incl Tax","Shipping Amount",Tax,"Cash on Delivery Charges","Store Credit Used","Total Refunded",FINAL_TOTAL,TOTAL_ORDERED_QTY,TOTAL_RETURN_QTY,Type,Commission,Category,COMPANY,"COUPON CODE",Customer_Type
"2025-08-29 00:33:40",PO-BH-250829-15698,complete,Q20,Bahrain,43.24,2.46,3.71,0.00,0.00,0.00,37.07,3.0000,0.0000,CPS,.1,Affliate,DigiZag,Q20,Existing
"2025-08-29 00:33:58",PO-KW-250829-15699,complete,CK22,Kuwait,48.55,1.75,0.00,0.00,0.00,0.00,46.80,1.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-08-29 02:17:09",PO-KW-250829-15756,partially_shipped,CK22,Kuwait,71.05,1.75,0.00,0.00,0.00,0.00,69.30,4.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-08-29 04:26:40",PO-SA-250829-15808,complete,ALC4,"Saudi Arabia",16.50,2.46,1.83,0.00,0.00,0.00,12.21,3.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,New
"2025-08-29 09:23:28",PO-OM-250829-15887,complete,ALC4,Oman,20.40,2.40,0.86,0.00,0.00,0.00,17.14,2.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,Existing
"2025-08-29 12:19:34",PO-KW-250829-15974,complete,X16,Kuwait,13.62,1.75,0.00,0.00,0.00,0.00,11.87,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,X16,New
"2025-08-29 14:06:13",PO-KW-250829-16048,complete,W27,Kuwait,35.77,1.75,0.00,0.00,0.00,0.00,34.02,2.0000,0.0000,CPS,.1,Affliate,DigiZag,W27,Existing
"2025-08-29 15:59:16",PO-SA-250829-16139,complete,W126,"Saudi Arabia",46.75,2.46,5.78,0.00,0.00,0.00,38.51,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,W126,New
"2025-08-29 19:48:05",PO-KW-250829-16310,complete,W27,Kuwait,140.35,1.75,0.00,0.00,0.00,0.00,138.60,11.0000,0.0000,CPS,.1,Affliate,DigiZag,W27,Existing
"2025-08-29 20:05:54",PO-SA-250829-16328,complete,NNN,"Saudi Arabia",94.83,2.46,12.05,0.00,0.00,0.00,80.32,5.0000,0.0000,CPS,.1,Affliate,DigiZag,NNN,Existing
"2025-08-29 21:07:44",PO-KW-250829-16389,complete,ALC4,Kuwait,37.57,1.75,0.00,0.00,0.00,0.00,35.82,2.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,New
"2025-08-29 22:44:25",PO-SA-250829-16459,partially_shipped,W126,"Saudi Arabia",86.45,2.46,10.96,0.00,0.00,0.00,73.03,14.0000,0.0000,CPS,0.1,Affliate,DigiZag,W126,New
"2025-08-29 22:47:45",PO-KW-250829-16463,complete,W199,Kuwait,58.20,1.75,0.00,0.00,0.00,0.00,56.45,6.0000,0.0000,CPS,0.1,Affliate,DigiZag,W199,Existing
"2025-08-29 23:00:51",PO-QA-250829-16473,processing,W112,Qatar,30.47,2.54,0.00,0.00,0.00,0.00,27.93,2.0000,0.0000,CPS,0.1,Affliate,DigiZag,W112,Existing
"2025-08-30 00:08:39",PO-AE-250830-16517,processing,CK22,"United Arab Emirates",136.38,2.51,6.37,0.00,0.00,0.00,127.50,9.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-08-30 01:53:51",PO-SA-250830-16576,processing,ALC4,"Saudi Arabia",16.52,2.46,1.64,1.50,0.00,0.00,10.92,1.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,New
"2025-08-30 07:24:05",PO-SA-250830-16655,partially_shipped,Waf,"Saudi Arabia",35.71,2.46,4.34,0.00,0.00,0.00,28.91,5.0000,0.0000,CPS,.1,Affliate,DigiZag,Waf,Existing
"2025-08-30 10:59:32",PO-KW-250830-16703,complete,W112,Kuwait,73.83,2.50,0.00,0.00,0.00,0.00,71.33,3.0000,0.0000,CPS,0.1,Affliate,DigiZag,W112,Existing
"2025-08-30 12:44:17",PO-KW-250830-16731,in_transfer_to_store,Ck22,Kuwait,37.62,0.00,0.00,0.00,0.00,0.00,37.62,2.0000,0.0000,CPS,.1,Affliate,DigiZag,Ck22,Existing
