,date,order id,amount,coupon,country,currency,customer type
0,2025-08-26,DZ1158437038,0,GY39,SAU,SAR,new
1,2025-08-26,DZ1158751825,0,GY10,SAU,SAR,returning
2,2025-08-26,DZ1158274700,0,TDD39,SAU,SAR,new
3,2025-08-26,DZ1158705141,0,SD20,SAU,SAR,returning
4,2025-08-26,DZ1158598617,0,sd33,SAU,SAR,returning
5,2025-08-26,DZ1158327643,0,SD82,SAU,SAR,returning
6,2025-08-26,DZ1158454572,0,Gy5,SAU,SAR,returning
7,2025-08-26,DZ1158761054,0,sd5,SAU,SAR,returning
8,2025-08-26,DZ1158340700,0,GY39,SAU,SAR,returning
9,2025-08-26,DZ1158783681,0,SD9,SAU,SAR,returning
10,2025-08-26,DZ1158183785,0,SD7,SAU,SAR,returning
11,2025-08-26,DZ1158735314,0,GY39,SAU,SAR,returning
12,2025-08-26,DZ1158685253,0,GY39,SAU,SAR,returning
13,2025-08-26,DZ1158254977,0,GY39,SAU,SAR,new
14,2025-08-26,DZ1158719683,0,GY96,SAU,SAR,new
15,2025-08-26,DZ1158245396,0,TDD14,SAU,SAR,returning
16,2025-08-26,DZ1158559655,0,SD90,SAU,SAR,returning
17,2025-08-26,DZ1158720959,0,TDD14,SAU,SAR,new
18,2025-08-26,DZ1158073136,0,TDD14,SAU,SAR,returning
19,2025-08-26,DZ1158530296,0,GY45,SAU,SAR,returning
20,2025-08-26,DZ1158501454,0,GY39,SAU,SAR,returning
21,2025-08-26,DZ1158469367,0,TDD9,SAU,SAR,returning
22,2025-08-26,DZ1158290870,0,GY39,SAU,SAR,returning
23,2025-08-26,DZ1158753695,0,TDD3,SAU,SAR,returning
24,2025-08-26,DZ1158160003,0,SD11,SAU,SAR,returning
25,2025-08-26,DZ1158108842,0,GY96,SAU,SAR,new
26,2025-08-26,DZ1158405127,0,GY39,SAU,SAR,returning
27,2025-08-26,DZ1158504633,0,TDD40,SAU,SAR,returning
28,2025-08-26,DZ1158600718,0,SD166,SAU,SAR,returning
29,2025-08-26,DZ1158479036,0,SD33,SAU,SAR,returning
30,2025-08-26,DZ1158604040,0,TDD13,SAU,SAR,returning
31,2025-08-26,DZ1158430328,0,GY45,SAU,SAR,returning
32,2025-08-26,DZ1158525368,0,SD90,SAU,SAR,returning
33,2025-08-26,DZ1158336806,0,TDD39,SAU,SAR,returning
34,2025-08-26,DZ1158395744,0,GY39,SAU,SAR,returning
35,2025-08-26,DZ1158106675,0,TDD39,SAU,SAR,returning
36,2025-08-26,DZ1158364482,0,GY39,SAU,SAR,returning
37,2025-08-26,DZ1158677069,0,Gy39,SAU,SAR,returning
38,2025-08-26,DZ1158778786,0,GY39,SAU,SAR,returning
39,2025-08-26,DZ1158568785,0,GY39,SAU,SAR,returning
40,2025-08-26,DZ1158198888,0,SD22,SAU,SAR,returning
41,2025-08-26,DZ1158603655,0,gy38,SAU,SAR,returning
42,2025-08-26,DZ1158365120,0,TDD40,SAU,SAR,returning
43,2025-08-26,DZ1158744114,0,GY17,SAU,SAR,returning
44,2025-08-26,DZ1158623620,0,TDD40,SAU,SAR,returning
45,2025-08-26,DZ1158522838,0,GY39,SAU,SAR,returning
46,2025-08-26,DZ1158762935,0,GY5,SAU,SAR,returning
47,2025-08-26,DZ1158670667,0,GY50,SAU,SAR,new
48,2025-08-26,DZ1158159596,0,GY96,SAU,SAR,returning
49,2025-08-26,DZ1158661075,0,TDD39,SAU,SAR,returning
50,2025-08-26,DZ1158217291,0,GY16,SAU,SAR,returning
51,2025-08-26,DZ1158555211,0,sd105,SAU,SAR,new
52,2025-08-26,DZ1158219062,0,SD5,SAU,SAR,returning
53,2025-08-26,DZ1158566464,0,GY51,SAU,SAR,new
54,2025-08-26,DZ1158248355,0,GY39,SAU,SAR,returning
55,2025-08-26,DZ1158497835,0,sd26,SAU,SAR,returning
56,2025-08-26,DZ1158613368,0,SD9,SAU,SAR,returning
57,2025-08-26,DZ1158144042,0,SD2,SAU,SAR,returning
58,2025-08-26,DZ1158536709,0,sD33,SAU,SAR,returning
59,2025-08-26,DZ1158308866,0,SD2,SAU,SAR,returning
60,2025-08-26,DZ1158646544,0,TDD14,SAU,SAR,returning
61,2025-08-26,DZ1158286470,0,SD8,SAU,SAR,returning
62,2025-08-26,DZ1158348939,0,SD44,SAU,SAR,returning
63,2025-08-26,DZ1158321681,0,SD22,SAU,SAR,returning
64,2025-08-26,DZ1158524961,0,TDD14,SAU,SAR,returning
65,2025-08-26,DZ1158410814,0,tdd16,SAU,SAR,returning
66,2025-08-26,DZ1158576606,0,TDD28,SAU,SAR,returning
67,2025-08-26,DZ1158716955,0,GY9,SAU,SAR,returning
68,2025-08-26,DZ1158144361,0,GY39,SAU,SAR,returning
69,2025-08-26,DZ1158312584,0,GY39,SAU,SAR,returning
70,2025-08-26,DZ1158456376,0,GY33,SAU,SAR,new
71,2025-08-26,DZ1158143173,0,SD30,SAU,SAR,returning
72,2025-08-26,DZ1158617944,0,sd3,SAU,SAR,returning
73,2025-08-26,DZ1158460809,0,GY39,SAU,SAR,returning
74,2025-08-26,DZ1158632189,0,SD2,SAU,SAR,returning
75,2025-08-26,DZ1158712709,0,sd2,SAU,SAR,returning
76,2025-08-26,DZ1158621992,0,GY45,SAU,SAR,returning
77,2025-08-26,DZ1158551328,0,SD33,SAU,SAR,returning
78,2025-08-26,DZ1158719507,0,SD77,SAU,SAR,returning
79,2025-08-26,DZ1158759393,0,TDD5,SAU,SAR,returning
80,2025-08-26,DZ1158671118,0,gy39,SAU,SAR,returning
81,2025-08-26,DZ1158526369,0,TDD39,SAU,SAR,returning
82,2025-08-26,DZ1158566607,0,SD33,SAU,SAR,new
