Affiliate,ID,Coupon,,These Coupons will be requested evertime we onboard a new campaign
 Almowafir,5566,ALM,,
Al coupon,6706,ALC,,
Amr Mohamed,7010,WFRLY,,
Codekhasm,6675,CK,,
codopon,14440,DON,,
Coupon5sm,189,5sm,,
Couponwafy,6729,WAFY,,
Couponwafy,6729,WAF,,
Eksmly,14298,NNN,,
Eksmly,14298,QQQ,,
EverySaving,14421,EV,,
Golden,6557,GC,,
Haron Ali,2345,HA,,
ibrahim,5458,BAH,,
Marwan,6658,MRW,,
Qasimah,12346,QS,,
Qasimah,12346,QA,,
SAAS,7747,SAAS,,
Sahseh,8486,Sah,,
Waffarly,6671,WFR,,
Walaplus,14465,Wala2025,,
Bcare,14431,Bcare,,
URPAY,,URPAY,,
