"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"27 Aug 2025","fxn","3","402.85","0","0.00","0","0.00","0","0.00"
"27 Aug 2025","cr5","1","171.71","0","0.00","0","0.00","0","0.00"
"27 Aug 2025","zg32","1","93.25","0","0.00","0","0.00","0","0.00"
"26 Aug 2025","fxn","11","1271.73","0","0.00","0","0.00","0","0.00"
"26 Aug 2025","fuj","7","787.56","0","0.00","0","0.00","0","0.00"
"26 Aug 2025","ost","2","162.11","0","0.00","0","0.00","0","0.00"
"26 Aug 2025","df5","2","231.74","0","0.00","0","0.00","0","0.00"
"26 Aug 2025","tnmw","1","103.42","0","0.00","0","0.00","0","0.00"
"26 Aug 2025","ck","1","199.06","0","0.00","0","0.00","0","0.00"
"26 Aug 2025","cnl","1","130.00","0","0.00","0","0.00","0","0.00"
"26 Aug 2025","dd44","1","61.72","0","0.00","0","0.00","0","0.00"
"26 Aug 2025","df1","1","32.82","0","0.00","0","0.00","0","0.00"
"26 Aug 2025","qqq","1","95.10","0","0.00","0","0.00","0","0.00"
