Order Id,Order Status,Item ID,Item ID,Order Date,Geo,Customer Type,Coupon Code,Quanity,Unit Price,Sale Amount,category_id,category_name,commission_rate,Payout,Currency
3577635,Processing,10679756,Police Nadu Women's Analogue Watch PL.16043BSTR/39,2025-08-26T19:15:22,UAE,OLD,H50,1,279,279,55008,Women Wrist Watch,3.0,8.37,AED
3577632,Pending,10753496,Apple iPhone 12  64GB -Black,2025-08-26T19:09:47,UAE,OLD,ZZ57,1,699,699,17004,Mobiles,2.0,13.98,AED
3577632,Pending,10753498,Apple iPhone 12  64GB - Blue,2025-08-26T19:09:47,UAE,OLD,ZZ57,1,699,699,17004,Mobiles,2.0,13.98,AED
3577490,Pending,10767242,Apple MacBook Air Laptop A2337 (2020) M1 Chip | 13,2025-08-26T15:27:48,UAE,OLD,ZZ48,1,1300,1300,16012,Laptops,3.0,39.0,AED
3577319,Packed,10208765,Emporio Armani Womens Quartz Watch Analog Display ,2025-08-26T11:20:20,UAE,OLD,ZZ48,1,343,343,55008,Women Wrist Watch,3.0,10.29,AED
3577300,Pending,10753499,"Xiaomi Pad 6 (Gravity Gray 8GB RAM, 256 Storage) -",2025-08-26T10:43:24,UAE,NEW,H4,1,750,750,17005,Tablets,2.0,15.0,AED
3577290,Pending,10731527,Casio Couple's Watch MTP/LTP-1170N-9ARDF - Gold,2025-08-26T10:24:26,UAE,NEW,ZZ57,1,99,99,55006,Men Wrist Watch,3.0,2.97,AED
3577290,Pending,10732026,YOKOSAKI GRILL PAN GRILLPAN DC743 36CM/Black/One S,2025-08-26T10:24:26,UAE,NEW,ZZ57,1,59,59,45002,Cookware,3.0,1.77,AED
3577262,Processing,10653889,"Fossil Men's Watch, 45 mm Case, Chronograph Quartz",2025-08-26T09:56:28,UAE,NEW,ZZ57,1,210,210,55006,Men Wrist Watch,3.0,6.3,AED
3577257,Processing,10750335,Lenovo ThinkPad E14 Gen 2 14” (11th Gen) Intel Cor,2025-08-26T09:46:25,KSA,OLD,ZZ49,1,1389,1389,16012,Laptops,3.0,41.67,SAR
3577198,Processing,10796004,Dell Latitude 3190 2-in-1 Laptop | 8GB RAM - 128GB,2025-08-26T07:38:19,UAE,NEW,H35,1,270,270,16012,Laptops,3.0,8.1,AED
3577028,Packed,10700588,Mi Power Bank 3 – 40000mAh Supercharged Powerhouse,2025-08-25T20:40:46,UAE,NEW,ZZ57,1,68.35,68.35,12012,Power Bank,2.5,1.71,AED
3577027,Shipped,10735158,Loreal age perfect zell renaissance midnight serum,2025-08-25T20:40:46,UAE,NEW,ZZ57,2,59,118,22012,Skin Care,4.5,5.31,AED
3577020,Shipped,10694408,Glorious GMMK 2 Prebuilt Full Size Keyboard - Blac,2025-08-25T20:17:19,UAE,NEW,H42,1,225,225,16010,Keyboards & Mouse,3.0,6.75,AED
3577020,Shipped,10743867,Glorious Gaming Mouse - Model O Minus 58 g Superli,2025-08-25T20:17:19,UAE,NEW,H42,1,87,87,16010,Keyboards & Mouse,3.0,2.61,AED
3576985,Processing,10750248,Dell Latitude 7420 | Intel Core i7 11th Gen | 16GB,2025-08-25T18:57:07,KSA,OLD,ZZ49,1,1380,1380,16012,Laptops,3.0,41.4,SAR
3576974,Shipped,10622844,Apple iPhone 15 Pro 256 GB - White Titanium,2025-08-25T18:45:15,UAE,NEW,H12,1,2679,2679,17004,Mobiles,2.0,53.58,AED
3576952,Shipped,10784926,Dell Latitude 7000 7420 Laptop 2021 14 inch FHD Co,2025-08-25T18:03:46,UAE,NEW,ZZ57,1,1239,1239,16012,Laptops,3.0,37.17,AED
3576883,Processing,9909685,Emporio Armani AR1721 Men's Quartz Watch Chronogra,2025-08-25T16:42:06,UAE,OLD,H4,1,399,399,55006,Men Wrist Watch,3.0,11.97,AED
3576879,Processing,10555459,Apple iPhone 12 Pro Max 256GB - Pacific Blue,2025-08-25T16:26:42,UAE,NEW,ZZ57,1,1389,1389,17004,Mobiles,2.0,27.78,AED
3576729,Processing,5533334,Apple iPhone 12 Pro 128GB - Gold,2025-08-25T12:25:11,UAE,OLD,H45,1,1079,1079,17004,Mobiles,2.0,21.58,AED
3576719,Processing,10750380,مايكروسوفت سيرفس برو 7 | لابتوب 2 في 1 بشاشة لمس 1,2025-08-25T12:09:18,KSA,OLD,H50,1,1679,1679,16012,Laptops,3.0,50.37,SAR
