Date,coupon,country,Usage
25-Aug-2025,K123,KSA,2
25-Aug-2025,K130,KSA,1
25-Aug-2025,k135,KSA,7
25-Aug-2025,k137,KSA,9
25-Aug-2025,K166,KSA,1
25-Aug-2025,K180,KSA,4
25-Aug-2025,K182,KSA,5
25-Aug-2025,K185,KSA,1
25-Aug-2025,K189,KSA,1
25-Aug-2025,K197,KSA,7
25-Aug-2025,K198,KSA,3
25-Aug-2025,KA1,KSA,3
25-Aug-2025,Ka100,KSA,1
25-Aug-2025,Ka119,KSA,1
25-Aug-2025,Ka12,KSA,40
25-Aug-2025,KA15,KSA,5
25-Aug-2025,KA21,KSA,1
25-Aug-2025,Ka23,KSA,1
25-Aug-2025,KA3,KSA,1
25-Aug-2025,Ka32,KSA,1
25-Aug-2025,KA37,KSA,1
25-Aug-2025,KA4,KSA,5
25-Aug-2025,KA50,KSA,4
25-Aug-2025,KA59,KSA,1
25-Aug-2025,kA61,KSA,1
25-Aug-2025,KA63,KSA,1
25-Aug-2025,Ka88,KSA,1
25-Aug-2025,ss11,KSA,1
25-Aug-2025,SS21,KSA,1
