Date_ordered,Country,type,name,follower_code,# Orders,# Orders New Customers,# Orders Repeat Customers,Revenue,New Cust Revenue,Repeat Cust Revenue
"Oct 1, 2025",UAE,Affiliates,DigiZag,mzzr7,1,0,1,329.5722070844687,null,329.5722070844687
"Oct 1, 2025",KSA,Affiliates,DigiZag,zz50,1,1,0,294.5068119891008,294.5068119891008,null
"Oct 1, 2025",KSA,Affiliates,DigiZag,zmm86,2,0,2,110.20163487738421,null,110.20163487738421
"Oct 1, 2025",KSA,Affiliates,DigiZag,zm66,1,1,0,240.85558583106268,240.85558583106268,null
"Oct 1, 2025",UAE,Affiliates,DigiZag,zm66,1,0,1,21.95367847411444,null,21.95367847411444
"Oct 1, 2025",KSA,Affiliates,DigiZag,dww7,1,0,1,6.904632152588556,null,6.904632152588556
"Oct 2, 2025",RoGCC,Affiliates,DigiZag,zz17,1,1,0,498.6130790190736,498.6130790190736,null
"Oct 2, 2025",KSA,Affiliates,DigiZag,zz88,2,1,1,132.07629427792918,41.378746594005456,90.69754768392372
"Oct 2, 2025",KSA,Affiliates,DigiZag,zz96,1,1,0,223.68937329700273,223.68937329700273,null
"Oct 2, 2025",KSA,Affiliates,DigiZag,zmgm,1,1,0,314.16621253406,314.16621253406,null
"Oct 2, 2025",UAE,Affiliates,DigiZag,mzzr7,1,1,0,118.07356948228883,118.07356948228883,null
"Oct 2, 2025",KSA,Affiliates,DigiZag,mzz6a,1,1,0,113.04632152588556,113.04632152588556,null
"Oct 2, 2025",KSA,Affiliates,DigiZag,dww7,1,0,1,273.70027247956403,null,273.70027247956403
"Oct 2, 2025",UAE,Affiliates,DigiZag,zz88,1,0,1,122.4850136239782,null,122.4850136239782
"Oct 2, 2025",KSA,Affiliates,DigiZag,zz39,1,1,0,98.56948228882834,98.56948228882834,null
"Oct 2, 2025",KSA,Affiliates,DigiZag,dd5,1,0,1,16.997275204359674,null,16.997275204359674
"Oct 2, 2025",KSA,Affiliates,DigiZag,zmm86,2,0,2,118.47683923705722,null,118.47683923705722
"Oct 2, 2025",UAE,Affiliates,DigiZag,zm66,1,0,1,40.403269754768395,null,40.403269754768395
"Oct 2, 2025",KSA,Affiliates,DigiZag,zz50,4,1,3,247.63487738419622,138.78746594005452,108.84741144414168
"Oct 2, 2025",KSA,Affiliates,DigiZag,zmpd,1,1,0,78.57765667574932,78.57765667574932,null
"Oct 3, 2025",KSA,Affiliates,DigiZag,zmpd,1,0,1,113.04632152588556,null,113.04632152588556
"Oct 3, 2025",KSA,Affiliates,DigiZag,zz88,3,0,3,357.433242506812,null,357.433242506812
"Oct 3, 2025",KSA,Affiliates,DigiZag,zz86,1,0,1,138.21525885558583,null,138.21525885558583
"Oct 3, 2025",KSA,Affiliates,DigiZag,dd5,1,1,0,101.19346049046321,101.19346049046321,null
"Oct 3, 2025",UAE,Affiliates,DigiZag,zz50,1,0,1,196.96457765667574,null,196.96457765667574
"Oct 3, 2025",KSA,Affiliates,DigiZag,zmm86,3,2,1,138.46049046321525,130.03269754768394,8.427792915531334
"Oct 3, 2025",KSA,Affiliates,DigiZag,zz50,1,0,1,438.35694822888286,null,438.35694822888286
"Oct 3, 2025",UAE,Affiliates,DigiZag,mzzr7,1,0,1,19.618528610354225,null,19.618528610354225
"Oct 4, 2025",UAE,Affiliates,DigiZag,zmyb,1,0,1,57.741144414168936,null,57.741144414168936
"Oct 4, 2025",KSA,Affiliates,DigiZag,zz50,1,0,1,106.77384196185287,null,106.77384196185287
"Oct 4, 2025",KSA,Affiliates,DigiZag,zmm86,4,2,2,734.7820163487739,232.16621253405995,502.6158038147139
"Oct 4, 2025",KSA,Affiliates,DigiZag,zz88,2,0,2,133.2534059945504,null,133.2534059945504
"Oct 5, 2025",UAE,Affiliates,DigiZag,zz86,1,0,1,134.16348773841963,null,134.16348773841963
"Oct 5, 2025",KSA,Affiliates,DigiZag,zz86,1,0,1,24.498637602179837,null,24.498637602179837
"Oct 5, 2025",KSA,Affiliates,DigiZag,zz50,2,1,1,317.18528610354224,111.68937329700272,205.4959128065395
"Oct 5, 2025",KSA,Affiliates,DigiZag,zz88,1,0,1,44.50136239782016,null,44.50136239782016
"Oct 5, 2025",KSA,Affiliates,DigiZag,zmcj,1,1,0,640.1716621253406,640.1716621253406,null
"Oct 5, 2025",RoGCC,Affiliates,DigiZag,zmcj,1,0,1,240.55040871934608,null,240.55040871934608
"Oct 5, 2025",UAE,Affiliates,DigiZag,zz88,2,1,1,115.76294277929155,25.37874659400545,90.3841961852861
"Oct 5, 2025",UAE,Affiliates,DigiZag,zm66,2,0,2,110.10899182561309,null,110.10899182561309
"Oct 5, 2025",KSA,Affiliates,DigiZag,zmm86,4,1,3,530.2452316076294,24.44959128065395,505.79564032697544
"Oct 6, 2025",KSA,Affiliates,DigiZag,zmgt,1,1,0,316.68392370572207,316.68392370572207,null
"Oct 6, 2025",KSA,Affiliates,DigiZag,zmm86,1,1,0,326.06267029972753,326.06267029972753,null
"Oct 6, 2025",KSA,Affiliates,DigiZag,dww7,2,0,2,98.60217983651226,null,98.60217983651226
"Oct 6, 2025",UAE,Affiliates,DigiZag,zz88,1,1,0,418.06267029972753,418.06267029972753,null
"Oct 6, 2025",RoGCC,Affiliates,DigiZag,zz88,1,1,0,334.732970027248,334.732970027248,null
"Oct 6, 2025",KSA,Affiliates,DigiZag,zz88,1,0,1,16.16348773841962,null,16.16348773841962
"Oct 7, 2025",UAE,Affiliates,DigiZag,zz88,1,0,1,24.291553133514988,null,24.291553133514988
"Oct 7, 2025",KSA,Affiliates,DigiZag,zmm86,3,1,2,228.2724795640327,73.77111716621253,154.50136239782017
"Oct 7, 2025",KSA,Affiliates,DigiZag,zz88,1,1,0,83.3841961852861,83.3841961852861,null
"Oct 7, 2025",KSA,Affiliates,DigiZag,zz50,3,1,2,408.16621253406,33.84196185286104,374.3242506811989
"Oct 7, 2025",KSA,Affiliates,DigiZag,zz44,1,0,1,55.275204359673026,null,55.275204359673026
"Oct 7, 2025",KSA,Affiliates,DigiZag,dd5,2,1,1,113.37874659400546,56.13896457765668,57.23978201634878
"Oct 8, 2025",UAE,Affiliates,DigiZag,zz50,1,0,1,30.594005449591283,null,30.594005449591283
"Oct 8, 2025",KSA,Affiliates,DigiZag,zz88,1,0,1,87.3542234332425,null,87.3542234332425
"Oct 8, 2025",KSA,Affiliates,DigiZag,dd5,2,0,2,319.1716621253407,null,319.1716621253407
"Oct 8, 2025",RoGCC,Affiliates,DigiZag,dww7,1,1,0,558.558583106267,558.558583106267,null
"Oct 8, 2025",UAE,Affiliates,DigiZag,zz88,1,0,1,131.3106267029973,null,131.3106267029973
"Oct 8, 2025",UAE,Affiliates,DigiZag,dww7,1,1,0,589.3351498637603,589.3351498637603,null
"Oct 8, 2025",UAE,Affiliates,DigiZag,zm66,1,0,1,83.84468664850135,null,83.84468664850135
"Oct 8, 2025",KSA,Affiliates,DigiZag,zmm86,6,2,4,444.7057220708447,252.65667574931882,192.0490463215259
"Oct 8, 2025",UAE,Affiliates,DigiZag,mzzr7,1,0,1,94.40599455040874,null,94.40599455040874
"Oct 9, 2025",UAE,Affiliates,DigiZag,zm66,1,0,1,95.05722070844688,null,95.05722070844688
"Oct 9, 2025",KSA,Affiliates,DigiZag,zmwx,1,0,1,255.65122615803816,null,255.65122615803816
"Oct 9, 2025",KSA,Affiliates,DigiZag,zmgm,1,0,1,25.33514986376022,null,25.33514986376022
"Oct 9, 2025",KSA,Affiliates,DigiZag,zmm86,5,1,4,669.0708446866485,301.858310626703,367.2125340599455
"Oct 9, 2025",UAE,Affiliates,DigiZag,mzza2,1,0,1,144.80381471389646,null,144.80381471389646
"Oct 9, 2025",UAE,Affiliates,DigiZag,mzzr7,1,0,1,76.60490463215258,null,76.60490463215258
"Oct 9, 2025",KSA,Affiliates,DigiZag,zz50,1,1,0,46.67029972752044,46.67029972752044,null
"Oct 10, 2025",UAE,Affiliates,DigiZag,zmcj,1,1,0,14.596730245231608,14.596730245231608,null
"Oct 10, 2025",KSA,Affiliates,DigiZag,zz86,2,1,1,187.4632152588556,31.348773841961854,156.11444141689375
"Oct 10, 2025",RoGCC,Affiliates,DigiZag,zz77,1,1,0,222.39509536784743,222.39509536784743,null
"Oct 10, 2025",UAE,Affiliates,DigiZag,zm66,1,1,0,40.403269754768395,40.403269754768395,null
"Oct 10, 2025",RoGCC,Affiliates,DigiZag,zmpd,1,1,0,101.19073569482289,101.19073569482289,null
"Oct 10, 2025",KSA,Affiliates,DigiZag,dww7,2,1,1,269.49591280653954,49.13896457765668,220.35694822888286
"Oct 10, 2025",KSA,Affiliates,DigiZag,zz88,2,1,1,399.6757493188011,229.93732970027247,169.73841961852864
"Oct 10, 2025",UAE,Affiliates,DigiZag,zz88,2,1,1,481.74114441416896,308.2888283378747,173.4523160762943
"Oct 10, 2025",UAE,Affiliates,DigiZag,mzzr7,1,0,1,39.18528610354223,null,39.18528610354223
"Oct 10, 2025",KSA,Affiliates,DigiZag,zmpd,1,1,0,115.86648501362399,115.86648501362399,null
"Oct 11, 2025",KSA,Affiliates,DigiZag,zz50,1,0,1,81.71117166212534,null,81.71117166212534
"Oct 11, 2025",UAE,Affiliates,DigiZag,dww7,1,1,0,130.0108991825613,130.0108991825613,null
"Oct 11, 2025",KSA,Affiliates,DigiZag,zmm86,3,2,1,614.7629427792915,554.158038147139,60.60490463215259
"Oct 11, 2025",KSA,Affiliates,DigiZag,zz17,1,0,1,177.866485013624,null,177.866485013624
"Oct 12, 2025",UAE,Affiliates,DigiZag,mzzr7,1,0,1,20.318801089918253,null,20.318801089918253
"Oct 12, 2025",KSA,Affiliates,DigiZag,zmwx,1,0,1,42.166212534059945,null,42.166212534059945
"Oct 12, 2025",KSA,Affiliates,DigiZag,zm66,1,0,1,139.61035422343323,null,139.61035422343323
"Oct 12, 2025",KSA,Affiliates,DigiZag,zmm86,6,1,5,820.4386920980928,48.06539509536785,772.3732970027249
"Oct 12, 2025",UAE,Affiliates,DigiZag,zm66,1,0,1,24.98910081743869,null,24.98910081743869
"Oct 12, 2025",KSA,Affiliates,DigiZag,dd5,2,1,1,372.42506811989097,350.62125340599454,21.803814713896458
"Oct 12, 2025",KSA,Affiliates,DigiZag,dww7,1,0,1,30.04632152588556,null,30.04632152588556
"Oct 12, 2025",KSA,Affiliates,DigiZag,zz88,1,0,1,123.37874659400545,null,123.37874659400545
"Oct 13, 2025",UAE,Affiliates,DigiZag,mzzgf,1,0,1,90.566757493188,null,90.566757493188
"Oct 13, 2025",UAE,Affiliates,DigiZag,zz88,1,1,0,112.36512261580381,112.36512261580381,null
"Oct 13, 2025",UAE,Affiliates,DigiZag,zz86,1,0,1,125.59945504087193,null,125.59945504087193
"Oct 13, 2025",KSA,Affiliates,DigiZag,zz50,2,1,1,102.40054495912807,60.39509536784741,42.00544959128065
"Oct 13, 2025",UAE,Affiliates,DigiZag,dww7,1,0,1,102.47683923705722,null,102.47683923705722
"Oct 13, 2025",UAE,Affiliates,DigiZag,zmr6,1,0,1,102.50408719346049,null,102.50408719346049
