,date,order id,amount,coupon,country,currency,customer type
0,2025-10-26,DZ1199633259,0,sd76,SAU,SAR,returning
1,2025-10-26,DZ1199519057,0,GY33,SAU,SAR,new
2,2025-10-26,DZ1199880231,0,GY25,SAU,SAR,returning
3,2025-10-26,DZ1199587598,0,GY30,SAU,SAR,returning
4,2025-10-26,DZ1199865535,0,gy99,SAU,SAR,new
5,2025-10-26,DZ1199496639,0,SD113,SAU,SAR,returning
6,2025-10-26,DZ1199421674,0,SD112,SAU,SAR,returning
7,2025-10-26,DZ1199600556,0,SD11,SAU,SAR,returning
8,2025-10-26,DZ1199613316,0,Tdd44,SAU,SAR,returning
9,2025-10-26,DZ1199351604,0,TDD44,SAU,SAR,returning
10,2025-10-26,DZ1199358347,0,gy32,SAU,SAR,returning
11,2025-10-26,DZ1199678909,0,GY45,SAU,SAR,returning
12,2025-10-26,DZ1199371052,0,TDD40,SAU,SAR,returning
13,2025-10-26,DZ1199600809,0,TDD40,SAU,SAR,returning
14,2025-10-26,DZ1199589446,0,GY30,SAU,SAR,returning
15,2025-10-26,DZ1199323818,0,GY50,SAU,SAR,new
16,2025-10-26,DZ1199367510,0,sd99,SAU,SAR,returning
17,2025-10-26,DZ1199647317,0,sd52,SAU,SAR,returning
18,2025-10-26,DZ1199458535,0,SD25,SAU,SAR,returning
19,2025-10-26,DZ1199481745,0,SD93,SAU,SAR,returning
20,2025-10-26,DZ1199441408,0,SD92,SAU,SAR,returning
21,2025-10-26,DZ1199527747,0,SD11,SAU,SAR,returning
22,2025-10-26,DZ1199340637,0,GY47,SAU,SAR,returning
23,2025-10-26,DZ1199572825,0,SD55,SAU,SAR,returning
24,2025-10-26,DZ1199385583,0,gy10,SAU,SAR,returning
25,2025-10-26,DZ1199889438,0,TDD39,SAU,SAR,new
26,2025-10-26,DZ1199412170,0,GY45,SAU,SAR,returning
27,2025-10-26,DZ1199601821,0,SD11,SAU,SAR,returning
28,2025-10-26,DZ1199725802,0,sd47,SAU,SAR,returning
29,2025-10-26,DZ1199511401,0,sd46,SAU,SAR,returning
30,2025-10-26,DZ1199574651,0,TDD39,SAU,SAR,returning
31,2025-10-26,DZ1199348161,0,TDD14,SAU,SAR,returning
32,2025-10-26,DZ1199842193,0,GY96,SAU,SAR,new
