"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"27 Oct 2025","fxn","4","384.47","0","0.00","0","0.00","0","0.00"
"27 Oct 2025","ost","1","111.16","0","0.00","0","0.00","0","0.00"
"27 Oct 2025","ff7k","1","145.46","0","0.00","0","0.00","0","0.00"
"26 Oct 2025","fxn","12","1530.30","0","0.00","0","0.00","0","0.00"
"26 Oct 2025","fuj","5","420.16","0","0.00","0","0.00","0","0.00"
"26 Oct 2025","ost","4","458.17","0","0.00","0","0.00","0","0.00"
"26 Oct 2025","df5","2","358.51","0","0.00","0","0.00","0","0.00"
"26 Oct 2025","ff7k","2","117.83","0","0.00","0","0.00","0","0.00"
"26 Oct 2025","dd22","1","79.70","0","0.00","0","0.00","0","0.00"
"26 Oct 2025","ccc","1","67.16","0","0.00","0","0.00","0","0.00"
"26 Oct 2025","tnmw","1","100.51","0","0.00","0","0.00","0","0.00"
