Order Date,customer_flag,Order Id,Coupon,country,Order Value (AED),Payout (AED)
"Oct 7, 2025",Existing Orders,3011384557,R199,KSA,151.263,15.1263
"Sep 27, 2025",Existing Orders,3011336927,R199,KSA,178.4776,17.84776
"Sep 27, 2025",Existing Orders,000927041,RY,KSA,104.8796,10.487960000000001
"Sep 30, 2025",New Orders,3011351133,R199,KSA,160.4848,16.04848
"Oct 6, 2025",Existing Orders,3011378879,RY,KSA,377.8194,37.78194
"Sep 28, 2025",New Orders,3011339909,R199,KSA,38.71,3.8710000000000004
"Oct 15, 2025",Existing Orders,3011413905,3D,KSA,406.7,40.67
"Oct 13, 2025",Existing Orders,000934043,ZF,KSA,166.5118,16.65118
"Oct 5, 2025",New Orders,3011375069,R199,KSA,141.2866,14.12866
"Oct 5, 2025",Existing Orders,3011375313,R199,KSA,316.2754,31.62754
"Oct 2, 2025",Existing Orders,3011364043,R13,KSA,185.0632,18.50632
"Oct 4, 2025",New Orders,000930689,RY,KSA,267.246,26.7246
"Oct 4, 2025",Existing Orders,000930697,Z45,KSA,257.74,25.774
"Oct 4, 2025",Existing Orders,3011369331,Z47,KSA,57.428,5.7428
"Oct 7, 2025",Existing Orders,3011387661,R199,KSA,89.1114,8.911140000000001
"Oct 7, 2025",New Orders,3011383323,R199,KSA,41.307,4.1307
"Oct 1, 2025",Existing Orders,3011359585,R199,KSA,128.1154,12.81154
"Sep 27, 2025",Existing Orders,000927123,R199,KSA,218.05,21.805000000000003
"Oct 12, 2025",Existing Orders,3011404443,R186,KSA,48.2552,4.825520000000001
"Oct 11, 2025",Existing Orders,3011398745,R13,KSA,115.9928,11.59928
"Sep 28, 2025",Existing Orders,3011340485,R199,KSA,37.926,3.7926
"Oct 14, 2025",Existing Orders,3011410159,R186,KSA,28.1456,2.81456
"Oct 13, 2025",Existing Orders,3011408653,R13,KSA,47.138,4.7138
"Sep 29, 2025",Existing Orders,3011347821,R199,KSA,385.1302,38.513020000000004
"Sep 29, 2025",Existing Orders,000927995,Z45,KSA,747.6518,74.76518
"Oct 23, 2025",Existing Orders,3011440593,R13,KSA,160.4064,16.04064
"Oct 2, 2025",Existing Orders,3011362757,R199,KSA,203.7518,20.37518
"Oct 1, 2025",Existing Orders,3011359101,R13,KSA,267.197,26.719700000000003
"Oct 16, 2025",Existing Orders,3011417953,R18,KSA,25.431,2.5431000000000004
"Oct 3, 2025",New Orders,3011366977,BCARE,KSA,62.965,null
"Oct 3, 2025",Existing Orders,3011367369,R13,KSA,116.7964,11.679640000000001
"Sep 30, 2025",Existing Orders,3011351211,Z47,KSA,125.4792,12.547920000000001
"Oct 25, 2025",Existing Orders,3011445149,Z41,KSA,17.4146,1.74146
"Oct 12, 2025",Existing Orders,3011403467,R13,KSA,63.9156,6.39156
"Oct 6, 2025",Existing Orders,3011379337,R186,KSA,48.1376,4.81376
"Oct 6, 2025",Existing Orders,3011381743,Z47,KSA,181.8488,18.184880000000003
"Sep 28, 2025",Existing Orders,12000027153,Z50,KWT,386.7766,38.67766
"Oct 8, 2025",Existing Orders,3011391249,R200,KSA,24.255,2.4255
"Oct 13, 2025",Existing Orders,3011408171,R13,KSA,1151.9802,115.19802
"Oct 24, 2025",Existing Orders,3011442537,R18,KSA,533.169,53.316900000000004
"Oct 24, 2025",Existing Orders,3011441203,ZF,KSA,99.1564,9.915640000000002
"Oct 23, 2025",New Orders,000937279,ZF,KSA,32.4576,3.24576
"Oct 5, 2025",Existing Orders,3011377223,R199,KSA,160.7984,16.07984
"Oct 5, 2025",Existing Orders,3011377517,R199,KSA,57.3398,5.73398
"Oct 4, 2025",Existing Orders,000930649,JM,KSA,415.4318,41.54318000000001
"Oct 4, 2025",Existing Orders,3011371681,R151,KSA,116.5416,11.654160000000001
"Oct 7, 2025",Existing Orders,3011385081,R199,KSA,61.0344,6.10344
"Oct 1, 2025",Existing Orders,3011355347,R199,KSA,49.98,4.998
"Sep 30, 2025",Existing Orders,3011353509,R133,KSA,408.5816,40.85816
"Oct 18, 2025",Existing Orders,3011421157,Z45,KSA,29.3216,2.93216
"Oct 11, 2025",Existing Orders,3011400867,R13,KSA,59.8976,5.98976
"Oct 6, 2025",Existing Orders,3011381895,R199,KSA,346.283,34.6283
"Oct 6, 2025",Existing Orders,3011378367,R199,KSA,143.472,14.3472
"Oct 21, 2025",Existing Orders,000936643,Z45,KSA,782.3242,78.23242
"Oct 6, 2025",Existing Orders,21000013027,R19,BAH,237.062,23.706200000000003
"Oct 8, 2025",Existing Orders,3011390657,R199,KSA,161.1414,16.114140000000003
"Oct 13, 2025",Existing Orders,3011407351,Z45,KSA,190.2866,19.02866
"Oct 24, 2025",Existing Orders,3011442027,R200,KSA,84.9562,8.49562
"Oct 14, 2025",Existing Orders,3011412149,R13,KSA,462.2954,46.22954
"Oct 8, 2025",Existing Orders,3011388957,R13,KSA,36.456,3.6456000000000004
"Oct 3, 2025",Existing Orders,3011364487,R199,KSA,52.234,5.223400000000001
"Oct 9, 2025",Existing Orders,3011392753,R199,KSA,198.2638,19.82638
"Oct 2, 2025",Existing Orders,3011363965,R13,KSA,140.434,14.0434
"Sep 30, 2025",New Orders,3011349159,R199,KSA,86.534,8.653400000000001
"Oct 1, 2025",Existing Orders,3011359079,R199,KSA,95.5206,9.55206
"Oct 23, 2025",Existing Orders,3011439771,R186,KSA,66.934,6.6934000000000005
"Oct 13, 2025",Existing Orders,3011405965,R13,KSA,467.9696,46.796960000000006
