conversion_id,publisher_id,campaign_id,conversion_time,conversion_date,conversion_date_time,click_time,click_date,click_date_time,currency,publisher_reference,advertiser_reference,conversion_reference,campaign_title,publisher_name,source_referer,conversion_status,conversion_lag,publisher_commission,creative_type,creative_id,specific_creative_id,value,customer_type,conversion_item_id,sku,category,item_value,item_publisher_commission,item_status,publisher_self_bill_id,reject_reason,country,last_update,payable,voucher_codes,ref_device,ref_user_context,ref_partnership_model,ref_traffic_source,ref_conversion_metric,clickref,quantity,ref_origin,payment_status,self_bill_request_date,self_bill_release_date,meta_conversion_access_tier,meta_conversion_app_name,meta_conversion_app_tracking,meta_conversion_appsflyer_sdk_version,meta_conversion_attribution,meta_conversion_contents,meta_conversion_context,meta_conversion_customer_repeat_visits,meta_conversion_ddp_ship_total,meta_conversion_delivery_costs,meta_conversion_delivery_type,meta_conversion_device,meta_conversion_device_brand,meta_conversion_device_city,meta_conversion_device_ip,meta_conversion_device_language,meta_conversion_discount_promotional_total,meta_conversion_fb_content_id,meta_conversion_fb_content_ids,meta_conversion_hashed_email,meta_conversion_hashed_phone,meta_conversion_itemIds,meta_conversion_language,meta_conversion_mmp,meta_conversion_model,meta_conversion_payload,meta_conversion_payment_provider,meta_conversion_product_revenue,meta_conversion_return,meta_conversion_return_date,meta_conversion_sale_value,meta_conversion_tax,meta_conversion_tot_revenue,meta_conversion_tuid,meta_conversion_user_id,meta_item_affiliation,meta_item_app_name,meta_item_app_tracking,meta_item_appsflyer_sdk_version,meta_item_brand,meta_item_category2,meta_item_category3,meta_item_category4,meta_item_category5,meta_item_child_sku,meta_item_colour,meta_item_commission_bucket,meta_item_context,meta_item_credit_global,meta_item_delivery_type,meta_item_device,meta_item_device_brand,meta_item_device_city,meta_item_device_ip,meta_item_device_language,meta_item_dimension14,meta_item_dimension15,meta_item_dimension16,meta_item_dimension17,meta_item_dimension19,meta_item_dimension20,meta_item_dimension21,meta_item_dimension22,meta_item_dimension23,meta_item_dimension24,meta_item_dimension25,meta_item_dimension26,meta_item_dimension27,meta_item_dimension34,meta_item_dimension35,meta_item_dimension36,meta_item_dimension40,meta_item_dimension41,meta_item_dimension42,meta_item_dimension43,meta_item_dimension49,meta_item_dimension56,meta_item_dimension6,meta_item_dimension62,meta_item_dimension73,meta_item_dimension74,meta_item_discount,meta_item_discounted,meta_item_exclusive,meta_item_fb_content_id,meta_item_fb_content_ids,meta_item_gbp_amount,meta_item_gender,meta_item_gross_value,meta_item_group,meta_item_hashed_email,meta_item_hashed_phone,meta_item_in_stock,meta_item_index,meta_item_itemIds,meta_item_item_product_group,meta_item_language,meta_item_list_id,meta_item_list_name,meta_item_metric1,meta_item_metric2,meta_item_metric3,meta_item_metric4,meta_item_mmp,meta_item_model,meta_item_name,meta_item_parent_sku,meta_item_product,meta_item_product_identifier,meta_item_promotion_type_id,meta_item_size,meta_item_taxonomy,meta_item_tot_revenue,meta_item_tuid,meta_item_user_id,meta_item_variant,meta_item_voucher
1100l2339815510,1101l338149,1100l6230,23:45:22,2025-10-26,"2025-10-26 23:45:22",,,,"AED (from USD)",,,APPORKSA80034008011627,"Level Shoes Global",digizag11,,pending,0,62.0601,,,,620.6,new,1110l29998218,431427201332,SHOES,620.6,62.0601,pending,,,SA,"2025-10-27 02:20:11",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,,,,,,"SPORTS & PERFORMANCE",,,,,
1100l2339652167,1101l338149,1100l6230,18:34:41,2025-10-26,"2025-10-26 18:34:41",,,,"AED (from USD)",,,APPENKSA80033008010129,"Level Shoes Global",digizag11,,pending,0,54.3967,,,,543.9652,new,1110l29977117,056027338898,SHOES,543.9652,54.3967,pending,,,SA,"2025-10-26 21:20:15",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,,,,,,"FLAT SHOES",,,,,
1110l80727843,1101l338149,1100l6230,16:18:27,2025-10-26,"2025-10-26 16:18:27",,,,"AED (from USD)",,,APPENUAE80031008009326,"Level Shoes Global",digizag11,,pending,0,47.1431,,,,471.43,new,1110l29960059,052725859545,SHOES,471.43,47.1431,pending,,,AE,"2025-10-26 18:20:05",false,DH81,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEN,,,,,,,,,,,,,,,,,,,,,,,,SNEAKERS,,,,,
1011l2402878660,1101l338149,1100l6230,14:42:37,2025-10-26,"2025-10-26 14:42:37",,,,"AED (from USD)",,,APPENKSA80033008009078,"Level Shoes Global",digizag11,,pending,0,33.329,,,,666.5801,existing,1101l1049471645,330227345312,SHOES,666.5801,33.329,pending,,,SA,"2025-10-26 17:20:17",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIRKENSTOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,,,,,,"FLAT SHOES",,,,,
1100l2339555080,1101l338149,1100l6230,13:36:33,2025-10-26,"2025-10-26 13:36:33",,,,"AED (from USD)",,,APPORKSA80034007855559,"Level Shoes Global",digizag11,,pending,0,21.0695,,,,421.39,existing,1100l1047179685,000227122334,SHOES,421.39,21.0695,pending,,,SA,"2025-10-26 16:20:05",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,,,,,,SNEAKERS,,,,,
1011l2402847711,1101l338149,1100l6230,12:15:40,2025-10-26,"2025-10-26 12:15:40",,,,"AED (from USD)",,,APPORKSA80034007921953,"Level Shoes Global",digizag11,,pending,0,62.8266,,,,1256.5301,existing,1110l29943307,031627317673,BAGS,1256.5301,62.8266,pending,,,SA,"2025-10-26 15:20:04",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TORY BURCH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,,,,,,"MINI BAGS",,,,,
1100l2339537175,1101l338149,1100l6230,12:06:25,2025-10-26,"2025-10-26 12:06:25",,,,"AED (from USD)",,,APPENKSA80033008008328,"Level Shoes Global",digizag11,,pending,0,14.5574,,,,291.1499,existing,1101l1049460424,594127246531,SHOES,291.1499,14.5574,pending,,,SA,"2025-10-26 15:20:04",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MONFARADI MARE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,,,,,,"FLAT SHOES",,,,,
1110l80646355,1101l338149,1100l6230,11:19:06,2025-10-26,"2025-10-26 11:19:06",,,,"AED (from USD)",,,APPENUAE80031008007824,"Level Shoes Global",digizag11,,pending,0,29.5713,,,,591.4301,existing,1100l1047162050,056027330631,SHOES,591.4301,29.5713,pending,,,AE,"2025-10-26 13:20:15",false,DH33,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,,,,,,"FLAT SHOES",,,,,
1100l2339435440,1101l338149,1100l6230,09:24:35,2025-10-26,"2025-10-26 09:24:35",,,,"AED (from USD)",,,APPORKSA80034007993579,"Level Shoes Global",digizag11,,pending,0,19.1539,,,,383.0799,existing,1110l29926471,052427305976,SHOES,383.0799,19.1539,pending,,,SA,"2025-10-26 12:20:11",false,DH135,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW BALANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,,,,,,SNEAKERS,,,,,
1101l2403489068,1101l338149,1100l6230,08:56:49,2025-10-26,"2025-10-26 08:56:49",,,,"AED (from USD)",,,APPENKSA80033007952374,"Level Shoes Global",digizag11,,pending,0,29.4979,,,,589.9599,existing,1011l1050404638,056027330631,SHOES,589.9599,29.4979,pending,,,SA,"2025-10-26 11:20:18",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,,,,,,"FLAT SHOES",,,,,
