Date,coupon,country,Usage
25-Oct-2025,k135,KSA,10
25-Oct-2025,k144,KSA,1
25-Oct-2025,k163,KSA,1
25-Oct-2025,k166,KSA,2
25-Oct-2025,k172,KSA,1
25-Oct-2025,k179,KSA,1
25-Oct-2025,k189,KSA,1
25-Oct-2025,k195,KSA,1
25-Oct-2025,k197,KSA,22
25-Oct-2025,k198,KSA,1
25-Oct-2025,ka1,KSA,1
25-Oct-2025,ka11,KSA,1
25-Oct-2025,ka12,KSA,36
25-Oct-2025,ka15,KSA,1
25-Oct-2025,ka21,KSA,2
25-Oct-2025,ka23,KSA,1
25-Oct-2025,ka33,KSA,1
25-Oct-2025,ka50,KSA,7
25-Oct-2025,ka60,KSA,5
25-Oct-2025,ka61,KSA,1
25-Oct-2025,ka63,KSA,2
25-Oct-2025,ka65,KSA,1
25-Oct-2025,ka66,KSA,1
25-Oct-2025,ka91,KSA,1
25-Oct-2025,ka99,KSA,1
25-Oct-2025,ss21,KSA,1
25-Oct-2025,ss33,KSA,1
