conversion_id,publisher_id,campaign_id,conversion_time,conversion_date,conversion_date_time,click_time,click_date,click_date_time,currency,publisher_reference,advertiser_reference,conversion_reference,campaign_title,publisher_name,source_referer,conversion_status,conversion_lag,publisher_commission,creative_type,creative_id,specific_creative_id,value,customer_type,conversion_item_id,sku,category,item_value,item_publisher_commission,item_status,publisher_self_bill_id,reject_reason,country,last_update,payable,voucher_codes,ref_device,ref_user_context,ref_partnership_model,ref_traffic_source,ref_conversion_metric,clickref,quantity,ref_origin,payment_status,self_bill_request_date,self_bill_release_date,meta_conversion_access_tier,meta_conversion_app_name,meta_conversion_app_tracking,meta_conversion_appsflyer_sdk_version,meta_conversion_attribution,meta_conversion_contents,meta_conversion_context,meta_conversion_customer_repeat_visits,meta_conversion_ddp_ship_total,meta_conversion_delivery_costs,meta_conversion_delivery_type,meta_conversion_device,meta_conversion_device_brand,meta_conversion_device_city,meta_conversion_device_ip,meta_conversion_device_language,meta_conversion_discount_promotional_total,meta_conversion_fb_content_id,meta_conversion_fb_content_ids,meta_conversion_hashed_email,meta_conversion_hashed_phone,meta_conversion_itemIds,meta_conversion_language,meta_conversion_mmp,meta_conversion_model,meta_conversion_payload,meta_conversion_payment_provider,meta_conversion_product_revenue,meta_conversion_return,meta_conversion_return_date,meta_conversion_sale_value,meta_conversion_tax,meta_conversion_tot_revenue,meta_conversion_tuid,meta_conversion_user_id,meta_item_affiliation,meta_item_app_name,meta_item_app_tracking,meta_item_appsflyer_sdk_version,meta_item_brand,meta_item_category2,meta_item_category3,meta_item_category4,meta_item_category5,meta_item_child_sku,meta_item_colour,meta_item_commission_bucket,meta_item_context,meta_item_credit_global,meta_item_delivery_type,meta_item_device,meta_item_device_brand,meta_item_device_city,meta_item_device_ip,meta_item_device_language,meta_item_dimension14,meta_item_dimension15,meta_item_dimension16,meta_item_dimension17,meta_item_dimension19,meta_item_dimension20,meta_item_dimension21,meta_item_dimension22,meta_item_dimension23,meta_item_dimension24,meta_item_dimension25,meta_item_dimension26,meta_item_dimension27,meta_item_dimension34,meta_item_dimension35,meta_item_dimension36,meta_item_dimension40,meta_item_dimension41,meta_item_dimension42,meta_item_dimension43,meta_item_dimension49,meta_item_dimension56,meta_item_dimension6,meta_item_dimension62,meta_item_dimension73,meta_item_dimension74,meta_item_discount,meta_item_discounted,meta_item_exclusive,meta_item_fb_content_id,meta_item_fb_content_ids,meta_item_gbp_amount,meta_item_gender,meta_item_gross_value,meta_item_group,meta_item_hashed_email,meta_item_hashed_phone,meta_item_in_stock,meta_item_index,meta_item_itemIds,meta_item_item_product_group,meta_item_language,meta_item_list_id,meta_item_list_name,meta_item_metric1,meta_item_metric2,meta_item_metric3,meta_item_metric4,meta_item_mmp,meta_item_model,meta_item_name,meta_item_parent_sku,meta_item_product,meta_item_product_identifier,meta_item_promotion_type_id,meta_item_size,meta_item_taxonomy,meta_item_tot_revenue,meta_item_tuid,meta_item_user_id,meta_item_variant,meta_item_voucher
1011l2403472035,1101l338149,1100l6230,22:49:24,2025-10-27,"2025-10-27 22:49:24",,,,"AED (from USD)",,,APPENKSA80033007815910,"Level Shoes Global",digizag11,,pending,0,51.3338,,,,513.3398,new,1101l1049636540,056027330610,SHOES,513.3398,51.3338,pending,,,SA,"2025-10-28 01:20:21",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,,,,,,"FLAT SHOES",,,,,
1101l2404274292,1101l338149,1100l6230,22:12:49,2025-10-27,"2025-10-27 22:12:49",,,,"AED (from USD)",,,APPORKSA80034008017536,"Level Shoes Global",digizag11,,pending,0,49.802,,,,498.02,new,1110l30118153,423726285087,SHOES,498.02,49.802,pending,,,SA,"2025-10-28 01:20:21",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,,,,,,SNEAKERS,,,,,
1101l2404274247,1101l338149,1100l6230,20:55:20,2025-10-27,"2025-10-27 20:55:20",,,,"AED (from USD)",,,APPORKSA80034007969952,"Level Shoes Global",digizag11,,pending,0,55.9311,,,,559.31,new,1100l1047349992,052427132819,SHOES,559.31,55.9311,pending,,,SA,"2025-10-28 01:20:09",false,DG8,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEW BALANCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,,,,,,SNEAKERS,,,,,
1011l2403388224,1101l338149,1100l6230,18:56:33,2025-10-27,"2025-10-27 18:56:33",,,,"AED (from USD)",,,APPORKSA80034008016574,"Level Shoes Global",digizag11,,pending,0,48.2677,,,,482.6767,new,1110l30106021,052727242784,SHOES,482.6767,48.2677,pending,,,SA,"2025-10-27 22:20:13",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,,,,,,SNEAKERS,,,,,
1011l2403331545,1101l338149,1100l6230,15:21:58,2025-10-27,"2025-10-27 15:21:58",,,,"AED (from USD)",,,ANDENKSA80033008008611,"Level Shoes Global",digizag11,,pending,0,42.139,,,,421.39,new,1011l1050563085,000226401968,SHOES,421.39,42.139,pending,,,SA,"2025-10-27 18:20:13",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNISEX,,,,,,,,,,,,,,,,,,,,,,,,SNEAKERS,,,,,
1110l80997629,1101l338149,1100l6230,14:46:38,2025-10-27,"2025-10-27 14:46:38",,,,"AED (from USD)",,,APPORKSA80034007899878,"Level Shoes Global",digizag11,,pending,0,30.6474,,,,612.9502,existing,1101l1049594445,000227479445,SHOES,612.9502,30.6474,pending,,,SA,"2025-10-27 17:20:16",false,KYT,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,,,,,,SNEAKERS,,,,,
1100l2340109448,1101l338149,1100l6230,14:20:48,2025-10-27,"2025-10-27 14:20:48",,,,"AED (from USD)",,,APPORKSA80034007817521,"Level Shoes Global",digizag11,,pending,0,20.3034,,,,406.0702,existing,1100l1047307228,052727242748,SHOES,406.0702,20.3034,pending,,,SA,"2025-10-27 17:20:05",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,,,,,,SNEAKERS,,,,,
1110l80966161,1101l338149,1100l6230,12:25:43,2025-10-27,"2025-10-27 12:25:43",,,,"AED (from USD)",,,APPENKSA80033007999623,"Level Shoes Global",digizag11,,pending,0,215.2959,,,,2152.9602,new,1110l30062675,142927263006,SHOES,2152.9602,215.2959,pending,,,SA,"2025-10-27 15:20:14",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MALONE SOULIERS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,,,,,,MULES,,,,,
1100l2340069839,1101l338149,1100l6230,12:05:53,2025-10-27,"2025-10-27 12:05:53",,,,"AED (from USD)",,,APPORKSA80034007872939,"Level Shoes Global",digizag11,,pending,0,57.464,,,,574.6401,new,1110l30062674,054527295317,SHOES,574.6401,57.464,pending,,,SA,"2025-10-27 15:20:14",false,KYF,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAM EDELMAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,,,,,,SANDALS,,,,,
1101l2403987900,1101l338149,1100l6230,10:45:27,2025-10-27,"2025-10-27 10:45:27",,,,"AED (from USD)",,,APPORKSA80034008013929,"Level Shoes Global",digizag11,,pending,0,60.5279,,,,605.2801,new,1101l1049566304,423727377316,SHOES,605.2801,60.5279,pending,,,SA,"2025-10-27 13:20:11",false,DG5,Other,Other,"Exclusive Code",Affiliate,Standard,,1,Partnerize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOMEN,,,,,,,,,,,,,,,,,,,,,,,,SNEAKERS,,,,,
