created_date,country,order_id,aff_coupon,AED_gross_amount,AED_net_amount
"Oct 27, 2025",SA,MSA60369413,DZ3,1736.658,1736.658
"Oct 27, 2025",AE,MAE10257431,DZ28,305.1,305.1
"Oct 27, 2025",SA,MSA60369633,DZ49,166.698,166.698
"Oct 27, 2025",AE,MAE10257453,DMP6,551.65,551.65
"Oct 27, 2025",KW,MKW30248628,DMP6,212.4,212.4
"Oct 26, 2025",SA,MSA60369466,DMP6,3164.616,3164.616
"Oct 26, 2025",SA,MSA60369381,DZ48,1182.7620000000002,1182.7620000000002
"Oct 26, 2025",KW,MKW30248490,DMP6,1561.14,1561.14
"Oct 26, 2025",SA,MSA60369451,DMP7,149.058,149.058
"Oct 25, 2025",SA,MSA60369309,DMP7,924.336,924.336
"Oct 25, 2025",SA,MSA60369442,DZ48,2530.458,2530.458
"Oct 25, 2025",AE,MAE10257152,DMP6,305.1,305.1
"Oct 25, 2025",SA,MSA60369353,HH15,298.998,298.998
"Oct 24, 2025",SA,MSA60369250,HH15,881.118,881.118
"Oct 24, 2025",SA,MSA60369288,DMP7,274.057,274.057
"Oct 23, 2025",KW,MKW30248074,DMP6,785.88,785.88
"Oct 23, 2025",SA,MSA60369010,DZ48,199.92,199.92
"Oct 23, 2025",SA,MSA60369125,DMP6,1736.658,1736.658
"Oct 23, 2025",AE,MAE10257074,DMP7,357.75,357.75
"Oct 22, 2025",SA,MSA60368890,DZ48,166.698,166.698
"Oct 22, 2025",SA,MSA60368982,DZ48,415.667,415.667
"Oct 21, 2025",SA,MSA60368720,DZ48,642.978,642.978
"Oct 21, 2025",SA,MSA60368805,DZ48,545.076,545.076
"Oct 20, 2025",KW,MKW30247900,DMP6,2357.05,2357.05
"Oct 20, 2025",AE,MAE10256737,DMP7,294.35,294.35
"Oct 20, 2025",SA,MSA60368630,DMP7,396.018,396.018
"Oct 20, 2025",KW,MKW30247888,DMP7,2752.94,2752.94
"Oct 20, 2025",SA,MSA60368650,R80,260.77799999999996,260.77799999999996
"Oct 20, 2025",SA,MSA60368651,HH15,457.317,457.317
"Oct 19, 2025",SA,MSA60368439,DMP7,268.226,268.226
"Oct 19, 2025",SA,MSA60368487,DZ48,2863.021,2863.021
"Oct 18, 2025",SA,MSA60368352,DZ48,884.6460000000001,884.6460000000001
"Oct 18, 2025",SA,MSA60368399,DZ48,1807.218,1807.218
"Oct 18, 2025",SA,MSA60368342,DZ48,381.514,381.514
"Oct 17, 2025",SA,MSA60368288,HH27,498.967,0
"Oct 17, 2025",SA,MSA60368282,DMP7,530.621,530.621
"Oct 17, 2025",SA,MSA60368248,DMP7,229.075,229.075
"Oct 16, 2025",SA,MSA60368200,DMP7,969.318,969.318
"Oct 15, 2025",KW,MKW30247594,DZ24,392.94,392.94
"Oct 15, 2025",SA,MSA60368128,DMP7,750.239,636.461
"Oct 14, 2025",SA,MSA60367859,HH15,210.798,210.798
"Oct 13, 2025",SA,MSA60367760,DZ48,2748.9,2748.9
"Oct 13, 2025",SA,MSA60367880,DZ48,436.443,436.443
"Oct 11, 2025",SA,MSA60367610,DMP6,795.2209999999999,795.2209999999999
"Oct 11, 2025",AE,MAE10255996,HH15,253.3,253.3
"Oct 11, 2025",SA,MSA60367628,DMP7,246.22500000000002,246.22500000000002
"Oct 10, 2025",SA,MSA60367541,DZ48,573.8879999999999,573.8879999999999
"Oct 10, 2025",SA,MSA60367530,DZ48,944.9649999999999,944.9649999999999
"Oct 10, 2025",SA,MSA60367524,DZ48,334.278,334.278
"Oct 10, 2025",KW,MKW30247454,DMP7,430.11,430.11
"Oct 9, 2025",SA,MSA60367408,DMP6,576.6809999999999,576.6809999999999
"Oct 8, 2025",SA,MSA60367216,DMP7,298.116,298.116
"Oct 8, 2025",SA,MSA60367224,DMP7,96.138,96.138
"Oct 8, 2025",SA,MSA60367346,DMP6,274.057,274.057
"Oct 8, 2025",SA,MSA60367342,DMP6,573.937,573.937
"Oct 7, 2025",AE,MAE10255735,HH15,254.15,254.15
"Oct 7, 2025",SA,MSA60367186,DZ48,527.436,527.436
"Oct 7, 2025",SA,MSA60367287,DZ48,199.92,199.92
"Oct 6, 2025",SA,MSA60367008,DMP6,2614.787,2614.787
"Oct 5, 2025",SA,MSA60366862,DZ48,2919.665,2919.665
"Oct 4, 2025",KW,MKW30247076,HH30,647.8199999999999,647.8199999999999
"Oct 4, 2025",AE,MAE10255442,DMP6,737.8,737.8
"Oct 3, 2025",SA,MSA60366514,DZ48,431.298,431.298
"Oct 3, 2025",SA,MSA60366595,HH30,129.654,129.654
"Oct 2, 2025",SA,MSA60366455,DMP6,43.218,43.218
"Oct 2, 2025",SA,MSA60366434,DZ48,597.996,597.996
"Oct 2, 2025",SA,MSA60366416,DMP7,113.778,113.778
"Oct 2, 2025",KW,MKW30247043,DMP6,230.69,230.69
"Oct 2, 2025",SA,MSA60366439,DZ48,246.22500000000002,246.22500000000002
"Oct 2, 2025",SA,MSA60366453,R88,415.667,415.667
"Oct 2, 2025",SA,MSA60366420,DMP6,394.254,394.254
"Oct 1, 2025",SA,MSA60366284,DZ48,298.998,298.998
"Sep 30, 2025",SA,MSA60366242,HH4,210.798,210.798
"Sep 30, 2025",SA,MSA60366241,DZ48,348.243,348.243
"Sep 29, 2025",SA,MSA60366113,DMP6,881.118,881.118
