"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"11 Oct 2025","fxn","5","671.15","0","0.00","0","0.00","0","0.00"
"11 Oct 2025","df5","2","334.35","0","0.00","0","0.00","0","0.00"
"11 Oct 2025","va6","1","124.80","0","0.00","0","0.00","0","0.00"
"11 Oct 2025","cnl","1","155.76","0","0.00","0","0.00","0","0.00"
"11 Oct 2025","fuj","1","110.38","0","0.00","0","0.00","0","0.00"
"10 Oct 2025","fxn","17","2087.97","0","0.00","0","0.00","0","0.00"
"10 Oct 2025","df5","6","798.60","0","0.00","0","0.00","0","0.00"
"10 Oct 2025","ost","3","613.20","0","0.00","0","0.00","0","0.00"
"10 Oct 2025","piv","1","28.26","0","0.00","0","0.00","0","0.00"
"10 Oct 2025","dd22","1","51.86","0","0.00","0","0.00","0","0.00"
"10 Oct 2025","dd44","1","278.44","0","0.00","0","0.00","0","0.00"
"10 Oct 2025","fuj","1","60.97","0","0.00","0","0.00","0","0.00"
