Date,coupon,country,Usage
09-Oct-2025,k135,KSA,12
09-Oct-2025,k137,KSA,6
09-Oct-2025,k144,KSA,1
09-Oct-2025,k166,KSA,6
09-Oct-2025,k169,KSA,1
09-Oct-2025,k172,KSA,1
09-Oct-2025,k173,KSA,1
09-Oct-2025,k180,KSA,1
09-Oct-2025,k194,KSA,1
09-Oct-2025,k197,KSA,10
09-Oct-2025,ka1,KSA,13
09-Oct-2025,ka100,KSA,1
09-Oct-2025,ka119,KSA,1
09-Oct-2025,ka12,KSA,44
09-Oct-2025,ka15,KSA,4
09-Oct-2025,ka2,KSA,3
09-Oct-2025,ka21,KSA,7
09-Oct-2025,ka22,KSA,1
09-Oct-2025,ka23,KSA,1
09-Oct-2025,ka37,KSA,4
09-Oct-2025,ka4,KSA,1
09-Oct-2025,ka50,KSA,3
09-Oct-2025,ka59,KSA,1
09-Oct-2025,ka60,KSA,2
09-Oct-2025,ka61,KSA,4
09-Oct-2025,ka63,KSA,3
09-Oct-2025,ka64,KSA,5
09-Oct-2025,ka66,KSA,6
09-Oct-2025,ka85,KSA,1
09-Oct-2025,ka88,KSA,1
09-Oct-2025,ka90,KSA,1
09-Oct-2025,ka95,KSA,1
09-Oct-2025,ss33,KSA,1
