"Puchase Date","Order Number",Status,"Coupon Code",Country,"Grand Total incl Tax","Shipping Amount",Tax,"Cash on Delivery Charges","Store Credit Used","Total Refunded",FINAL_TOTAL,TOTAL_ORDERED_QTY,TOTAL_RETURN_QTY,Type,Commission,Category,COMPANY,"COUPON CODE",Customer_Type
"2025-10-10 00:52:46",PO-KW-251010-06131,delivered,W98,Kuwait,18.59,1.75,0.00,1.50,0.00,0.00,15.34,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,W98,Existing
"2025-10-10 11:11:54",PO-KW-251010-06259,complete,W98,Kuwait,10.58,1.75,0.00,0.00,0.00,0.00,8.83,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,W98,Existing
"2025-10-10 12:02:27",PO-SA-251010-06290,complete,W99,"Saudi Arabia",120.81,2.46,15.44,0.00,0.00,0.00,102.91,6.0000,0.0000,CPS,0.1,Affliate,DigiZag,W99,Existing
"2025-10-10 13:07:33",PO-SA-251010-06325,complete,WAF,"Saudi Arabia",155.05,2.46,19.90,0.00,0.00,0.00,132.68,8.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,Existing
"2025-10-10 17:27:34",PO-QA-251010-06468,complete,ALC4,Qatar,60.02,2.54,0.00,0.00,0.00,0.00,57.49,4.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,New
"2025-10-10 20:04:10",PO-SA-251010-06555,partially_shipped,W112,"Saudi Arabia",146.01,2.46,18.72,0.00,0.00,0.00,124.82,10.0000,0.0000,CPS,0.1,Affliate,DigiZag,W112,Existing
"2025-10-10 20:05:55",PO-SA-251010-06556,complete,WAF,"Saudi Arabia",40.52,2.46,4.96,0.00,0.00,0.00,33.09,3.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,New
"2025-10-10 20:13:13",PO-KW-251010-06560,processing,ALC4,Kuwait,105.61,1.75,0.00,0.00,0.00,0.00,103.86,10.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,Existing
"2025-10-10 20:32:54",PO-KW-251010-06574,complete,CK22,Kuwait,51.88,1.75,0.00,0.00,0.00,0.00,50.13,4.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-10-10 22:05:09",PO-KW-251010-06632,in_transfer_to_store,CK22,Kuwait,13.41,0.00,0.00,0.00,0.00,0.00,13.41,1.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,New
"2025-10-10 22:12:07",PO-QA-251010-06636,complete,WAF,Qatar,9.56,2.54,0.00,0.00,43.99,0.00,51.01,4.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,Existing
"2025-10-10 22:29:57",PO-SA-251010-06649,processing,JHN10,"Saudi Arabia",120.34,2.46,15.18,1.50,0.00,0.00,101.20,8.0000,0.0000,CPS,.1,Affliate,DigiZag,JHN10,Existing
"2025-10-11 04:14:13",PO-SA-251011-06756,complete,WAF,"Saudi Arabia",125.98,2.46,16.43,0.00,2.46,0.00,109.55,3.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,Existing
"2025-10-11 08:55:09",PO-SA-251011-06784,processing,NNN,"Saudi Arabia",45.71,2.46,5.45,1.50,0.00,0.00,36.30,4.0000,0.0000,CPS,.1,Affliate,DigiZag,NNN,Existing
"2025-10-11 11:27:40",PO-SA-251011-06842,complete,W02,"Saudi Arabia",24.22,2.46,2.84,0.00,0.00,0.00,18.92,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,W02,Existing
"2025-10-11 12:35:36",PO-KW-251011-06882,processing,WAF,Kuwait,31.36,1.75,0.00,0.00,0.00,0.00,29.61,5.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,Existing
"2025-10-11 13:36:49",PO-AE-251011-06919,processing,WAF,"United Arab Emirates",77.56,2.51,3.57,0.00,0.00,0.00,71.47,4.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,Existing
