conversion_id,publisher_id,campaign_id,conversion_time,conversion_date,conversion_date_time,click_time,click_date,click_date_time,currency,publisher_reference,advertiser_reference,conversion_reference,campaign_title,publisher_name,source_referer,conversion_status,conversion_lag,publisher_commission,creative_type,creative_id,specific_creative_id,value,customer_type,conversion_item_id,sku,category,item_value,item_publisher_commission,item_status,publisher_self_bill_id,reject_reason,country,last_update,payable,voucher_codes,ref_device,ref_user_context,ref_partnership_model,ref_traffic_source,ref_conversion_metric,clickref,quantity,ref_origin,payment_status,self_bill_request_date,self_bill_release_date,meta_conversion_access_tier,meta_conversion_app_name,meta_conversion_app_tracking,meta_conversion_appsflyer_sdk_version,meta_conversion_attribution,meta_conversion_contents,meta_conversion_context,meta_conversion_customer_repeat_visits,meta_conversion_ddp_ship_total,meta_conversion_delivery_costs,meta_conversion_delivery_type,meta_conversion_device,meta_conversion_device_brand,meta_conversion_device_city,meta_conversion_device_ip,meta_conversion_device_language,meta_conversion_discount_promotional_total,meta_conversion_fb_content_id,meta_conversion_fb_content_ids,meta_conversion_hashed_email,meta_conversion_hashed_phone,meta_conversion_itemIds,meta_conversion_language,meta_conversion_mmp,meta_conversion_model,meta_conversion_payload,meta_conversion_payment_provider,meta_conversion_product_revenue,meta_conversion_return,meta_conversion_return_date,meta_conversion_sale_value,meta_conversion_tax,meta_conversion_tot_revenue,meta_conversion_tuid,meta_conversion_user_id,meta_item_affiliation,meta_item_app_name,meta_item_app_tracking,meta_item_appsflyer_sdk_version,meta_item_brand,meta_item_category2,meta_item_category3,meta_item_category4,meta_item_category5,meta_item_child_sku,meta_item_colour,meta_item_commission_bucket,meta_item_context,meta_item_credit_global,meta_item_delivery_type,meta_item_device,meta_item_device_brand,meta_item_device_city,meta_item_device_ip,meta_item_device_language,meta_item_dimension14,meta_item_dimension15,meta_item_dimension16,meta_item_dimension17,meta_item_dimension19,meta_item_dimension20,meta_item_dimension21,meta_item_dimension22,meta_item_dimension23,meta_item_dimension24,meta_item_dimension25,meta_item_dimension26,meta_item_dimension27,meta_item_dimension34,meta_item_dimension35,meta_item_dimension36,meta_item_dimension40,meta_item_dimension41,meta_item_dimension42,meta_item_dimension43,meta_item_dimension49,meta_item_dimension56,meta_item_dimension6,meta_item_dimension62,meta_item_dimension73,meta_item_dimension74,meta_item_discount,meta_item_discounted,meta_item_exclusive,meta_item_fb_content_id,meta_item_fb_content_ids,meta_item_gbp_amount,meta_item_gender,meta_item_gross_value,meta_item_group,meta_item_hashed_email,meta_item_hashed_phone,meta_item_in_stock,meta_item_index,meta_item_itemIds,meta_item_item_product_group,meta_item_language,meta_item_list_id,meta_item_list_name,meta_item_metric1,meta_item_metric2,meta_item_metric3,meta_item_metric4,meta_item_mmp,meta_item_model,meta_item_name,meta_item_parent_sku,meta_item_product,meta_item_product_identifier,meta_item_promotion_type_id,meta_item_size,meta_item_taxonomy,meta_item_tot_revenue,meta_item_tuid,meta_item_user_id,meta_item_variant,meta_item_voucher
1110l81362316,1101l338149,1011l543,22:25:00,2025-10-28,"2025-10-28 22:25:00",18:22:43,2025-10-28,"2025-10-28 18:22:43",USD,14298,,CVJF2U,"FARFETCH Middle East",digizag11,,pending,14537,35.866,,,,717.32,existing,1101l1049750165,15334532,"Women;Shoes;Sandals;Heeled Sandals",717.32,35.866,pending,,,SA,"2025-10-28 22:26:02",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1011lBKyM4FE,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,3.98,227.92,,Mobile,,,,,0.00,,,,,,,,,,TamaraPayIn3,,,,717.32,0.00,,,,,,,,,,,,,,,9,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.89,Woman,923.91,,,,,,,"VALENTINO GARAVANI",,,,,,,,,,,,"60mm Rockstud sandals",,0,41,,,,,,
1100l2340712797,1101l338149,1011l543,22:15:00,2025-10-28,"2025-10-28 22:15:00",13:01:09,2025-10-28,"2025-10-28 13:01:09",USD,14822,,4HKYYG,"FARFETCH Middle East",digizag11,https://cartflik.com/farfetch-redefining-luxury-fashion-in-the-digital-age/,pending,33231,15.236,,,,304.72,existing,1100l1047463797,23818347,"Kids;Boys Clothing;Tops;Polo Shirts",32.93,1.6465,pending,,,US,"2025-10-28 22:15:36",false,,Desktop,"Mobile Web",CPA,Affiliate,Standard,1101lBPokgrh,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_web,,0.0,49.28,,Desktop,,,,,0.0,,,,,,,,,,VISA,,,,304.72,0.0,,,,,,,,,,,,,,,7,m_web,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.69,Woman,46.0,,,,,,,"BOSS KIDSWEAR",,,,,,,,,,,,"long-sleeve polo shirt",,1,12,,,,,,
1100l2340712797,1101l338149,1011l543,22:15:00,2025-10-28,"2025-10-28 22:15:00",13:01:09,2025-10-28,"2025-10-28 13:01:09",USD,14822,,4HKYYG,"FARFETCH Middle East",digizag11,https://cartflik.com/farfetch-redefining-luxury-fashion-in-the-digital-age/,pending,33231,15.236,,,,304.72,existing,1100l1047463798,23818618,"Kids;Boys Clothing;Tops;Polo Shirts",32.93,1.6465,pending,,,US,"2025-10-28 22:15:36",false,,Desktop,"Mobile Web",CPA,Affiliate,Standard,1101lBPokgrh,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_web,,0.0,49.28,,Desktop,,,,,0.0,,,,,,,,,,VISA,,,,304.72,0.0,,,,,,,,,,,,,,,7,m_web,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.69,Woman,46.0,,,,,,,"BOSS KIDSWEAR",,,,,,,,,,,,"logo-print piqué-weave polo shirt",,1,12,,,,,,
1100l2340712797,1101l338149,1011l543,22:15:00,2025-10-28,"2025-10-28 22:15:00",13:01:09,2025-10-28,"2025-10-28 13:01:09",USD,14822,,4HKYYG,"FARFETCH Middle East",digizag11,https://cartflik.com/farfetch-redefining-luxury-fashion-in-the-digital-age/,pending,33231,15.236,,,,304.72,existing,1100l1047463799,30953308,"Women;Clothing;Tops;T-shirts & Jerseys",110.86,5.543,pending,,,US,"2025-10-28 22:15:36",false,,Desktop,"Mobile Web",CPA,Affiliate,Standard,1101lBPokgrh,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_web,,0.0,49.28,,Desktop,,,,,0.0,,,,,,,,,,VISA,,,,304.72,0.0,,,,,,,,,,,,,,,6,m_web,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.13,Woman,134.0,,,,,,,"WEEKEND MAX MARA",,,,,,,,,,,,"long-sleeved cotton T-shirt",,0,L,,,,,,
1100l2340712797,1101l338149,1011l543,22:15:00,2025-10-28,"2025-10-28 22:15:00",13:01:09,2025-10-28,"2025-10-28 13:01:09",USD,14822,,4HKYYG,"FARFETCH Middle East",digizag11,https://cartflik.com/farfetch-redefining-luxury-fashion-in-the-digital-age/,pending,33231,15.236,,,,304.72,existing,1100l1047463800,29844959,"Women;Clothing;Tops;Polo Tops",128,6.4,pending,,,US,"2025-10-28 22:15:36",false,,Desktop,"Mobile Web",CPA,Affiliate,Standard,1101lBPokgrh,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_web,,0.0,49.28,,Desktop,,,,,0.0,,,,,,,,,,VISA,,,,304.72,0.0,,,,,,,,,,,,,,,3,m_web,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.98,Woman,128.0,,,,,,,REFORMATION,,,,,,,,,,,,"Hermia polo top",,0,M,,,,,,
1101l2404578141,1101l338149,1011l543,18:48:00,2025-10-28,"2025-10-28 18:48:00",18:36:07,2025-10-28,"2025-10-28 18:36:07",USD,14298,,RM2PKS,"FARFETCH Middle East",digizag11,,pending,713,8.521,,,,170.42,new,1101l1049729327,28397668,"Kids;Nursery;Blankets, Nests & Sleep Bags",170.42,8.521,pending,,,SA,"2025-10-28 18:48:23",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1110lzKzPin,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,1.89,42.89,,Mobile,,,,,0.00,,,,,,,,,,TamaraPayIn3,,,,170.42,0.00,,,,,,,,,,,,,,,8,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.79,Woman,195.98,,,,,,,"GIVENCHY KIDS",,,,,,,,,,,,"embroidered blanket",,1,"One Size",,,,,,
1101l2404542042,1101l338149,1011l543,16:16:00,2025-10-28,"2025-10-28 16:16:00",15:05:27,2025-10-28,"2025-10-28 15:05:27",USD,14822,,SX3HRP,"FARFETCH Middle East",digizag11,https://cartflik.com/farfetch-redefining-luxury-fashion-in-the-digital-age/,pending,4233,6.2865,,,,125.73,new,1101l1049716568,25562643,Women;Clothing;Knitwear;Jumpers,125.73,6.2865,pending,,,IT,"2025-10-28 16:17:08",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1100lBBgoMKK,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,0.00,11.62,,Mobile,,,,,0.00,,,,,,,,,,KlarnaInstallmentsPayIn3,,,,125.73,27.66,,,,,,,,,,,,,,,5,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.28,Woman,153.39,,,,,,,GANNI,,,,,,,,,,,,"brushed long sleeve jumper",,1,M,,,,,,
1011l2403754680,1101l338149,1011l543,14:55:00,2025-10-28,"2025-10-28 14:55:00",14:45:37,2025-10-28,"2025-10-28 14:45:37",USD,14796,,X9QKUR,"FARFETCH Middle East",digizag11,https://tawfiiir.com/,pending,563,8.3355,,,,166.71,existing,1011l1050671335,32330213,"Women;Bags;Tote Bags",166.71,8.3355,pending,,,SA,"2025-10-28 14:55:34",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1011lBKxLBwy,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,1.89,42.34,,Mobile,,,,,0.00,,,,,,,,,,MC,,,,166.71,0.00,,,,,,,,,,,,,,,12,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.01,Woman,191.71,,,,,,,"ISABEL MARANT",,,,,,,,,,,,"small Yenky tote bag",,0,"One Size",,,,,,
1100l2340575180,1101l338149,1011l543,13:46:00,2025-10-28,"2025-10-28 13:46:00",13:25:27,2025-10-28,"2025-10-28 13:25:27",USD,14796,,VC23FZ,"FARFETCH Middle East",digizag11,https://tawfiiir.com/,pending,1233,13.8015,,,,276.03,new,1011l1050663297,21235209,Women;Accessories;Sunglasses,276.03,13.8015,pending,,,SA,"2025-10-28 13:47:05",false,,Mobile,"Mobile App",CPA,Mobile,Standard,1110lzKbn7I,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_app,,2.48,74.61,,Mobile,,,,,0.00,,,,,,,,,,TamaraPayIn3,,,,276.03,0.00,,,,,,,,,,,,,,,10,m_app,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.98,Woman,333.30,,,,,,,"MIU MIU EYEWEAR",,,,,,,,,,,,"logo-lettering oval sunglasses",,0,"One Size",,,,,,
1101l2404463669,1101l338149,1011l543,13:31:00,2025-10-28,"2025-10-28 13:31:00",12:00:42,2025-10-28,"2025-10-28 12:00:42",USD,14822,,UGTR5Y,"FARFETCH Middle East",digizag11,https://cartflik.com/farfetch-redefining-luxury-fashion-in-the-digital-age/,pending,5418,33.0985,,,,661.97,existing,1011l1050661801,29689491,Men;Shoes;Trainers;Low-Tops,661.97,33.0985,pending,,,IT,"2025-10-28 13:32:01",false,,Desktop,"Mobile Web",CPA,Affiliate,Standard,1011lBKxtUir,1,Partnerize,,,,FFACCESS-Bronze,,,,,,m_web,,0.00,0.00,,Desktop,,,,,0.00,,,,,,,,,,MC,,,,661.97,145.64,,,,,,,,,,,,,,,10,m_web,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.39,Man,807.61,,,,,,,"DOLCE & GABBANA",,,,,,,,,,,,"Day Faster panelled sneakers",,0,41,,,,,,
