,date,order id,amount,coupon,country,currency,customer type
0,2025-09-24,DZ1178728969,0,GY36,SAU,SAR,returning
1,2025-09-24,DZ1178587520,0,GY33,SAU,SAR,returning
2,2025-09-24,DZ1178645952,0,GY38,SAU,SAR,returning
3,2025-09-24,DZ1178729090,0,TDD40,SAU,SAR,returning
4,2025-09-24,DZ1178916211,0,TDD14,SAU,SAR,returning
5,2025-09-24,DZ1178690359,0,SD11,SAU,SAR,returning
6,2025-09-24,DZ1178854204,0,gy50,SAU,SAR,returning
7,2025-09-24,DZ1179022273,0,sd11,SAU,SAR,returning
8,2025-09-24,DZ1178607958,0,Gy5,SAU,SAR,returning
9,2025-09-24,DZ1178934746,0,SD11,SAU,SAR,returning
10,2025-09-24,DZ1178773112,0,SD95,SAU,SAR,returning
11,2025-09-24,DZ1178691888,0,SD22,SAU,SAR,returning
12,2025-09-24,DZ1178274493,0,GY96,SAU,SAR,new
13,2025-09-24,DZ1178847164,0,sd61,SAU,SAR,returning
14,2025-09-24,DZ1178859396,0,sd93,SAU,SAR,returning
15,2025-09-24,DZ1178535523,0,gy38,SAU,SAR,returning
16,2025-09-24,DZ1178845668,0,GY18,SAU,SAR,returning
17,2025-09-24,DZ1179037255,0,GY50,SAU,SAR,new
18,2025-09-24,DZ1178892418,0,SD22,SAU,SAR,new
19,2025-09-24,DZ1178947495,0,SD184,SAU,SAR,returning
20,2025-09-24,DZ1179045395,0,GY50,SAU,SAR,new
21,2025-09-24,DZ1178593823,0,sd36,SAU,SAR,returning
22,2025-09-24,DZ1178305293,0,GY96,SAU,SAR,new
23,2025-09-24,DZ1178989724,0,SD11,SAU,SAR,returning
24,2025-09-24,DZ1178507781,0,SD22,SAU,SAR,returning
25,2025-09-24,DZ1178833843,0,SD57,SAU,SAR,returning
26,2025-09-24,DZ1179066691,0,TDD14,SAU,SAR,returning
27,2025-09-24,DZ1178818817,0,Gy5,SAU,SAR,returning
28,2025-09-24,DZ1178882001,0,Bcare,SAU,SAR,returning
29,2025-09-24,DZ1178298473,0,SD184,SAU,SAR,new
30,2025-09-24,DZ1178949101,0,TDD14,SAU,SAR,returning
31,2025-09-24,DZ1178925990,0,TDD35,SAU,SAR,returning
32,2025-09-24,DZ1178639924,0,GY4,SAU,SAR,returning
33,2025-09-24,DZ1178296108,0,SD11,SAU,SAR,returning
34,2025-09-24,DZ1178488003,0,TDD29,SAU,SAR,returning
35,2025-09-24,DZ1178524182,0,GY38,SAU,SAR,returning
36,2025-09-24,DZ1178979373,0,SD82,SAU,SAR,returning
37,2025-09-24,DZ1178892627,0,GY33,SAU,SAR,returning
38,2025-09-24,DZ1178319615,0,GY30,SAU,SAR,returning
39,2025-09-24,DZ1179039301,0,SD11,SAU,SAR,returning
40,2025-09-24,DZ1179055515,0,TDD14,SAU,SAR,returning
41,2025-09-24,DZ1178545995,0,GY38,SAU,SAR,returning
42,2025-09-24,DZ1179047298,0,Gy38,SAU,SAR,returning
43,2025-09-24,DZ1178910007,0,SD22,SAU,SAR,returning
44,2025-09-24,DZ1178718398,0,TDD39,SAU,SAR,returning
45,2025-09-24,DZ1178373867,0,SD184,SAU,SAR,returning
46,2025-09-24,DZ1178737868,0,GY38,SAU,SAR,returning
47,2025-09-24,DZ1178650924,0,GY96,SAU,SAR,new
48,2025-09-24,DZ1178488938,0,SD89,SAU,SAR,returning
49,2025-09-24,DZ1178838474,0,SD91,SAU,SAR,returning
50,2025-09-24,DZ1178673353,0,GY38,SAU,SAR,returning
51,2025-09-24,DZ1178292225,0,Gy30,SAU,SAR,returning
52,2025-09-24,DZ1178671989,0,GY38,SAU,SAR,returning
