Date,coupon,country,Usage
21-Sep-25,U1,JOR,3
21-Sep-25,u118,JOR,1
21-Sep-25,u12,JOR,2
21-Sep-25,U124,JOR,5
21-Sep-25,U125,JOR,7
21-Sep-25,u127,JOR,1
21-Sep-25,U2,JOR,3
21-Sep-25,U3,JOR,1
21-Sep-25,U48,JOR,1
21-Sep-25,U6,JOR,1
21-Sep-25,U64,JOR,2
21-Sep-25,U65,JOR,1
23-Sep-25,U1,JOR,6
23-Sep-25,u118,JOR,1
23-Sep-25,U12,JOR,2
23-Sep-25,U121,JOR,1
23-Sep-25,U124,JOR,2
23-Sep-25,U125,JOR,1
23-Sep-25,U2,JOR,4
22-Sep-25,U1,JOR,4
22-Sep-25,U12,JOR,1
22-Sep-25,U121,JOR,7
22-Sep-25,U123,JOR,1
22-Sep-25,U124,JOR,1
22-Sep-25,u127,JOR,2
22-Sep-25,U2,JOR,4
22-Sep-25,U4,JOR,1
22-Sep-25,U58,JOR,1
22-Sep-25,U64,JOR,1
22-Sep-25,U95,JOR,1
