Date,coupon,country,Usage
21-Sep-25,K127,KSA,1
21-Sep-25,K135,KSA,2
21-Sep-25,K137,KSA,25
21-Sep-25,K153,KSA,1
21-Sep-25,K166,KSA,1
21-Sep-25,K175,KSA,1
21-Sep-25,K180,KSA,3
21-Sep-25,K192,KSA,1
21-Sep-25,K195,KSA,6
21-Sep-25,K196,KSA,2
21-Sep-25,K197,KSA,19
21-Sep-25,K198,KSA,1
21-Sep-25,Ka1,KSA,2
21-Sep-25,Ka11,KSA,1
21-Sep-25,Ka119,KSA,3
21-Sep-25,Ka12,KSA,54
21-Sep-25,KA15,KSA,3
21-Sep-25,KA16,KSA,1
21-Sep-25,KA2,KSA,3
21-Sep-25,KA20,KSA,1
21-Sep-25,Ka23,KSA,1
21-Sep-25,KA3,KSA,1
21-Sep-25,Ka37,KSA,1
21-Sep-25,Ka50,KSA,8
21-Sep-25,KA59,KSA,3
21-Sep-25,KA60,KSA,8
21-Sep-25,KA61,KSA,3
21-Sep-25,KA63,KSA,2
21-Sep-25,KA64,KSA,4
21-Sep-25,KA66,KSA,8
21-Sep-25,KA7,KSA,1
21-Sep-25,KA85,KSA,1
21-Sep-25,Ka99,KSA,1
21-Sep-25,SS13,KSA,2
21-Sep-25,SS33,KSA,1
23-Sep-25,K123,KSA,1
23-Sep-25,K125,KSA,1
23-Sep-25,K134,KSA,1
23-Sep-25,K135,KSA,20
23-Sep-25,K136,KSA,1
23-Sep-25,K137,KSA,10
23-Sep-25,K144,KSA,2
23-Sep-25,K166,KSA,2
23-Sep-25,K173,KSA,1
23-Sep-25,K180,KSA,2
23-Sep-25,K195,KSA,2
23-Sep-25,k196,KSA,1
23-Sep-25,K197,KSA,17
23-Sep-25,K198,KSA,3
23-Sep-25,ka1,KSA,4
23-Sep-25,Ka106,KSA,1
23-Sep-25,Ka117,KSA,1
23-Sep-25,Ka119,KSA,6
23-Sep-25,Ka12,KSA,72
23-Sep-25,Ka15,KSA,6
23-Sep-25,KA16,KSA,1
23-Sep-25,KA18,KSA,1
23-Sep-25,ka37,KSA,2
23-Sep-25,KA4,KSA,1
23-Sep-25,Ka50,KSA,6
23-Sep-25,KA57,KSA,1
23-Sep-25,KA59,KSA,3
23-Sep-25,KA60,KSA,9
23-Sep-25,KA61,KSA,1
23-Sep-25,KA63,KSA,1
23-Sep-25,KA64,KSA,3
23-Sep-25,KA66,KSA,7
23-Sep-25,KA8,KSA,2
23-Sep-25,ka95,KSA,1
23-Sep-25,KA99,KSA,2
23-Sep-25,SS24,KSA,1
22-Sep-25,k135,KSA,12
22-Sep-25,K137,KSA,26
22-Sep-25,K138,KSA,1
22-Sep-25,K144,KSA,1
22-Sep-25,K157,KSA,1
22-Sep-25,K166,KSA,6
22-Sep-25,K182,KSA,2
22-Sep-25,K192,KSA,1
22-Sep-25,k195,KSA,1
22-Sep-25,K197,KSA,24
22-Sep-25,KA1,KSA,12
22-Sep-25,Ka119,KSA,3
22-Sep-25,Ka12,KSA,71
22-Sep-25,KA15,KSA,1
22-Sep-25,KA2,KSA,4
22-Sep-25,KA21,KSA,1
22-Sep-25,KA37,KSA,1
22-Sep-25,KA4,KSA,1
22-Sep-25,Ka40,KSA,1
22-Sep-25,ka50,KSA,7
22-Sep-25,KA59,KSA,5
22-Sep-25,KA60,KSA,8
22-Sep-25,KA61,KSA,1
22-Sep-25,KA63,KSA,1
22-Sep-25,KA64,KSA,6
22-Sep-25,KA66,KSA,12
22-Sep-25,KA80,KSA,2
22-Sep-25,KA81,KSA,1
22-Sep-25,Ka95,KSA,1
22-Sep-25,KA99,KSA,1
22-Sep-25,SS21,KSA,1
