,date,order id,amount,coupon,country,currency,customer type
0,2025-09-25,DZ1179398352,0,sd33,SAU,SAR,returning
1,2025-09-25,DZ1179404325,0,sd34,SAU,SAR,returning
2,2025-09-25,DZ1179863630,0,GY96,SAU,SAR,new
3,2025-09-25,DZ1179573868,0,GY45,SAU,SAR,returning
4,2025-09-25,DZ1179338149,0,GY38,SAU,SAR,new
5,2025-09-25,DZ1179647931,0,SD20,SAU,SAR,returning
6,2025-09-25,DZ1179713931,0,GY25,SAU,SAR,returning
7,2025-09-25,DZ1179837230,0,SD184,SAU,SAR,returning
8,2025-09-25,DZ1179565189,0,SD11,SAU,SAR,returning
9,2025-09-25,DZ1179741134,0,SD184,SAU,SAR,returning
10,2025-09-25,DZ1179268497,0,GY7,SAU,SAR,returning
11,2025-09-25,DZ1179694780,0,SD44,SAU,SAR,returning
12,2025-09-25,DZ1179528878,0,Tdd38,SAU,SAR,returning
13,2025-09-25,DZ1179749065,0,GY9,SAU,SAR,returning
14,2025-09-25,DZ1179758767,0,GY1,SAU,SAR,returning
15,2025-09-25,DZ1179712578,0,GY33,SAU,SAR,returning
16,2025-09-25,DZ1179281411,0,SD11,SAU,SAR,returning
17,2025-09-25,DZ1179701886,0,TDD40,SAU,SAR,returning
18,2025-09-25,DZ1179794528,0,GY38,SAU,SAR,returning
19,2025-09-25,DZ1179469742,0,SD11,SAU,SAR,returning
20,2025-09-25,DZ1179742432,0,sd184,SAU,SAR,returning
21,2025-09-25,DZ1179686849,0,TDD39,SAU,SAR,returning
22,2025-09-25,DZ1179362580,0,tdd16,SAU,SAR,returning
23,2025-09-25,DZ1179747888,0,SD184,SAU,SAR,returning
24,2025-09-25,DZ1179667412,0,SD76,SAU,SAR,returning
25,2025-09-25,DZ1179074479,0,GY96,SAU,SAR,new
26,2025-09-25,DZ1179859340,0,SD59,SAU,SAR,returning
27,2025-09-25,DZ1179832016,0,SD38,SAU,SAR,returning
28,2025-09-25,DZ1179716186,0,GY39,SAU,SAR,returning
29,2025-09-25,DZ1179810115,0,SD184,SAU,SAR,returning
30,2025-09-25,DZ1179774739,0,GY25,SAU,SAR,returning
31,2025-09-25,DZ1179209449,0,SD90,SAU,SAR,returning
32,2025-09-25,DZ1179556400,0,SD93,SAU,SAR,returning
33,2025-09-25,DZ1179788577,0,SD184,SAU,SAR,returning
34,2025-09-25,DZ1179620783,0,GY45,SAU,SAR,new
35,2025-09-25,DZ1179592579,0,GY88,SAU,SAR,new
36,2025-09-25,DZ1179448501,0,sd37,SAU,SAR,returning
37,2025-09-25,DZ1179490664,0,TDD29,SAU,SAR,returning
38,2025-09-25,DZ1179737999,0,GY10,SAU,SAR,returning
39,2025-09-25,DZ1179639032,0,sd184,SAU,SAR,returning
40,2025-09-25,DZ1179810764,0,SD22,SAU,SAR,returning
41,2025-09-25,DZ1179379399,0,GY35,SAU,SAR,returning
42,2025-09-25,DZ1179353296,0,GY5,SAU,SAR,returning
43,2025-09-25,DZ1179253119,0,GY34,SAU,SAR,returning
44,2025-09-25,DZ1179449073,0,sd33,SAU,SAR,returning
45,2025-09-25,DZ1179074798,0,GY38,SAU,SAR,returning
46,2025-09-25,DZ1179640649,0,sd6,SAU,SAR,returning
47,2025-09-25,DZ1179196876,0,TDD39,SAU,SAR,returning
48,2025-09-25,DZ1179734677,0,GY96,SAU,SAR,new
49,2025-09-25,DZ1179795430,0,GY12,SAU,SAR,returning
50,2025-09-25,DZ1179442957,0,GY38,SAU,SAR,returning
51,2025-09-25,DZ1179280487,0,TDD29,SAU,SAR,returning
52,2025-09-25,DZ1179722467,0,GY39,SAU,SAR,returning
53,2025-09-25,DZ1179645896,0,TDD40,SAU,SAR,returning
54,2025-09-25,DZ1179318844,0,SD22,SAU,SAR,returning
55,2025-09-25,DZ1179298186,0,GY45,SAU,SAR,returning
56,2025-09-25,DZ1179654916,0,sd40,SAU,SAR,returning
57,2025-09-25,DZ1179347334,0,GY96,SAU,SAR,returning
58,2025-09-25,DZ1179240194,0,GY96,SAU,SAR,returning
59,2025-09-25,DZ1179360424,0,Gy5,SAU,SAR,returning
60,2025-09-25,DZ1179774574,0,GY10,SAU,SAR,returning
61,2025-09-25,DZ1179264460,0,TDD40,SAU,SAR,returning
62,2025-09-25,DZ1179739869,0,SD184,SAU,SAR,returning
