"Puchase Date","Order Number",Status,"Coupon Code",Country,"Grand Total incl Tax","Shipping Amount",Tax,"Cash on Delivery Charges","Store Credit Used","Total Refunded",FINAL_TOTAL,TOTAL_ORDERED_QTY,TOTAL_RETURN_QTY,Type,Commission,Category,COMPANY,"COUPON CODE",Customer_Type
"2025-09-25 01:11:50",PO-BH-250925-13299,delivered,Ck22,Bahrain,16.84,2.46,1.31,0.00,0.00,0.00,13.07,1.0000,0.0000,CPS,.1,Affliate,DigiZag,Ck22,Existing
"2025-09-25 09:52:15",PO-KW-250925-13392,complete,WAF,Kuwait,35.77,1.75,0.00,0.00,0.00,0.00,34.02,2.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,Existing
"2025-09-25 09:56:21",PO-AE-250925-13394,complete,W112,"United Arab Emirates",31.35,2.51,1.37,0.00,0.00,0.00,27.46,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,W112,Existing
"2025-09-25 10:13:32",PO-OM-250925-13400,complete,Alc4,Oman,57.84,2.40,2.64,0.00,0.00,0.00,52.80,3.0000,0.0000,CPS,.1,Affliate,DigiZag,Alc4,Existing
"2025-09-25 10:46:38",PO-SA-250925-13413,complete,NNN,"Saudi Arabia",22.41,2.46,2.60,0.00,0.00,0.00,17.35,2.0000,0.0000,CPS,.1,Affliate,DigiZag,NNN,Existing
"2025-09-25 16:57:38",PO-SA-250925-13567,complete,W67,"Saudi Arabia",18.88,2.46,2.14,0.00,0.00,0.00,14.27,2.0000,0.0000,CPS,0.1,Affliate,DigiZag,W67,New
"2025-09-25 16:59:45",PO-KW-250925-13576,delivered,WAF,Kuwait,19.30,1.75,0.00,0.00,0.00,0.00,17.55,1.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,New
"2025-09-25 17:50:45",PO-SA-250925-13606,complete,WAF,"Saudi Arabia",15.39,2.46,1.69,0.00,0.00,0.00,11.24,3.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,New
"2025-09-25 18:40:02",PO-AE-250925-13633,complete,Q21,"United Arab Emirates",82.01,2.51,3.79,0.00,0.00,0.00,75.71,4.0000,0.0000,CPS,.1,Affliate,DigiZag,Q21,Existing
"2025-09-25 19:33:43",PO-SA-250925-13672,processing,CK22,"Saudi Arabia",33.52,2.46,3.86,1.50,0.00,0.00,25.70,1.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-09-25 21:08:58",PO-KW-250925-13723,in_transfer_to_store,W27,Kuwait,40.50,0.00,0.00,0.00,0.00,0.00,40.50,4.0000,0.0000,CPS,.1,Affliate,DigiZag,W27,Existing
"2025-09-26 00:42:50",PO-SA-250926-13869,complete,X90,"Saudi Arabia",39.90,2.46,4.88,0.00,0.00,0.00,32.55,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,X90,Existing
"2025-09-26 03:10:59",PO-KW-250926-13910,processing,Ck22,Kuwait,134.95,1.75,0.00,0.00,0.00,0.00,133.20,10.0000,0.0000,CPS,.1,Affliate,DigiZag,Ck22,New
"2025-09-26 04:33:56",PO-SA-250926-13927,processing,ALC4,"Saudi Arabia",176.47,2.46,22.70,0.00,0.00,0.00,151.31,18.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,New
"2025-09-26 09:39:36",PO-SA-250926-13960,processing,WAF,"Saudi Arabia",35.71,2.46,4.34,0.00,0.00,0.00,28.91,3.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,New
"2025-09-26 10:22:30",PO-KW-250926-13973,processing,W27,Kuwait,59.80,1.75,0.00,0.00,0.00,0.00,58.05,5.0000,0.0000,CPS,.1,Affliate,DigiZag,W27,Existing
"2025-09-26 11:12:12",PO-AE-250926-13990,processing,q21,"United Arab Emirates",86.68,2.51,4.01,0.00,0.00,0.00,80.16,4.0000,0.0000,CPS,.1,Affliate,DigiZag,q21,New
"2025-09-26 13:03:10",PO-SA-250926-14057,processing,CK22,"Saudi Arabia",121.80,2.46,15.57,0.00,0.00,0.00,103.77,9.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-09-26 13:24:40",PO-IN-250926-14065,processing,WAF,Jordan,71.40,3.08,9.42,0.00,0.00,0.00,58.90,3.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,Existing
"2025-09-26 13:25:31",PO-KW-250926-14066,processing,X90,Kuwait,7.45,1.75,0.00,0.00,0.00,0.00,5.70,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,X90,New
