Date,coupon,country,Usage
07-Oct-2025,k132,KSA,1
07-Oct-2025,k134,KSA,2
07-Oct-2025,k135,KSA,10
07-Oct-2025,k137,KSA,4
07-Oct-2025,k138,KSA,1
07-Oct-2025,k144,KSA,5
07-Oct-2025,k159,KSA,1
07-Oct-2025,k166,KSA,1
07-Oct-2025,k172,KSA,2
07-Oct-2025,k175,KSA,1
07-Oct-2025,k187,KSA,1
07-Oct-2025,k195,KSA,2
07-Oct-2025,k196,KSA,1
07-Oct-2025,k197,KSA,11
07-Oct-2025,k198,KSA,2
07-Oct-2025,ka11,KSA,2
07-Oct-2025,ka119,KSA,1
07-Oct-2025,ka12,KSA,37
07-Oct-2025,ka15,KSA,2
07-Oct-2025,ka2,KSA,8
07-Oct-2025,ka21,KSA,2
07-Oct-2025,ka23,KSA,2
07-Oct-2025,ka3,KSA,1
07-Oct-2025,ka33,KSA,1
07-Oct-2025,ka34,KSA,5
07-Oct-2025,ka4,KSA,3
07-Oct-2025,ka40,KSA,1
07-Oct-2025,ka50,KSA,4
07-Oct-2025,ka51,KSA,1
07-Oct-2025,ka59,KSA,2
07-Oct-2025,ka64,KSA,3
07-Oct-2025,ka66,KSA,5
07-Oct-2025,ka7,KSA,1
07-Oct-2025,ka95,KSA,1
07-Oct-2025,ka99,KSA,1
