,date,order id,amount,coupon,country,currency,customer type
0,2025-10-09,DZ1189203972,0,Gy5,SAU,SAR,returning
1,2025-10-09,DZ1189252130,0,TDD14,SAU,SAR,returning
2,2025-10-09,DZ1188995742,0,TDD44,SAU,SAR,returning
3,2025-10-09,DZ1188955713,0,GY33,SAU,SAR,returning
4,2025-10-09,DZ1188566665,0,SD11,SAU,SAR,returning
5,2025-10-09,DZ1188912725,0,gy30,SAU,SAR,returning
6,2025-10-09,DZ1189178199,0,SD11,SAU,SAR,returning
7,2025-10-09,DZ1188604142,0,GY96,SAU,SAR,new
8,2025-10-09,DZ1189140568,0,gy17,SAU,SAR,returning
9,2025-10-09,DZ1188954525,0,SD184,SAU,SAR,returning
10,2025-10-09,DZ1188596200,0,sd4,SAU,SAR,returning
11,2025-10-09,DZ1188914232,0,SD70,SAU,SAR,returning
12,2025-10-09,DZ1189162887,0,sd184,SAU,SAR,returning
13,2025-10-09,DZ1189098680,0,gy99,SAU,SAR,returning
14,2025-10-09,DZ1189093103,0,Gy5,SAU,SAR,returning
15,2025-10-09,DZ1189213333,0,GY30,SAU,SAR,new
16,2025-10-09,DZ1188729322,0,Gy35,SAU,SAR,returning
17,2025-10-09,DZ1189058453,0,Gy47,SAU,SAR,returning
18,2025-10-09,DZ1189272755,0,GY35,SAU,SAR,returning
19,2025-10-09,DZ1189248907,0,TDD45,SAU,SAR,returning
20,2025-10-09,DZ1189059718,0,SD88,SAU,SAR,returning
21,2025-10-09,DZ1189125707,0,SD11,SAU,SAR,returning
22,2025-10-09,DZ1189049345,0,SD11,SAU,SAR,returning
23,2025-10-09,DZ1189012924,0,GY45,SAU,SAR,returning
24,2025-10-09,DZ1188807807,0,TDD39,SAU,SAR,new
25,2025-10-09,DZ1189249754,0,TDD39,SAU,SAR,returning
26,2025-10-09,DZ1188597806,0,SD98,SAU,SAR,returning
27,2025-10-09,DZ1188720478,0,sd71,SAU,SAR,returning
28,2025-10-09,DZ1189182511,0,SD88,SAU,SAR,returning
29,2025-10-09,DZ1188708609,0,SD83,SAU,SAR,returning
30,2025-10-09,DZ1189000406,0,SD77,SAU,SAR,returning
31,2025-10-09,DZ1188914694,0,SD44,SAU,SAR,returning
32,2025-10-09,DZ1189006192,0,SD184,SAU,SAR,new
33,2025-10-09,DZ1188832513,0,sd9,SAU,SAR,returning
34,2025-10-09,DZ1188913968,0,SD184,SAU,SAR,returning
35,2025-10-09,DZ1189169201,0,TDD39,SAU,SAR,returning
36,2025-10-09,DZ1189213993,0,TDD44,SAU,SAR,returning
37,2025-10-09,DZ1189177297,0,gy33,SAU,SAR,new
38,2025-10-09,DZ1189227226,0,SD88,SAU,SAR,returning
39,2025-10-09,DZ1188594077,0,SD50,SAU,SAR,returning
40,2025-10-09,DZ1188900493,0,SD22,SAU,SAR,new
41,2025-10-09,DZ1189119085,0,GY50,SAU,SAR,new
42,2025-10-09,DZ1188698621,0,GY96,SAU,SAR,new
43,2025-10-09,DZ1189074821,0,TDD14,SAU,SAR,returning
44,2025-10-09,DZ1189159807,0,SD22,SAU,SAR,returning
45,2025-10-09,DZ1189239249,0,SD99,SAU,SAR,returning
46,2025-10-09,DZ1189144198,0,SD88,SAU,SAR,returning
47,2025-10-09,DZ1189216270,0,gy99,SAU,SAR,new
48,2025-10-09,DZ1188671935,0,sd11,SAU,SAR,returning
49,2025-10-09,DZ1188706453,0,SD184,SAU,SAR,returning
50,2025-10-09,DZ1188580613,0,GY38,SAU,SAR,returning
51,2025-10-09,DZ1189107887,0,Gy5,SAU,SAR,returning
52,2025-10-09,DZ1189050918,0,TDD40,SAU,SAR,new
53,2025-10-09,DZ1188994983,0,GY96,SAU,SAR,new
54,2025-10-09,DZ1189139666,0,SD81,SAU,SAR,returning
55,2025-10-09,DZ1189202157,0,GY30,SAU,SAR,new
56,2025-10-09,DZ1189020162,0,TDD14,SAU,SAR,returning
57,2025-10-09,DZ1189157299,0,gy99,SAU,SAR,returning
