Report Name,Individual Item Report
Date Run,10/10/25
Filters,Transaction Date >= 10/1/25,Transaction Date <= 10/10/25,Network ID IN 9,Time Zone = GMT

Order ID,Transaction Date,Transaction Time,MID,Advertiser Name,SKU,Product Name,Sales,# of Items,Total Commission,Order Coupon Code(s)
"ASA04166442",10/1/25,"02:40:48",52993,"Adidas KSA","JQ0830_570","ULTRABOOST 1.0 SHOES",93.62,1,6.553,"RAN162"
"ASA04167640",10/1/25,"12:53:44",52993,"Adidas KSA","JR3122_640","ZNSORY SANDALS",36.14,1,2.53,"RAN221"
"ASA04174623",10/3/25,"19:57:29",52993,"Adidas KSA","IX1261_220","ALL SZN FRENCH TERRY CREW SWEATSHIRT",33.97,1,2.378,"RAN221"
"ASA04173042",10/3/25,"11:02:48",52993,"Adidas KSA","HT3442_120","CUSHIONED SPORTSWEAR ANKLE SOCKS 6 PAIRS",10.9,1,0.763,"RAN221"
"ASA04174623",10/3/25,"19:57:29",52993,"Adidas KSA","IH3117_610","EVERYSET TRAINING SHOES",57.97,1,4.058,"RAN221"
"ASA04174162",10/3/25,"16:51:11",52993,"Adidas KSA","JQ2209_620","TERREX SKYCHASER AX5 GORE-TEX HIKING SHOES",85.43,1,5.98,"RAN221"
"ASA04174162",10/3/25,"16:51:11",52993,"Adidas KSA","JJ1931_205","REAL MADRID 25/26 HOME JERSEY",68.61,1,4.803,"RAN221"
"ASA04174623",10/3/25,"19:57:29",52993,"Adidas KSA","KC2603_220","RINGER TEE",30.31,1,2.122,"RAN221"
"ASA04173042",10/3/25,"11:02:48",52993,"Adidas KSA","IC1291_120","CUSHIONED SPORTSWEAR ANKLE SOCKS 6 PAIRS",10.9,1,0.763,"RAN221"
"ASA04173042",10/3/25,"11:02:48",52993,"Adidas KSA","JH9633_620","ULTRABOOST 5 SHOES",109.79,1,7.685,"RAN221"
"ASA04173042",10/3/25,"11:02:48",52993,"Adidas KSA","HQ4200_620","ULTRABOOST 1.0 SHOES",106.2,1,7.434,"RAN221"
"ASA04178901",10/4/25,"22:34:08",52993,"Adidas KSA","IY2129_250","ADIBREAK PANTS",43.72,1,3.06,"RAN221"
"ASA04178901",10/4/25,"22:34:08",52993,"Adidas KSA","IP0620_250","ADIBREAK PANTS",42.7,1,2.989,"RAN221"
"ASA04182020",10/5/25,"22:18:31",52993,"Adidas KSA","KA7504_210","INTER MIAMI CF 25/26 THIRD MESSI JERSEY",92.13,1,6.449,"RAN221"
"466f278a-c0a5-43e9-a1b5-fd6760dcc8eb",10/5/25,"16:37:30",52993,"Adidas KSA","android_purchase","ANDROID: adidas purchase",287.72,1,20.14,"RAN221"
"ASA04182897",10/6/25,"08:23:15",52993,"Adidas KSA","JR5384_630","RUNFALCON 5 TR RUNNING SHOES",63.56,1,4.449,"RAN221"
"ASA04187204",10/8/25,"08:01:56",52993,"Adidas KSA","JG1043_550","ESSENTIALS SWIMSUIT",28.17,1,1.972,"RAN221"
