Date,coupon,country,Usage
08-Oct-2025,k135,KSA,4
08-Oct-2025,k137,KSA,7
08-Oct-2025,k140,KSA,1
08-Oct-2025,k144,KSA,2
08-Oct-2025,k166,KSA,1
08-Oct-2025,k172,KSA,3
08-Oct-2025,k175,KSA,1
08-Oct-2025,k180,KSA,1
08-Oct-2025,k197,KSA,5
08-Oct-2025,ka1,KSA,7
08-Oct-2025,ka119,KSA,1
08-Oct-2025,ka12,KSA,49
08-Oct-2025,ka14,KSA,1
08-Oct-2025,ka15,KSA,1
08-Oct-2025,ka21,KSA,2
08-Oct-2025,ka23,KSA,1
08-Oct-2025,ka28,KSA,1
08-Oct-2025,ka34,KSA,4
08-Oct-2025,ka37,KSA,2
08-Oct-2025,ka4,KSA,2
08-Oct-2025,ka50,KSA,5
08-Oct-2025,ka59,KSA,3
08-Oct-2025,ka60,KSA,2
08-Oct-2025,ka63,KSA,4
08-Oct-2025,ka64,KSA,7
08-Oct-2025,ka66,KSA,4
08-Oct-2025,ss25,KSA,2
