"Puchase Date","Order Number",Status,"Coupon Code",Country,"Grand Total incl Tax","Shipping Amount",Tax,"Cash on Delivery Charges","Store Credit Used","Total Refunded",FINAL_TOTAL,TOTAL_ORDERED_QTY,TOTAL_RETURN_QTY,Type,Commission,Category,COMPANY,"COUPON CODE",Customer_Type
"2025-10-09 02:25:01",PO-SA-251009-05597,complete,WAF,"Saudi Arabia",41.62,2.46,5.11,0.00,0.00,0.00,34.05,3.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,New
"2025-10-09 06:52:08",PO-SA-251009-05630,processing,Q14,"Saudi Arabia",10.10,2.46,1.00,0.00,0.00,0.00,6.64,1.0000,0.0000,CPS,.1,Affliate,DigiZag,Q14,Existing
"2025-10-09 07:05:37",PO-SA-251009-05634,complete,NNN,"Saudi Arabia",40.15,2.46,4.92,0.00,0.00,0.00,32.77,2.0000,0.0000,CPS,.1,Affliate,DigiZag,NNN,New
"2025-10-09 11:04:17",PO-AE-251009-05690,complete,W99,"United Arab Emirates",50.44,2.51,2.28,0.00,0.00,0.00,45.65,3.0000,0.0000,CPS,0.1,Affliate,DigiZag,W99,Existing
"2025-10-09 14:08:47",PO-KW-251009-05792,delivered,WAF,Kuwait,8.50,1.75,0.00,0.00,0.00,0.00,6.75,1.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,Existing
"2025-10-09 17:02:03",PO-SA-251009-05885,complete,CK22,"Saudi Arabia",118.84,2.46,15.18,0.00,0.00,0.00,101.20,4.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,New
"2025-10-09 17:13:25",PO-KW-251009-05888,delivered,W98,Kuwait,33.18,1.75,0.00,0.00,0.00,0.00,31.43,3.0000,0.0000,CPS,0.1,Affliate,DigiZag,W98,Existing
"2025-10-09 21:07:20",PO-SA-251009-06004,complete,NNN,"Saudi Arabia",100.00,2.46,12.72,0.00,0.00,0.00,84.81,4.0000,0.0000,CPS,.1,Affliate,DigiZag,NNN,Existing
"2025-10-10 00:52:46",PO-KW-251010-06131,processing,W98,Kuwait,18.59,1.75,0.00,1.50,0.00,0.00,15.34,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,W98,Existing
"2025-10-10 11:11:54",PO-KW-251010-06259,processing,W98,Kuwait,10.58,1.75,0.00,0.00,0.00,0.00,8.83,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,W98,Existing
"2025-10-10 12:02:27",PO-SA-251010-06290,complete,W99,"Saudi Arabia",120.81,2.46,15.44,0.00,0.00,0.00,102.91,6.0000,0.0000,CPS,0.1,Affliate,DigiZag,W99,Existing
"2025-10-10 13:07:33",PO-SA-251010-06325,processing,WAF,"Saudi Arabia",155.05,2.46,19.90,0.00,0.00,0.00,132.68,8.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,Existing
"2025-10-10 17:27:34",PO-QA-251010-06468,processing,ALC4,Qatar,60.02,2.54,0.00,0.00,0.00,0.00,57.49,4.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,New
