"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"24 Sep 2025","fxn","3","492.70","0","0.00","0","0.00","0","0.00"
"24 Sep 2025","df5","1","92.07","0","0.00","0","0.00","0","0.00"
"23 Sep 2025","fxn","21","2561.62","0","0.00","0","0.00","0","0.00"
"23 Sep 2025","tnmw","4","336.70","0","0.00","0","0.00","0","0.00"
"23 Sep 2025","zg32","2","185.24","0","0.00","0","0.00","0","0.00"
"23 Sep 2025","dd44","2","688.94","0","0.00","0","0.00","0","0.00"
"23 Sep 2025","df5","2","339.49","0","0.00","0","0.00","0","0.00"
"23 Sep 2025","ost","2","163.32","0","0.00","0","0.00","0","0.00"
"23 Sep 2025","fuj","1","86.77","0","0.00","0","0.00","0","0.00"
"23 Sep 2025","df2","1","48.33","0","0.00","0","0.00","0","0.00"
"23 Sep 2025","97c","1","85.72","0","0.00","0","0.00","0","0.00"
"23 Sep 2025","cnl","1","97.32","0","0.00","0","0.00","0","0.00"
"23 Sep 2025","urpay1","1","121.98","0","0.00","0","0.00","0","0.00"
"23 Sep 2025","fbp","1","56.16","0","0.00","0","0.00","0","0.00"
